t_s,class,az_deg,dist_m
0.3,car,176,3.94
0.4,car,175,5.28
0.5,car,177,16.44
0.6,car,177,16.82
0.7,car,177,17.23
0.8,car,177,21.43
0.9,car,176,22.76
1.0,car,175,22.31
1.1,car,176,22.00
1.2,car,176,22.44
1.3,car,175,23.80
1.4,car,176,23.15
1.5,car,175,23.41
1.6,car,174,22.80
1.7,car,174,22.69
1.8,car,173,23.10
1.9,car,174,24.48
2.0,car,174,23.10
2.1,car,174,24.41
2.2,car,175,24.77
2.3,car,174,23.41
2.4,car,174,22.18
2.5,car,175,22.58
2.6,car,174,22.78
2.7,car,175,22.33
2.8,car,175,23.44
2.9,car,176,21.65
3.0,car,175,18.97
3.1,car,176,21.04
3.2,car,176,19.70
3.3,car,176,20.98
3.4,car,176,18.24
3.5,car,175,18.38
3.6,car,175,19.43
3.7,car,176,21.03
3.8,car,175,19.23
3.9,car,176,18.13
4.0,car,176,17.84
4.1,car,175,15.97
4.2,car,175,15.10
4.3,car,175,13.13
4.4,car,175,12.25
4.5,car,174,11.69
4.6,car,173,11.37
4.7,car,173,11.18
4.8,car,172,10.12
4.9,car,173,8.98
5.0,car,173,8.72
5.1,car,172,7.71
5.2,car,170,7.20
5.3,car,170,7.40
5.4,car,169,7.18
5.5,car,170,7.03
5.6,car,170,6.66
5.7,car,169,6.50
5.8,car,168,6.05
5.9,car,169,5.50
6.0,car,168,5.61
6.1,car,168,5.58
6.2,car,167,5.22
6.3,car,164,4.45
6.4,car,163,4.48
6.5,car,160,4.11
6.6,car,158,3.83
6.7,car,155,3.83
6.8,car,151,3.20
6.9,car,149,3.13
7.0,car,144,2.88
7.1,car,138,2.95
7.2,car,132,2.89
7.3,car,126,2.68
7.4,car,115,2.45
7.5,car,99,2.56
7.6,car,85,2.81
7.7,car,71,3.05
7.8,car,60,3.23
7.9,car,52,3.23
8.0,car,44,3.20
8.1,car,37,3.69
8.2,car,33,3.71
8.3,car,29,4.21
8.4,car,24,4.06
8.5,car,24,4.50
8.6,car,21,5.06
8.7,car,20,5.23
8.8,car,18,5.42
8.9,car,17,6.06
9.0,car,15,6.24
9.1,car,15,6.57
9.2,car,14,6.78
9.3,car,13,7.12
9.4,car,12,7.49
9.5,car,11,7.71
9.6,car,11,7.99
9.7,car,10,8.62
9.8,car,10,8.95
9.9,car,9,8.98
10.0,car,8,9.64
