t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,0.000,0
0.7,0.000,0
0.8,0.000,0
0.9,0.000,0
1.0,0.000,0
1.1,0.000,0
1.2,0.000,0
1.3,0.000,0
1.4,0.000,0
1.5,0.000,0
1.6,0.000,0
1.7,0.000,0
1.8,0.000,0
1.9,0.000,0
2.0,0.000,0
2.1,0.000,0
2.2,0.000,0
2.3,0.000,0
2.4,0.000,0
2.5,0.000,0
2.6,0.000,0
2.7,0.000,0
2.8,0.000,0
2.9,0.000,0
3.0,0.000,0
3.1,0.000,0
3.2,0.000,0
3.3,0.000,0
3.4,0.000,0
3.5,0.000,0
3.6,0.000,0
3.7,0.063,175
3.8,0.130,174
3.9,0.196,174
4.0,0.263,174
4.1,0.329,174
4.2,0.395,174
4.3,0.462,174
4.4,0.528,173
4.5,0.595,173
4.6,0.661,173
4.7,0.727,173
4.8,0.794,172
4.9,0.860,172
5.0,0.926,172
5.1,0.992,172
5.2,1.000,171
5.3,1.000,171
5.4,1.000,170
5.5,1.000,170
5.6,1.000,169
5.7,1.000,169
5.8,1.000,168
5.9,1.000,168
6.0,1.000,167
6.1,1.000,166
6.2,1.000,165
6.3,1.000,164
6.4,1.000,163
6.5,1.000,161
6.6,1.000,160
6.7,1.000,158
6.8,1.000,155
6.9,1.000,152
7.0,1.000,148
7.1,1.000,144
7.2,1.000,137
7.3,1.000,129
7.4,1.000,119
7.5,1.000,106
7.6,1.000,91
7.7,1.000,76
7.8,1.000,63
7.9,0.000,0
8.0,0.000,0
8.1,0.000,0
8.2,0.000,0
8.3,0.000,0
8.4,0.000,0
8.5,0.000,0
8.6,0.000,0
8.7,0.000,0
8.8,0.000,0
8.9,0.000,0
9.0,0.000,0
9.1,0.000,0
9.2,0.000,0
9.3,0.000,0
9.4,0.000,0
9.5,0.000,0
9.6,0.000,0
9.7,0.000,0
9.8,0.000,0
9.9,0.000,0
10.0,0.000,0
