t_s,class,az_deg,dist_m
2.8,car,-13,6.53
2.9,car,-14,6.42
3.0,car,-14,6.30
3.1,car,-14,6.18
3.2,car,-14,6.08
3.3,car,-15,5.98
3.4,car,-15,5.90
3.5,car,-15,5.84
3.6,car,-15,5.79
3.7,car,-15,5.75
3.8,car,-15,5.73
3.9,car,-15,5.72
4.0,car,-15,5.73
4.1,car,-15,5.75
4.2,car,-15,5.79
4.3,car,-15,5.84
4.4,car,-15,5.91
4.5,car,-15,5.99
4.6,car,-14,6.08
4.7,car,-14,6.19
4.8,car,-14,6.32
4.9,car,-14,6.46
5.0,car,-13,6.61
5.1,car,-13,6.78
5.2,car,-13,6.96
5.3,car,-12,7.16
5.4,car,-12,7.37
5.5,car,-11,7.60
5.6,car,-11,7.85
5.7,car,-11,8.10
5.8,car,-10,8.38
5.9,car,-10,8.67
6.0,car,-10,8.97
6.1,car,-9,9.29
6.2,car,-9,9.62
6.3,car,-9,9.97
6.4,car,-8,10.34
6.5,car,-8,10.71
6.6,car,-8,11.11
6.7,car,-8,11.52
6.8,car,-7,11.94
6.9,car,-7,12.38
7.0,car,-7,12.84
7.1,car,-7,13.31
7.2,car,-6,13.79
7.3,car,-6,14.29
7.4,car,-6,14.81
7.5,car,-6,15.34
7.6,car,-6,15.88
7.7,car,-5,16.44
7.8,car,-5,17.02
7.9,car,-5,17.61
8.0,car,-5,18.22
8.1,car,-5,18.84
8.2,car,-5,19.47
8.3,car,-4,20.12
8.4,car,-4,20.79
8.5,car,-4,21.47
8.6,car,-4,22.17
8.7,car,-4,22.88
8.8,car,-4,23.59
8.9,car,-4,24.30
9.0,car,-4,25.02
9.1,car,-3,25.73
9.2,car,-3,26.44
9.3,car,-3,27.15
9.4,car,-3,27.87
9.5,car,-3,28.58
9.6,car,-3,29.29
9.7,car,-3,30.01
9.8,car,-3,30.72
9.9,car,-3,31.43
10.0,car,-3,32.15
# オラクル（検出=GT系列）。モデル出力ではない
