t_s,obj,class,az_deg,dist_m,vis
0.1,0,car,-9.0,9.58,0
0.2,0,car,-9.1,9.46,0
0.3,0,car,-9.2,9.35,0
0.4,0,car,-9.4,9.23,0
0.5,0,car,-9.5,9.11,0
0.6,0,car,-9.6,8.99,0
0.7,0,car,-9.7,8.87,0
0.8,0,car,-9.9,8.76,0
0.9,0,car,-10.0,8.64,0
1.0,0,car,-10.1,8.52,0
1.1,0,car,-10.3,8.40,0
1.2,0,car,-10.4,8.29,0
1.3,0,car,-10.6,8.17,0
1.4,0,car,-10.7,8.05,0
1.5,0,car,-10.9,7.93,0
1.6,0,car,-11.1,7.82,0
1.7,0,car,-11.2,7.70,0
1.8,0,car,-11.4,7.58,0
1.9,0,car,-11.6,7.47,0
2.0,0,car,-11.8,7.35,0
2.1,0,car,-12.0,7.23,0
2.2,0,car,-12.2,7.12,0
2.3,0,car,-12.4,7.00,0
2.4,0,car,-12.6,6.88,0
2.5,0,car,-12.8,6.77,0
2.6,0,car,-13.0,6.65,0
2.7,0,car,-13.3,6.53,1
2.8,0,car,-13.5,6.42,1
2.9,0,car,-13.8,6.30,1
3.0,0,car,-14.0,6.18,1
3.1,0,car,-14.3,6.08,1
3.2,0,car,-14.5,5.98,1
3.3,0,car,-14.7,5.90,1
3.4,0,car,-14.9,5.84,1
3.5,0,car,-15.0,5.79,1
3.6,0,car,-15.2,5.75,1
3.7,0,car,-15.2,5.73,1
3.8,0,car,-15.2,5.72,1
3.9,0,car,-15.2,5.73,1
4.0,0,car,-15.2,5.75,1
4.1,0,car,-15.1,5.79,1
4.2,0,car,-15.0,5.84,1
4.3,0,car,-14.8,5.91,1
4.4,0,car,-14.6,5.99,1
4.5,0,car,-14.4,6.08,1
4.6,0,car,-14.1,6.19,1
4.7,0,car,-13.8,6.32,1
4.8,0,car,-13.5,6.46,1
4.9,0,car,-13.2,6.61,1
5.0,0,car,-12.9,6.78,1
5.1,0,car,-12.6,6.96,1
5.2,0,car,-12.2,7.16,1
5.3,0,car,-11.9,7.37,1
5.4,0,car,-11.5,7.60,1
5.5,0,car,-11.1,7.85,1
5.6,0,car,-10.8,8.10,1
5.7,0,car,-10.4,8.38,1
5.8,0,car,-10.1,8.67,1
5.9,0,car,-9.7,8.97,1
6.0,0,car,-9.4,9.29,1
6.1,0,car,-9.1,9.62,1
6.2,0,car,-8.8,9.97,1
6.3,0,car,-8.5,10.34,1
6.4,0,car,-8.2,10.71,1
6.5,0,car,-7.9,11.11,1
6.6,0,car,-7.6,11.52,1
6.7,0,car,-7.3,11.94,1
6.8,0,car,-7.1,12.38,1
6.9,0,car,-6.8,12.84,1
7.0,0,car,-6.6,13.31,1
7.1,0,car,-6.4,13.79,1
7.2,0,car,-6.1,14.29,1
7.3,0,car,-5.9,14.81,1
7.4,0,car,-5.7,15.34,1
7.5,0,car,-5.5,15.88,1
7.6,0,car,-5.3,16.44,1
7.7,0,car,-5.2,17.02,1
7.8,0,car,-5.0,17.61,1
7.9,0,car,-4.8,18.22,1
8.0,0,car,-4.7,18.84,1
8.1,0,car,-4.5,19.47,1
8.2,0,car,-4.4,20.12,1
8.3,0,car,-4.2,20.79,1
8.4,0,car,-4.1,21.47,1
8.5,0,car,-4.0,22.17,1
8.6,0,car,-3.9,22.88,1
8.7,0,car,-3.7,23.59,1
8.8,0,car,-3.6,24.30,1
8.9,0,car,-3.5,25.02,1
9.0,0,car,-3.4,25.73,1
9.1,0,car,-3.3,26.44,1
9.2,0,car,-3.2,27.15,1
9.3,0,car,-3.2,27.87,1
9.4,0,car,-3.1,28.58,1
9.5,0,car,-3.0,29.29,1
9.6,0,car,-2.9,30.01,1
9.7,0,car,-2.9,30.72,1
9.8,0,car,-2.8,31.43,1
9.9,0,car,-2.7,32.15,1
