t_s,obj,class,az_deg,dist_m
2.7,0,car,-13.3,6.53
2.8,0,car,-13.5,6.42
2.9,0,car,-13.8,6.30
3.0,0,car,-14.0,6.18
3.1,0,car,-14.3,6.08
3.2,0,car,-14.5,5.98
3.3,0,car,-14.7,5.90
3.4,0,car,-14.9,5.84
3.5,0,car,-15.0,5.79
3.6,0,car,-15.2,5.75
3.7,0,car,-15.2,5.73
3.8,0,car,-15.2,5.72
3.9,0,car,-15.2,5.73
4.0,0,car,-15.2,5.75
4.1,0,car,-15.1,5.79
4.2,0,car,-15.0,5.84
4.3,0,car,-14.8,5.91
4.4,0,car,-14.6,5.99
4.5,0,car,-14.4,6.08
4.6,0,car,-14.1,6.19
4.7,0,car,-13.8,6.32
4.8,0,car,-13.5,6.46
4.9,0,car,-13.2,6.61
5.0,0,car,-12.9,6.78
5.1,0,car,-12.6,6.96
5.2,0,car,-12.2,7.16
5.3,0,car,-11.9,7.37
5.4,0,car,-11.5,7.60
5.5,0,car,-11.1,7.85
5.6,0,car,-10.8,8.10
5.7,0,car,-10.4,8.38
5.8,0,car,-10.1,8.67
5.9,0,car,-9.7,8.97
6.0,0,car,-9.4,9.29
6.1,0,car,-9.1,9.62
6.2,0,car,-8.8,9.97
6.3,0,car,-8.5,10.34
6.4,0,car,-8.2,10.71
6.5,0,car,-7.9,11.11
6.6,0,car,-7.6,11.52
6.7,0,car,-7.3,11.94
6.8,0,car,-7.1,12.38
6.9,0,car,-6.8,12.84
7.0,0,car,-6.6,13.31
7.1,0,car,-6.4,13.79
7.2,0,car,-6.1,14.29
7.3,0,car,-5.9,14.81
7.4,0,car,-5.7,15.34
7.5,0,car,-5.5,15.88
7.6,0,car,-5.3,16.44
7.7,0,car,-5.2,17.02
7.8,0,car,-5.0,17.61
7.9,0,car,-4.8,18.22
8.0,0,car,-4.7,18.84
8.1,0,car,-4.5,19.47
8.2,0,car,-4.4,20.12
8.3,0,car,-4.2,20.79
8.4,0,car,-4.1,21.47
8.5,0,car,-4.0,22.17
8.6,0,car,-3.9,22.88
8.7,0,car,-3.7,23.59
8.8,0,car,-3.6,24.30
8.9,0,car,-3.5,25.02
9.0,0,car,-3.4,25.73
9.1,0,car,-3.3,26.44
9.2,0,car,-3.2,27.15
9.3,0,car,-3.2,27.87
9.4,0,car,-3.1,28.58
9.5,0,car,-3.0,29.29
9.6,0,car,-2.9,30.01
9.7,0,car,-2.9,30.72
9.8,0,car,-2.8,31.43
9.9,0,car,-2.7,32.15
