t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,-75.8,39.60,1
0.3,0,car,-75.7,38.76,1
0.4,0,car,-75.6,37.93,1
0.5,0,car,-75.4,37.09,1
0.6,0,car,-75.3,36.25,1
0.7,0,car,-75.1,35.42,1
0.8,0,car,-74.9,34.58,1
0.9,0,car,-74.7,33.75,1
1.0,0,car,-74.6,32.91,1
1.1,0,car,-74.4,32.08,1
1.2,0,car,-74.2,31.25,1
1.3,0,car,-73.9,30.41,1
1.4,0,car,-73.7,29.58,1
1.5,0,car,-73.5,28.75,1
1.6,0,car,-73.2,27.92,1
1.7,0,car,-72.9,27.08,1
1.8,0,car,-72.6,26.25,1
1.9,0,car,-72.3,25.42,1
2.0,0,car,-72.0,24.60,1
2.1,0,car,-71.7,23.77,1
2.2,0,car,-71.3,22.94,1
2.3,0,car,-70.9,22.12,1
2.4,0,car,-70.4,21.29,1
2.5,0,car,-70.0,20.47,1
2.6,0,car,-69.4,19.65,1
2.7,0,car,-68.9,18.83,1
2.8,0,car,-68.3,18.01,1
2.9,0,car,-67.6,17.19,1
3.0,0,car,-66.9,16.38,1
3.1,0,car,-66.1,15.58,1
3.2,0,car,-65.2,14.81,1
3.3,0,car,-64.3,14.07,1
3.4,0,car,-63.3,13.35,1
3.5,0,car,-62.3,12.65,1
3.6,0,car,-61.3,11.98,1
3.7,0,car,-60.1,11.34,1
3.8,0,car,-58.9,10.73,1
3.9,0,car,-57.7,10.14,1
4.0,0,car,-56.3,9.58,1
4.1,0,car,-54.9,9.04,1
4.2,0,car,-53.4,8.53,1
4.3,0,car,-51.8,8.05,1
4.4,0,car,-50.2,7.59,1
4.5,0,car,-48.5,7.15,1
4.6,0,car,-46.7,6.75,1
4.7,0,car,-44.8,6.36,1
4.8,0,car,-42.9,6.00,1
4.9,0,car,-40.9,5.67,1
5.0,0,car,-38.9,5.36,1
5.1,0,car,-36.8,5.06,1
5.2,0,car,-34.4,4.77,1
5.3,0,car,-31.8,4.49,1
5.4,0,car,-28.8,4.22,1
5.5,0,car,-25.4,3.96,1
5.6,0,car,-21.5,3.72,1
5.7,0,car,-17.1,3.50,1
5.8,0,car,-12.2,3.31,1
5.9,0,car,-6.7,3.14,1
6.0,0,car,-0.6,3.00,1
6.1,0,car,6.0,2.90,1
6.2,0,car,13.0,2.84,1
6.3,0,car,20.2,2.82,1
6.4,0,car,27.4,2.85,1
6.5,0,car,34.3,2.92,1
6.6,0,car,40.8,3.04,1
6.7,0,car,46.8,3.18,1
6.8,0,car,52.2,3.36,1
6.9,0,car,57.0,3.56,1
7.0,0,car,61.3,3.79,1
7.1,0,car,65.1,4.04,1
7.2,0,car,68.4,4.30,1
7.3,0,car,71.4,4.57,1
7.4,0,car,74.0,4.85,1
7.5,0,car,76.3,5.14,1
7.6,0,car,78.3,5.44,1
7.7,0,car,80.2,5.75,1
7.8,0,car,81.9,6.06,1
7.9,0,car,83.4,6.38,1
8.0,0,car,84.7,6.69,1
8.1,0,car,85.9,7.02,1
8.2,0,car,87.1,7.34,1
8.3,0,car,88.1,7.67,1
8.4,0,car,89.0,8.00,1
8.5,0,car,89.9,8.33,1
8.6,0,car,90.7,8.67,1
8.7,0,car,91.4,9.00,1
8.8,0,car,92.1,9.34,1
8.9,0,car,92.8,9.68,1
9.0,0,car,93.4,10.02,1
9.1,0,car,93.9,10.36,1
9.2,0,car,94.5,10.70,1
9.3,0,car,94.9,11.04,1
9.4,0,car,95.4,11.38,1
9.5,0,car,95.8,11.73,1
9.6,0,car,96.2,12.07,1
9.7,0,car,96.6,12.41,1
9.8,0,car,97.0,12.76,1
9.9,0,car,97.3,13.11,1
