t_s,class,az_deg,dist_m
0.2,car,-172,17.19
0.3,car,-171,16.47
0.4,car,-171,15.77
0.5,car,-171,15.08
0.6,car,-170,14.41
0.7,car,-170,13.75
0.8,car,-169,13.11
0.9,car,-169,12.48
1.0,car,-168,11.87
1.1,car,-167,11.28
1.2,car,-167,10.70
1.3,car,-166,10.14
1.4,car,-165,9.60
1.5,car,-164,9.07
1.6,car,-163,8.56
1.7,car,-162,8.07
1.8,car,-161,7.59
1.9,car,-160,7.13
2.0,car,-158,6.69
2.1,car,-157,6.27
2.2,car,-155,5.87
2.3,car,-153,5.48
2.4,car,-151,5.12
2.5,car,-149,4.78
2.6,car,-146,4.46
2.7,car,-143,4.16
2.8,car,-140,3.88
2.9,car,-137,3.63
3.0,car,-133,3.40
3.1,car,-129,3.20
3.2,car,-125,3.03
3.3,car,-120,2.88
3.4,car,-115,2.76
3.5,car,-111,2.66
3.6,car,-106,2.59
3.7,car,-101,2.54
3.8,car,-96,2.51
3.9,car,-92,2.50
4.0,car,-88,2.50
4.1,car,-85,2.51
4.2,car,-81,2.53
4.3,car,-78,2.55
4.4,car,-76,2.58
4.5,car,-74,2.60
4.6,car,-72,2.63
4.7,car,-71,2.65
4.8,car,-70,2.67
4.9,car,-69,2.68
5.0,car,-68,2.69
5.1,car,-68,2.69
5.2,car,-68,2.69
5.3,car,-68,2.69
5.4,car,-68,2.69
5.5,car,-68,2.69
5.6,car,-68,2.69
5.7,car,-68,2.69
5.8,car,-68,2.69
5.9,car,-68,2.69
6.0,car,-68,2.69
6.1,car,-68,2.69
6.2,car,-68,2.69
6.3,car,-68,2.69
6.4,car,-68,2.69
6.5,car,-68,2.69
6.6,car,-68,2.69
6.7,car,-68,2.69
6.8,car,-68,2.69
6.9,car,-68,2.69
7.0,car,-68,2.69
7.1,car,-68,2.69
7.2,car,-68,2.69
7.3,car,-68,2.69
7.4,car,-68,2.69
7.5,car,-68,2.69
7.6,car,-68,2.69
7.7,car,-68,2.69
7.8,car,-68,2.69
7.9,car,-68,2.69
8.0,car,-68,2.69
8.1,car,-68,2.69
8.2,car,-68,2.69
8.3,car,-68,2.70
8.4,car,-67,2.71
8.5,car,-66,2.73
8.6,car,-65,2.75
8.7,car,-64,2.78
8.8,car,-63,2.82
8.9,car,-61,2.86
9.0,car,-59,2.91
9.1,car,-58,2.97
9.2,car,-56,3.04
9.3,car,-53,3.12
9.4,car,-51,3.21
9.5,car,-49,3.31
9.6,car,-47,3.43
9.7,car,-45,3.56
9.8,car,-43,3.70
9.9,car,-41,3.86
10.0,car,-39,4.03
# オラクル（検出=GT系列）。モデル出力ではない
