t_s,class,az_deg,dist_m
0.2,bike,-173,10.12
0.3,bike,-173,9.48
0.4,bike,-172,8.85
0.5,bike,-172,8.25
0.6,bike,-171,7.66
0.7,bike,-170,7.10
0.8,bike,-170,6.56
0.9,bike,-169,6.04
1.0,bike,-168,5.54
1.1,bike,-167,5.06
1.2,bike,-165,4.61
1.3,bike,-164,4.17
1.4,bike,-162,3.76
1.5,bike,-159,3.37
1.6,bike,-157,3.01
1.7,bike,-154,2.68
1.8,bike,-150,2.37
1.9,bike,-145,2.09
2.0,bike,-140,1.85
2.1,bike,-133,1.64
2.2,bike,-126,1.47
2.3,bike,-117,1.34
2.4,bike,-107,1.25
2.5,bike,-98,1.21
2.6,bike,-89,1.20
2.7,bike,-80,1.22
2.8,bike,-74,1.25
2.9,bike,-68,1.30
3.0,bike,-64,1.34
3.1,bike,-60,1.39
3.2,bike,-58,1.42
3.3,bike,-56,1.45
3.4,bike,-55,1.47
3.5,bike,-55,1.47
3.6,bike,-55,1.47
3.7,bike,-56,1.45
3.8,bike,-57,1.42
3.9,bike,-60,1.39
4.0,bike,-63,1.35
4.1,bike,-67,1.30
4.2,bike,-72,1.26
4.3,bike,-78,1.23
4.4,bike,-83,1.21
4.5,bike,-89,1.20
4.6,bike,-95,1.20
4.7,bike,-100,1.22
4.8,bike,-106,1.25
4.9,bike,-111,1.28
5.0,bike,-116,1.33
5.1,bike,-120,1.39
5.2,bike,-124,1.45
5.3,bike,-128,1.52
5.4,bike,-131,1.60
5.5,bike,-134,1.68
5.6,bike,-137,1.76
5.7,bike,-140,1.85
5.8,bike,-142,1.94
5.9,bike,-144,2.04
6.0,bike,-146,2.14
6.1,bike,-148,2.24
6.2,bike,-149,2.34
6.3,bike,-151,2.44
6.4,bike,-152,2.55
6.5,bike,-153,2.65
6.6,bike,-154,2.76
6.7,bike,-155,2.87
6.8,bike,-156,2.98
6.9,bike,-157,3.09
7.0,bike,-158,3.20
7.1,bike,-159,3.31
7.2,bike,-159,3.41
7.3,bike,-160,3.49
7.4,bike,-160,3.56
7.5,bike,-161,3.61
7.6,bike,-161,3.63
7.7,bike,-161,3.64
7.8,bike,-161,3.63
7.9,bike,-161,3.60
8.0,bike,-160,3.56
8.1,bike,-160,3.49
8.2,bike,-159,3.41
8.3,bike,-159,3.30
8.4,bike,-158,3.18
8.5,bike,-157,3.04
8.6,bike,-156,2.89
8.7,bike,-154,2.71
8.8,bike,-152,2.53
8.9,bike,-149,2.33
9.0,bike,-146,2.12
9.1,bike,-141,1.90
9.2,bike,-135,1.68
9.3,bike,-127,1.48
9.4,bike,-115,1.32
9.5,bike,-100,1.21
9.6,bike,-82,1.21
9.7,bike,-65,1.33
9.8,bike,-51,1.55
9.9,bike,-41,1.85
10.0,bike,-33,2.22
# オラクル（検出=GT系列）。モデル出力ではない
