t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,0.000,0
0.7,0.000,0
0.8,0.000,0
0.9,0.000,0
1.0,0.000,0
1.1,0.000,0
1.2,0.000,0
1.3,0.000,0
1.4,0.000,0
1.5,1.000,-154
1.6,1.000,-153
1.7,1.000,-150
1.8,1.000,-143
1.9,1.000,-141
2.0,1.000,-133
2.1,1.000,-129
2.2,1.000,-121
2.3,1.000,-108
2.4,1.000,-93
2.5,1.000,-85
2.6,1.000,-82
2.7,1.000,-75
2.8,1.000,-69
2.9,1.000,-64
3.0,0.000,0
3.1,0.000,0
3.2,0.000,0
3.3,0.000,0
3.4,0.000,0
3.5,0.000,0
3.6,0.000,0
3.7,0.000,0
3.8,0.000,0
3.9,0.000,0
4.0,1.000,-60
4.1,0.000,0
4.2,0.000,0
4.3,0.258,-77
4.4,0.000,0
4.5,0.000,0
4.6,0.000,0
4.7,0.000,0
4.8,0.000,0
4.9,0.000,0
5.0,0.000,0
5.1,1.000,-124
5.2,1.000,-125
5.3,1.000,-136
5.4,1.000,-144
5.5,1.000,-144
5.6,0.000,0
5.7,1.000,-147
5.8,0.000,0
5.9,0.000,0
6.0,0.000,0
6.1,0.000,0
6.2,0.000,0
6.3,0.000,0
6.4,0.000,0
6.5,0.000,0
6.6,0.000,0
6.7,0.000,0
6.8,0.000,0
6.9,0.000,0
7.0,0.000,0
7.1,0.000,0
7.2,0.000,0
7.3,0.000,0
7.4,0.000,0
7.5,0.000,0
7.6,0.000,0
7.7,0.000,0
7.8,0.000,0
7.9,0.000,0
8.0,0.000,0
8.1,0.000,0
8.2,0.243,-157
8.3,0.000,0
8.4,1.000,-154
8.5,0.710,-156
8.6,0.867,-154
8.7,1.000,-152
8.8,1.000,-150
8.9,1.000,-148
9.0,1.000,-143
9.1,1.000,-136
9.2,1.000,-129
9.3,0.306,-118
9.4,1.000,-99
9.5,1.000,-86
9.6,1.000,-75
9.7,1.000,-54
9.8,1.000,-48
9.9,0.000,0
10.0,0.000,0
