t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,1.000,-171
0.7,1.000,-170
0.8,1.000,-170
0.9,1.000,-169
1.0,1.000,-168
1.1,1.000,-167
1.2,1.000,-165
1.3,1.000,-164
1.4,1.000,-162
1.5,1.000,-159
1.6,1.000,-157
1.7,1.000,-154
1.8,1.000,-150
1.9,1.000,-145
2.0,1.000,-140
2.1,1.000,-133
2.2,1.000,-126
2.3,1.000,-117
2.4,1.000,-107
2.5,1.000,-98
2.6,1.000,-89
2.7,1.000,-80
2.8,1.000,-74
2.9,1.000,-68
3.0,1.000,-64
3.1,1.000,-60
3.2,1.000,-58
3.3,1.000,-56
3.4,1.000,-55
3.5,1.000,-55
3.6,1.000,-55
3.7,1.000,-56
3.8,1.000,-57
3.9,1.000,-60
4.0,1.000,-63
4.1,1.000,-67
4.2,1.000,-72
4.3,1.000,-78
4.4,1.000,-83
4.5,1.000,-89
4.6,1.000,-95
4.7,1.000,-100
4.8,1.000,-106
4.9,1.000,-111
5.0,1.000,-116
5.1,1.000,-120
5.2,1.000,-124
5.3,0.000,0
5.4,0.000,0
5.5,0.000,0
5.6,0.000,0
5.7,0.000,0
5.8,0.000,0
5.9,0.000,0
6.0,0.000,0
6.1,0.000,0
6.2,0.000,0
6.3,0.000,0
6.4,0.000,0
6.5,0.000,0
6.6,0.000,0
6.7,0.000,0
6.8,0.000,0
6.9,0.000,0
7.0,0.000,0
7.1,0.000,0
7.2,0.000,0
7.3,0.000,0
7.4,0.000,0
7.5,0.000,0
7.6,0.000,0
7.7,0.000,0
7.8,0.000,0
7.9,0.000,0
8.0,0.000,0
8.1,0.000,0
8.2,0.000,0
8.3,0.059,-159
8.4,0.657,-158
8.5,1.000,-157
8.6,1.000,-156
8.7,1.000,-154
8.8,1.000,-152
8.9,1.000,-149
9.0,1.000,-146
9.1,1.000,-141
9.2,1.000,-135
9.3,1.000,-127
9.4,1.000,-115
9.5,1.000,-100
9.6,1.000,-82
9.7,1.000,-65
9.8,0.000,0
9.9,0.000,0
10.0,0.000,0
