t_s,obj,class,az_deg,dist_m
0.2,0,car,-81.7,53.38
0.3,0,car,-81.5,52.01
0.4,0,car,-81.3,50.64
0.5,0,car,-81.0,49.26
0.6,0,car,-80.8,47.90
0.7,0,car,-80.5,46.53
0.8,0,car,-80.2,45.16
0.9,0,car,-79.9,43.79
1.0,0,car,-79.6,42.43
1.1,0,car,-79.2,41.06
1.2,0,car,-78.8,39.70
1.3,0,car,-78.4,38.34
1.4,0,car,-78.0,36.99
1.5,0,car,-77.5,35.63
1.6,0,car,-77.0,34.28
1.7,0,car,-76.5,32.93
1.8,0,car,-75.9,31.59
1.9,0,car,-75.3,30.24
2.0,0,car,-74.6,28.91
2.1,0,car,-73.8,27.57
2.2,0,car,-73.0,26.25
2.3,0,car,-72.0,24.93
2.4,0,car,-71.0,23.62
2.5,0,car,-69.8,22.32
2.6,0,car,-68.5,21.03
2.7,0,car,-67.0,19.75
2.8,0,car,-65.4,18.49
2.9,0,car,-63.4,17.25
3.0,0,car,-61.2,16.03
3.1,0,car,-58.6,14.84
3.2,0,car,-55.6,13.69
3.3,0,car,-52.0,12.59
3.4,0,car,-47.8,11.55
3.5,0,car,-42.7,10.59
3.6,0,car,-36.7,9.74
3.7,0,car,-29.6,9.02
3.8,0,car,-21.3,8.47
3.9,0,car,-12.1,8.12
4.0,0,car,-2.3,8.00
4.1,0,car,7.6,8.12
4.2,0,car,17.0,8.47
4.3,0,car,25.5,9.02
4.4,0,car,32.9,9.74
4.5,0,car,39.2,10.59
4.6,0,car,44.6,11.55
4.7,0,car,49.1,12.59
4.8,0,car,52.9,13.69
4.9,0,car,56.1,14.84
5.0,0,car,58.9,16.03
5.1,0,car,61.3,17.25
5.2,0,car,63.4,18.49
5.3,0,car,65.2,19.75
5.4,0,car,66.8,21.03
5.5,0,car,68.2,22.32
5.6,0,car,69.4,23.62
5.7,0,car,70.5,24.93
5.8,0,car,71.5,26.25
5.9,0,car,72.5,27.57
6.0,0,car,73.3,28.91
6.1,0,car,74.0,30.24
6.2,0,car,74.7,31.59
6.3,0,car,75.4,32.93
6.4,0,car,76.0,34.28
6.5,0,car,76.5,35.63
6.6,0,car,77.0,36.99
6.7,0,car,77.5,38.34
6.8,0,car,77.9,39.70
6.9,0,car,78.3,41.06
7.0,0,car,78.7,42.43
7.1,0,car,79.1,43.79
7.2,0,car,79.4,45.16
7.3,0,car,79.7,46.53
7.4,0,car,80.0,47.90
7.5,0,car,80.3,49.26
7.6,0,car,80.5,50.64
7.7,0,car,80.8,52.01
7.8,0,car,81.0,53.38
7.9,0,car,81.3,54.75
8.0,0,car,81.5,56.13
8.1,0,car,81.7,57.50
8.2,0,car,81.9,58.88
8.3,0,car,82.1,60.26
8.4,0,car,82.2,61.63
8.5,0,car,82.4,63.01
8.6,0,car,82.6,64.39
8.7,0,car,82.7,65.77
8.8,0,car,82.9,67.14
8.9,0,car,83.0,68.52
9.0,0,car,83.2,69.90
9.1,0,car,83.3,71.28
9.2,0,car,83.4,72.66
9.3,0,car,83.5,74.04
9.4,0,car,83.7,75.43
9.5,0,car,83.8,76.81
9.6,0,car,83.9,78.19
9.7,0,car,84.0,79.57
9.8,0,car,84.1,80.95
9.9,0,car,84.2,82.33
0.3,1,car,83.3,90.67
0.4,1,car,83.2,89.43
0.5,1,car,83.1,88.19
0.6,1,car,83.0,86.95
0.7,1,car,82.9,85.71
0.8,1,car,82.8,84.47
0.9,1,car,82.7,83.23
1.0,1,car,82.6,81.99
1.1,1,car,82.5,80.75
1.2,1,car,82.3,79.51
1.3,1,car,82.2,78.28
1.4,1,car,82.1,77.04
1.5,1,car,82.0,75.80
1.6,1,car,81.8,74.57
1.7,1,car,81.7,73.33
1.8,1,car,81.5,72.09
1.9,1,car,81.4,70.86
2.0,1,car,81.2,69.62
2.1,1,car,81.1,68.39
2.2,1,car,80.9,67.16
2.3,1,car,80.7,65.92
2.4,1,car,80.6,64.69
2.5,1,car,80.4,63.46
2.6,1,car,80.2,62.23
2.7,1,car,80.0,61.00
2.8,1,car,79.8,59.77
2.9,1,car,79.6,58.54
3.0,1,car,79.3,57.32
3.1,1,car,79.1,56.09
3.2,1,car,78.9,54.86
3.3,1,car,78.6,53.64
3.4,1,car,78.3,52.42
3.5,1,car,78.0,51.20
3.6,1,car,77.7,49.98
3.7,1,car,77.4,48.76
3.8,1,car,77.1,47.54
3.9,1,car,76.8,46.32
4.0,1,car,76.4,45.11
4.1,1,car,76.0,43.90
4.2,1,car,75.6,42.69
4.3,1,car,75.2,41.48
4.4,1,car,74.7,40.28
4.5,1,car,74.2,39.08
4.6,1,car,73.7,37.88
4.7,1,car,73.2,36.69
4.8,1,car,72.6,35.50
4.9,1,car,72.0,34.31
5.0,1,car,71.3,33.13
5.1,1,car,70.6,31.95
5.2,1,car,69.8,30.78
5.3,1,car,69.0,29.62
5.4,1,car,68.1,28.46
5.5,1,car,67.1,27.31
5.6,1,car,66.0,26.17
5.7,1,car,64.9,25.04
5.8,1,car,63.6,23.93
5.9,1,car,62.2,22.83
6.0,1,car,60.7,21.74
6.1,1,car,59.0,20.67
6.2,1,car,57.1,19.62
6.3,1,car,55.0,18.60
6.4,1,car,52.6,17.61
6.5,1,car,50.0,16.65
6.6,1,car,47.1,15.73
6.7,1,car,43.8,14.87
6.8,1,car,40.1,14.06
6.9,1,car,36.0,13.31
7.0,1,car,31.4,12.65
7.1,1,car,26.3,12.08
7.2,1,car,20.8,11.62
7.3,1,car,14.8,11.28
7.4,1,car,8.6,11.07
7.5,1,car,2.1,11.00
7.6,1,car,-4.4,11.07
7.7,1,car,-10.8,11.28
7.8,1,car,-16.8,11.62
7.9,1,car,-22.5,12.08
8.0,1,car,-27.8,12.65
8.1,1,car,-32.6,13.31
8.2,1,car,-36.9,14.06
8.3,1,car,-40.7,14.87
8.4,1,car,-44.2,15.73
8.5,1,car,-47.3,16.65
8.6,1,car,-50.0,17.61
8.7,1,car,-52.5,18.60
8.8,1,car,-54.7,19.62
8.9,1,car,-56.7,20.67
9.0,1,car,-58.5,21.74
9.1,1,car,-60.2,22.83
9.2,1,car,-61.7,23.93
9.3,1,car,-63.0,25.04
9.4,1,car,-64.3,26.17
9.5,1,car,-65.4,27.31
9.6,1,car,-66.5,28.46
9.7,1,car,-67.4,29.62
9.8,1,car,-68.3,30.78
9.9,1,car,-69.1,31.95
