t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,-176.0,34.47,1
0.3,0,car,-175.9,33.62,1
0.4,0,car,-175.7,32.77,1
0.5,0,car,-175.6,31.92,1
0.6,0,car,-175.5,31.07,1
0.7,0,car,-175.4,30.22,1
0.8,0,car,-175.3,29.37,1
0.9,0,car,-175.1,28.52,1
1.0,0,car,-175.0,27.67,1
1.1,0,car,-174.8,26.82,1
1.2,0,car,-174.6,25.97,1
1.3,0,car,-174.5,25.12,1
1.4,0,car,-174.3,24.27,1
1.5,0,car,-174.0,23.43,1
1.6,0,car,-173.8,22.58,1
1.7,0,car,-173.6,21.73,1
1.8,0,car,-173.3,20.88,1
1.9,0,car,-173.0,20.04,1
2.0,0,car,-172.7,19.19,1
2.1,0,car,-172.4,18.35,1
2.2,0,car,-172.0,17.50,1
2.3,0,car,-171.6,16.66,1
2.4,0,car,-171.2,15.82,1
2.5,0,car,-170.7,14.97,1
2.6,0,car,-170.1,14.13,1
2.7,0,car,-169.5,13.30,1
2.8,0,car,-168.8,12.46,1
2.9,0,car,-167.9,11.62,1
3.0,0,car,-167.0,10.79,1
3.1,0,car,-165.9,9.98,1
3.2,0,car,-164.6,9.20,1
3.3,0,car,-163.2,8.45,1
3.4,0,car,-161.6,7.73,1
3.5,0,car,-159.7,7.04,1
3.6,0,car,-157.5,6.39,1
3.7,0,car,-154.9,5.78,1
3.8,0,car,-151.9,5.21,1
3.9,0,car,-148.3,4.67,1
4.0,0,car,-144.1,4.19,1
4.1,0,car,-139.0,3.75,1
4.2,0,car,-133.0,3.37,1
4.3,0,car,-126.0,3.06,1
4.4,0,car,-118.1,2.81,1
4.5,0,car,-109.3,2.64,1
4.6,0,car,-100.2,2.53,1
4.7,0,car,-91.2,2.50,1
4.8,0,car,-82.8,2.52,1
4.9,0,car,-75.3,2.59,1
5.0,0,car,-68.9,2.69,1
5.1,0,car,-63.0,2.80,1
5.2,0,car,-57.3,2.89,1
5.3,0,car,-51.6,2.97,1
5.4,0,car,-45.9,3.04,1
5.5,0,car,-40.1,3.10,1
5.6,0,car,-34.2,3.15,1
5.7,0,car,-28.3,3.19,1
5.8,0,car,-22.2,3.23,1
5.9,0,car,-16.0,3.27,1
6.0,0,car,-9.7,3.30,1
6.1,0,car,-3.2,3.33,1
6.2,0,car,3.4,3.37,1
6.3,0,car,10.2,3.41,1
6.4,0,car,17.0,3.47,1
6.5,0,car,24.0,3.53,1
6.6,0,car,30.8,3.62,1
6.7,0,car,37.2,3.76,1
6.8,0,car,43.1,3.94,1
6.9,0,car,48.5,4.16,1
7.0,0,car,53.3,4.41,1
7.1,0,car,57.5,4.68,1
7.2,0,car,61.2,4.98,1
7.3,0,car,64.6,5.30,1
7.4,0,car,67.5,5.64,1
7.5,0,car,70.1,5.98,1
7.6,0,car,72.4,6.34,1
7.7,0,car,74.5,6.71,1
7.8,0,car,76.3,7.08,1
7.9,0,car,78.0,7.46,1
8.0,0,car,79.5,7.85,1
8.1,0,car,80.8,8.24,1
8.2,0,car,82.1,8.63,1
8.3,0,car,83.2,9.03,1
8.4,0,car,84.2,9.43,1
8.5,0,car,85.2,9.83,1
8.6,0,car,86.0,10.24,1
8.7,0,car,86.8,10.65,1
8.8,0,car,87.6,11.06,1
8.9,0,car,88.3,11.47,1
9.0,0,car,88.9,11.89,1
9.1,0,car,89.5,12.30,1
9.2,0,car,90.1,12.72,1
9.3,0,car,90.6,13.13,1
9.4,0,car,91.1,13.55,1
9.5,0,car,91.6,13.97,1
9.6,0,car,92.0,14.39,1
9.7,0,car,92.4,14.81,1
9.8,0,car,92.8,15.23,1
9.9,0,car,93.2,15.66,1
