t_s,obj,class,az_deg,dist_m
0.2,0,car,-176.0,34.47
0.3,0,car,-175.9,33.62
0.4,0,car,-175.7,32.77
0.5,0,car,-175.6,31.92
0.6,0,car,-175.5,31.07
0.7,0,car,-175.4,30.22
0.8,0,car,-175.3,29.37
0.9,0,car,-175.1,28.52
1.0,0,car,-175.0,27.67
1.1,0,car,-174.8,26.82
1.2,0,car,-174.6,25.97
1.3,0,car,-174.5,25.12
1.4,0,car,-174.3,24.27
1.5,0,car,-174.0,23.43
1.6,0,car,-173.8,22.58
1.7,0,car,-173.6,21.73
1.8,0,car,-173.3,20.88
1.9,0,car,-173.0,20.04
2.0,0,car,-172.7,19.19
2.1,0,car,-172.4,18.35
2.2,0,car,-172.0,17.50
2.3,0,car,-171.6,16.66
2.4,0,car,-171.2,15.82
2.5,0,car,-170.7,14.97
2.6,0,car,-170.1,14.13
2.7,0,car,-169.5,13.30
2.8,0,car,-168.8,12.46
2.9,0,car,-167.9,11.62
3.0,0,car,-167.0,10.79
3.1,0,car,-165.9,9.98
3.2,0,car,-164.6,9.20
3.3,0,car,-163.2,8.45
3.4,0,car,-161.6,7.73
3.5,0,car,-159.7,7.04
3.6,0,car,-157.5,6.39
3.7,0,car,-154.9,5.78
3.8,0,car,-151.9,5.21
3.9,0,car,-148.3,4.67
4.0,0,car,-144.1,4.19
4.1,0,car,-139.0,3.75
4.2,0,car,-133.0,3.37
4.3,0,car,-126.0,3.06
4.4,0,car,-118.1,2.81
4.5,0,car,-109.3,2.64
4.6,0,car,-100.2,2.53
4.7,0,car,-91.2,2.50
4.8,0,car,-82.8,2.52
4.9,0,car,-75.3,2.59
5.0,0,car,-68.9,2.69
5.1,0,car,-63.0,2.80
5.2,0,car,-57.3,2.89
5.3,0,car,-51.6,2.97
5.4,0,car,-45.9,3.04
5.5,0,car,-40.1,3.10
5.6,0,car,-34.2,3.15
5.7,0,car,-28.3,3.19
5.8,0,car,-22.2,3.23
5.9,0,car,-16.0,3.27
6.0,0,car,-9.7,3.30
6.1,0,car,-3.2,3.33
6.2,0,car,3.4,3.37
6.3,0,car,10.2,3.41
6.4,0,car,17.0,3.47
6.5,0,car,24.0,3.53
6.6,0,car,30.8,3.62
6.7,0,car,37.2,3.76
6.8,0,car,43.1,3.94
6.9,0,car,48.5,4.16
7.0,0,car,53.3,4.41
7.1,0,car,57.5,4.68
7.2,0,car,61.2,4.98
7.3,0,car,64.6,5.30
7.4,0,car,67.5,5.64
7.5,0,car,70.1,5.98
7.6,0,car,72.4,6.34
7.7,0,car,74.5,6.71
7.8,0,car,76.3,7.08
7.9,0,car,78.0,7.46
8.0,0,car,79.5,7.85
8.1,0,car,80.8,8.24
8.2,0,car,82.1,8.63
8.3,0,car,83.2,9.03
8.4,0,car,84.2,9.43
8.5,0,car,85.2,9.83
8.6,0,car,86.0,10.24
8.7,0,car,86.8,10.65
8.8,0,car,87.6,11.06
8.9,0,car,88.3,11.47
9.0,0,car,88.9,11.89
9.1,0,car,89.5,12.30
9.2,0,car,90.1,12.72
9.3,0,car,90.6,13.13
9.4,0,car,91.1,13.55
9.5,0,car,91.6,13.97
9.6,0,car,92.0,14.39
9.7,0,car,92.4,14.81
9.8,0,car,92.8,15.23
9.9,0,car,93.2,15.66
