t_s,class,az_deg,dist_m
0.3,car,49,45.35
0.4,car,49,44.58
0.5,car,49,43.80
0.6,car,49,43.03
0.7,car,49,42.26
0.8,car,50,41.49
0.9,car,50,40.72
1.0,car,50,39.95
1.1,car,50,39.18
1.2,car,50,38.41
1.3,car,51,37.64
1.4,car,51,36.87
1.5,car,51,36.10
1.6,car,51,35.33
1.7,car,51,34.56
1.8,car,51,33.80
1.9,car,52,33.03
2.0,car,52,32.26
2.1,car,52,31.49
2.2,car,52,30.73
2.3,car,53,29.96
2.4,car,53,29.19
2.5,car,53,28.43
2.6,car,53,27.66
2.7,car,54,26.90
2.8,car,54,26.14
2.9,car,54,25.38
3.0,car,55,24.62
3.1,car,55,23.86
3.2,car,55,23.10
3.3,car,56,22.34
3.4,car,56,21.58
3.5,car,57,20.83
3.6,car,57,20.08
3.7,car,58,19.33
3.8,car,59,18.58
3.9,car,59,17.83
4.0,car,60,17.09
4.1,car,61,16.35
4.2,car,62,15.61
4.3,car,63,14.88
4.4,car,64,14.15
4.5,car,65,13.43
4.6,car,66,12.71
4.7,car,68,12.00
4.8,car,69,11.30
4.9,car,71,10.61
5.0,car,73,9.93
5.1,car,75,9.25
5.2,car,77,8.56
5.3,car,80,7.89
5.4,car,83,7.23
5.5,car,86,6.60
5.6,car,90,6.00
5.7,car,98,6.06
5.8,car,105,6.23
5.9,car,112,6.50
6.0,car,118,6.85
6.1,car,124,7.28
6.2,car,129,7.77
6.3,car,133,8.31
6.4,car,137,8.89
6.5,car,141,9.51
6.6,car,144,10.15
6.7,car,146,10.82
6.8,car,148,11.51
6.9,car,151,12.21
7.0,car,152,12.92
7.1,car,154,13.64
7.2,car,156,14.36
7.3,car,157,15.10
7.4,car,158,15.85
7.5,car,159,16.60
7.6,car,160,17.36
7.7,car,161,18.12
7.8,car,162,18.88
7.9,car,163,19.65
8.0,car,164,20.42
8.1,car,164,21.20
8.2,car,165,21.98
8.3,car,166,22.76
8.4,car,166,23.54
8.5,car,167,24.33
8.6,car,167,25.11
8.7,car,168,25.90
8.8,car,168,26.69
8.9,car,168,27.48
9.0,car,169,28.27
9.1,car,169,29.07
9.2,car,170,29.86
9.3,car,170,30.66
9.4,car,170,31.45
9.5,car,171,32.25
9.6,car,171,33.05
9.7,car,171,33.85
9.8,car,171,34.65
9.9,car,172,35.45
10.0,car,172,36.25
5.6,bike_bell,-171,
5.7,bike_bell,-170,
5.8,bike_bell,-170,
5.9,bike_bell,-169,
6.0,bike_bell,-168,
6.1,bike_bell,-168,
6.2,bike_bell,-167,
6.3,bike_bell,-166,
6.4,bike_bell,-165,
6.5,bike_bell,-163,
6.6,bike_bell,-162,
6.7,bike_bell,-160,
6.8,bike_bell,-157,
6.9,bike_bell,-155,
7.0,bike_bell,-151,
7.1,bike_bell,-146,
7.2,bike_bell,-140,
7.3,bike_bell,-132,
7.4,bike_bell,-121,
7.5,bike_bell,-107,
# オラクル（検出=GT系列）。モデル出力ではない
