t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,48.7,45.35,1
0.3,0,car,48.9,44.58,1
0.4,0,car,49.0,43.80,1
0.5,0,car,49.2,43.03,1
0.6,0,car,49.4,42.26,1
0.7,0,car,49.5,41.49,1
0.8,0,car,49.7,40.72,1
0.9,0,car,49.9,39.95,1
1.0,0,car,50.1,39.18,1
1.1,0,car,50.3,38.41,1
1.2,0,car,50.5,37.64,1
1.3,0,car,50.7,36.87,1
1.4,0,car,50.9,36.10,1
1.5,0,car,51.1,35.33,1
1.6,0,car,51.3,34.56,1
1.7,0,car,51.5,33.80,1
1.8,0,car,51.7,33.03,1
1.9,0,car,51.9,32.26,1
2.0,0,car,52.1,31.49,1
2.1,0,car,52.3,30.73,1
2.2,0,car,52.6,29.96,1
2.3,0,car,52.8,29.19,1
2.4,0,car,53.1,28.43,1
2.5,0,car,53.4,27.66,1
2.6,0,car,53.7,26.90,1
2.7,0,car,54.0,26.14,1
2.8,0,car,54.3,25.38,1
2.9,0,car,54.7,24.62,1
3.0,0,car,55.1,23.86,1
3.1,0,car,55.5,23.10,1
3.2,0,car,55.9,22.34,1
3.3,0,car,56.4,21.58,1
3.4,0,car,56.9,20.83,1
3.5,0,car,57.4,20.08,1
3.6,0,car,58.0,19.33,1
3.7,0,car,58.6,18.58,1
3.8,0,car,59.3,17.83,1
3.9,0,car,60.0,17.09,1
4.0,0,car,60.8,16.35,1
4.1,0,car,61.7,15.61,1
4.2,0,car,62.6,14.88,1
4.3,0,car,63.7,14.15,1
4.4,0,car,64.8,13.43,1
4.5,0,car,66.1,12.71,1
4.6,0,car,67.5,12.00,1
4.7,0,car,69.2,11.30,1
4.8,0,car,71.0,10.61,1
4.9,0,car,73.1,9.93,1
5.0,0,car,75.2,9.25,1
5.1,0,car,77.4,8.56,1
5.2,0,car,79.8,7.89,1
5.3,0,car,82.7,7.23,1
5.4,0,car,86.2,6.60,1
5.5,0,car,90.4,6.00,1
5.6,0,car,97.6,6.06,1
5.7,0,car,105.1,6.23,1
5.8,0,car,112.0,6.50,1
5.9,0,car,118.4,6.85,1
6.0,0,car,124.1,7.28,1
6.1,0,car,129.1,7.77,1
6.2,0,car,133.5,8.31,1
6.3,0,car,137.3,8.89,1
6.4,0,car,140.7,9.51,1
