t_s,class,az_deg,dist_m
0.2,car,53,23.74
0.3,car,53,22.84
0.4,car,53,21.94
0.5,car,53,21.04
0.6,car,53,20.14
0.7,car,54,19.24
0.8,car,54,18.34
0.9,car,54,17.44
1.0,car,54,16.54
1.1,car,54,15.63
1.2,car,54,14.73
1.3,car,54,13.83
1.4,car,54,12.93
1.5,car,54,12.03
1.6,car,54,11.13
1.7,car,54,10.23
1.8,car,55,9.33
1.9,car,55,8.43
2.0,car,55,7.53
2.1,car,54,6.67
2.2,car,52,5.84
2.3,car,50,5.03
2.4,car,47,4.26
2.5,car,42,3.53
2.6,car,35,2.84
2.7,car,25,2.24
2.8,car,9,1.76
2.9,car,-15,1.51
3.0,car,-41,1.57
3.1,car,-61,1.89
3.2,car,-74,2.34
3.3,car,-83,2.85
3.4,car,-88,3.39
3.5,car,-92,3.93
3.6,car,-95,4.46
3.7,car,-98,4.98
3.8,car,-100,5.48
3.9,car,-101,5.97
4.0,car,-102,6.44
4.1,car,-104,6.90
4.2,car,-105,7.34
4.3,car,-105,7.79
4.4,car,-106,8.24
4.5,car,-107,8.69
4.6,car,-107,9.14
4.7,car,-108,9.59
4.8,car,-109,10.05
4.9,car,-109,10.50
5.0,car,-109,10.95
5.1,car,-110,11.41
5.2,car,-110,11.87
5.3,car,-111,12.32
5.4,car,-111,12.78
5.5,car,-111,13.24
5.6,car,-111,13.69
5.7,car,-112,14.14
5.8,car,-112,14.60
5.9,car,-112,15.05
6.0,car,-112,15.51
6.1,car,-112,15.96
6.2,car,-112,16.42
6.3,car,-112,16.87
6.4,car,-113,17.33
6.5,car,-113,17.78
6.6,car,-113,18.24
6.7,car,-113,18.69
6.8,car,-113,19.15
6.9,car,-113,19.60
7.0,car,-113,20.06
7.1,car,-113,20.51
7.2,car,-113,20.97
7.3,car,-113,21.42
7.4,car,-113,21.88
7.5,car,-113,22.34
7.6,car,-114,22.79
7.7,car,-114,23.25
7.8,car,-114,23.70
7.9,car,-114,24.16
8.0,car,-114,24.61
8.1,car,-114,25.07
8.2,car,-114,25.53
8.3,car,-114,25.98
8.4,car,-114,26.44
8.5,car,-114,26.89
8.6,car,-114,27.35
8.7,car,-114,27.80
8.8,car,-114,28.26
8.9,car,-114,28.72
9.0,car,-114,29.17
9.1,car,-114,29.63
9.2,car,-114,30.08
9.3,car,-114,30.54
9.4,car,-114,30.99
9.5,car,-114,31.45
9.6,car,-114,31.91
9.7,car,-115,32.36
9.8,car,-115,32.82
9.9,car,-115,33.27
10.0,car,-115,33.73
# オラクル（検出=GT系列）。モデル出力ではない
