t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,0.000,0
0.7,0.000,0
0.8,0.000,0
0.9,0.000,0
1.0,0.000,0
1.1,0.000,0
1.2,0.000,0
1.3,0.000,0
1.4,0.000,0
1.5,0.000,0
1.6,0.000,0
1.7,0.000,0
1.8,0.000,0
1.9,0.000,0
2.0,0.000,0
2.1,0.000,0
2.2,0.000,0
2.3,0.000,0
2.4,0.000,0
2.5,0.000,0
2.6,0.000,0
2.7,0.012,-98
2.8,0.040,-98
2.9,0.071,-99
3.0,0.103,-99
3.1,0.138,-99
3.2,0.152,-100
3.3,0.115,-100
3.4,0.017,-100
3.5,0.039,-101
3.6,0.277,-101
3.7,0.601,-102
3.8,0.837,-102
3.9,0.843,-103
4.0,0.691,-103
4.1,0.507,-104
4.2,0.321,-105
4.3,0.131,-105
4.4,0.000,0
4.5,0.000,0
4.6,0.000,0
4.7,0.000,0
4.8,0.000,0
4.9,0.000,0
5.0,0.000,0
5.1,0.000,0
5.2,0.000,0
5.3,0.000,0
5.4,0.000,0
5.5,0.000,0
5.6,0.000,0
5.7,0.000,0
5.8,0.000,0
5.9,0.000,0
6.0,0.000,0
6.1,0.000,0
6.2,0.000,0
6.3,0.000,0
6.4,0.000,0
6.5,0.000,0
6.6,0.000,0
6.7,0.000,0
6.8,0.000,0
6.9,0.000,0
7.0,0.000,0
7.1,0.000,0
7.2,0.000,0
7.3,0.000,0
7.4,0.000,0
7.5,0.000,0
7.6,0.000,0
7.7,0.000,0
7.8,0.000,0
7.9,0.000,0
8.0,0.000,0
8.1,0.000,0
8.2,0.000,0
8.3,0.000,0
8.4,0.000,0
8.5,0.000,0
8.6,0.000,0
8.7,0.000,0
8.8,0.000,0
8.9,0.000,0
9.0,0.000,0
9.1,0.000,0
9.2,0.000,0
9.3,0.000,0
9.4,0.000,0
9.5,0.000,0
9.6,0.000,0
9.7,0.000,0
9.8,0.000,0
9.9,0.000,0
10.0,0.000,0
