t_s,class,az_deg,dist_m
1.5,car,4,5.59
1.6,car,2,18.07
1.7,car,5,7.22
1.8,car,3,24.50
1.9,car,3,24.34
2.0,car,3,35.92
2.1,car,4,29.03
2.2,car,2,34.39
2.3,car,3,35.62
2.4,car,3,37.53
2.5,car,3,34.17
2.6,car,2,35.61
2.7,car,1,37.74
2.8,car,3,32.42
2.9,car,4,33.98
3.0,car,4,32.58
3.1,car,2,28.34
3.2,car,1,26.41
3.3,car,2,23.63
3.4,car,2,21.96
3.5,car,2,18.08
3.6,car,5,17.26
3.7,car,5,14.43
3.8,car,6,14.64
3.9,car,4,13.06
4.0,car,6,11.75
4.1,car,7,11.57
4.2,car,8,10.15
4.3,car,10,8.97
4.4,car,11,8.54
4.5,car,14,7.05
4.6,car,15,6.35
4.7,car,20,6.15
4.8,car,28,4.84
4.9,car,41,2.40
4.9,car,38,2.95
5.0,car,67,2.24
5.1,car,116,2.04
5.2,car,139,3.28
5.3,car,155,4.43
5.4,car,160,5.82
5.5,car,164,6.31
5.6,car,168,8.19
5.7,car,171,9.45
5.8,car,172,10.81
5.9,car,173,11.27
6.0,car,173,12.51
6.1,car,174,12.38
6.2,car,174,12.83
6.3,car,175,14.17
6.4,car,174,14.66
6.5,car,175,16.63
6.6,car,177,17.20
6.7,car,178,19.85
6.8,car,177,19.99
6.9,car,179,20.47
7.0,car,-179,22.00
7.1,car,-179,22.67
7.2,car,-178,23.11
7.3,car,-176,22.81
7.4,car,-173,21.52
7.5,car,-169,20.44
7.6,car,-167,20.51
7.7,car,-165,19.45
7.8,car,-159,16.83
7.9,car,-159,15.74
8.0,car,-150,13.97
8.1,car,-145,11.25
8.2,car,-132,7.46
8.3,car,-127,7.02
8.4,car,-113,4.77
8.5,car,-101,4.37
8.6,car,-89,3.80
8.7,car,-76,4.13
8.8,car,-67,4.34
8.9,car,-58,5.32
9.0,car,-47,6.40
9.1,car,-43,8.66
9.2,car,-34,8.70
9.3,car,-29,9.68
9.4,car,-28,11.53
9.5,car,-26,12.49
9.6,car,-24,14.87
9.7,car,-23,16.71
9.8,car,-21,16.71
9.9,car,-18,19.68
10.0,car,-17,19.71
