t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,1.5,45.75,1
0.3,0,car,1.5,44.80,1
0.4,0,car,1.5,43.84,1
0.5,0,car,1.6,42.89,1
0.6,0,car,1.6,41.94,1
0.7,0,car,1.6,40.99,1
0.8,0,car,1.7,40.03,1
0.9,0,car,1.7,39.08,1
1.0,0,car,1.8,38.13,1
1.1,0,car,1.8,37.18,1
1.2,0,car,1.9,36.23,1
1.3,0,car,1.9,35.27,1
1.4,0,car,2.0,34.32,1
1.5,0,car,2.0,33.37,1
1.6,0,car,2.1,32.42,1
1.7,0,car,2.1,31.46,1
1.8,0,car,2.2,30.51,1
1.9,0,car,2.3,29.56,1
2.0,0,car,2.3,28.61,1
2.1,0,car,2.4,27.66,1
2.2,0,car,2.5,26.70,1
2.3,0,car,2.6,25.75,1
2.4,0,car,2.7,24.80,1
2.5,0,car,2.8,23.85,1
2.6,0,car,2.9,22.90,1
2.7,0,car,3.1,21.95,1
2.8,0,car,3.2,21.00,1
2.9,0,car,3.3,20.04,1
3.0,0,car,3.5,19.09,1
3.1,0,car,3.7,18.14,1
3.2,0,car,3.9,17.19,1
3.3,0,car,4.1,16.24,1
3.4,0,car,4.4,15.29,1
3.5,0,car,4.7,14.34,1
3.6,0,car,5.0,13.39,1
3.7,0,car,5.4,12.44,1
3.8,0,car,5.8,11.50,1
3.9,0,car,6.4,10.55,1
4.0,0,car,7.0,9.60,1
4.1,0,car,7.8,8.66,1
4.2,0,car,8.7,7.72,1
4.3,0,car,10.0,6.78,1
4.4,0,car,11.6,5.84,1
4.5,0,car,13.8,4.91,1
4.6,0,car,17.1,4.00,1
4.7,0,car,22.2,3.10,1
4.8,0,car,31.5,2.25,1
4.9,0,car,50.5,1.53,1
5.0,0,car,88.6,1.20,1
5.1,0,car,127.4,1.53,1
5.2,0,car,147.1,2.25,1
5.3,0,car,156.7,3.10,1
5.4,0,car,162.1,4.00,1
5.5,0,car,165.5,4.91,1
5.6,0,car,167.9,5.84,1
5.7,0,car,169.6,6.78,1
5.8,0,car,170.8,7.72,1
5.9,0,car,171.8,8.66,1
6.0,0,car,172.6,9.60,1
6.1,0,car,173.3,10.55,1
6.2,0,car,173.9,11.50,1
6.3,0,car,174.3,12.44,1
6.4,0,car,174.7,13.39,1
6.5,0,car,175.1,14.34,1
6.6,0,car,175.4,15.29,1
6.7,0,car,175.7,16.24,1
6.8,0,car,175.9,17.19,1
6.9,0,car,176.1,18.14,1
7.0,0,car,176.3,19.09,1
7.1,0,car,176.5,20.04,1
