t_s,obj,class,az_deg,dist_m,vis
0.2,4_0,car,179.5,55.18,1
0.3,4_0,car,179.5,54.54,1
0.4,4_0,car,179.5,53.89,1
0.5,4_0,car,179.5,53.24,1
0.6,4_0,car,179.5,52.60,1
0.7,4_0,car,179.5,51.95,1
0.8,4_0,car,179.5,51.30,1
0.9,4_0,car,179.4,50.66,1
1.0,4_0,car,179.4,50.01,1
1.1,4_0,car,179.4,49.36,1
1.2,4_0,car,179.4,48.71,1
1.3,4_0,car,179.4,48.07,1
1.4,4_0,car,179.4,47.42,1
1.5,4_0,car,179.4,46.77,1
1.6,4_0,car,179.4,46.13,1
1.7,4_0,car,179.4,45.48,1
1.8,4_0,car,179.4,44.83,1
1.9,4_0,car,179.4,44.19,1
2.0,4_0,car,179.4,43.54,1
2.1,4_0,car,179.4,42.89,1
2.2,4_0,car,179.3,42.24,1
2.3,4_0,car,179.3,41.60,1
2.4,4_0,car,179.3,40.95,1
2.5,4_0,car,179.3,40.30,1
2.6,4_0,car,179.3,39.66,1
2.7,4_0,car,179.3,39.01,1
2.8,4_0,car,179.3,38.36,1
2.9,4_0,car,179.3,37.72,1
3.0,4_0,car,179.2,37.07,1
3.1,4_0,car,179.2,36.42,1
3.2,4_0,car,179.2,35.77,1
3.3,4_0,car,179.2,35.13,1
3.4,4_0,car,179.2,34.48,1
3.5,4_0,car,179.2,33.83,1
3.6,4_0,car,179.2,33.19,1
3.7,4_0,car,179.1,32.54,1
3.8,4_0,car,179.1,31.89,1
3.9,4_0,car,179.1,31.25,1
4.0,4_0,car,179.1,30.60,1
4.1,4_0,car,179.1,29.95,1
4.2,4_0,car,179.0,29.31,1
4.3,4_0,car,179.0,28.66,1
4.4,4_0,car,179.0,28.01,1
4.5,4_0,car,179.0,27.36,1
4.6,4_0,car,179.0,26.72,1
4.7,4_0,car,178.9,26.07,1
4.8,4_0,car,178.9,25.42,1
4.9,4_0,car,178.9,24.78,1
5.0,4_0,car,178.8,24.13,1
5.1,4_0,car,178.8,23.48,1
5.2,4_0,car,178.8,22.84,1
5.3,4_0,car,178.7,22.19,1
5.4,4_0,car,178.7,21.54,1
5.5,4_0,car,178.7,20.90,1
5.6,4_0,car,178.6,20.25,1
5.7,4_0,car,178.6,19.60,1
5.8,4_0,car,178.5,18.96,1
5.9,4_0,car,178.5,18.31,1
6.0,4_0,car,178.4,17.66,1
6.1,4_0,car,178.4,17.02,1
6.2,4_0,car,178.3,16.37,1
6.3,4_0,car,178.2,15.72,1
6.4,4_0,car,178.2,15.08,1
6.5,4_0,car,178.1,14.43,1
6.6,4_0,car,178.0,13.79,1
6.7,4_0,car,177.9,13.14,1
6.8,4_0,car,177.8,12.49,1
6.9,4_0,car,177.6,11.85,1
7.0,4_0,car,177.5,11.20,1
7.1,4_0,car,177.4,10.56,1
7.2,4_0,car,177.2,9.91,1
7.3,4_0,car,177.0,9.27,1
7.4,4_0,car,176.8,8.62,1
7.5,4_0,car,176.5,7.98,1
7.6,4_0,car,176.2,7.33,1
7.7,4_0,car,175.8,6.69,1
7.8,4_0,car,175.4,6.05,1
7.9,4_0,car,174.8,5.40,1
8.0,4_0,car,174.1,4.76,1
8.1,4_0,car,173.2,4.12,1
8.2,4_0,car,171.9,3.49,1
8.3,4_0,car,170.0,2.86,1
8.4,4_0,car,167.1,2.24,1
8.5,4_0,car,161.8,1.64,1
8.6,4_0,car,149.7,1.10,1
8.7,4_0,car,111.3,0.75,1
8.8,4_0,car,47.8,0.86,1
8.9,4_0,car,24.6,1.33,1
9.0,4_0,car,16.1,1.91,1
9.1,4_0,car,11.9,2.52,1
9.2,4_0,car,9.4,3.14,1
9.3,4_0,car,7.8,3.78,1
9.4,4_0,car,6.7,4.41,1
9.5,4_0,car,5.8,5.05,1
9.6,4_0,car,5.1,5.69,1
9.7,4_0,car,4.6,6.33,1
9.8,4_0,car,4.2,6.98,1
9.9,4_0,car,3.8,7.62,1
0.1,5_0,crossing,20.9,18.63,1
0.2,5_0,crossing,21.0,18.54,1
0.3,5_0,crossing,21.1,18.44,1
0.4,5_0,crossing,21.2,18.35,1
0.5,5_0,crossing,21.3,18.25,1
0.6,5_0,crossing,21.4,18.16,1
0.7,5_0,crossing,21.6,18.06,1
0.8,5_0,crossing,21.7,17.97,1
0.9,5_0,crossing,21.8,17.88,1
1.0,5_0,crossing,21.9,17.78,1
1.1,5_0,crossing,22.0,17.69,1
1.2,5_0,crossing,22.2,17.59,1
1.3,5_0,crossing,22.3,17.50,1
1.4,5_0,crossing,22.4,17.41,1
1.5,5_0,crossing,22.5,17.31,1
1.6,5_0,crossing,22.7,17.22,1
1.7,5_0,crossing,22.8,17.13,1
1.8,5_0,crossing,22.9,17.03,1
1.9,5_0,crossing,23.1,16.94,1
2.0,5_0,crossing,23.2,16.85,1
2.1,5_0,crossing,23.3,16.75,1
