t_s,class,az_deg,dist_m
0.2,car,1,2.43
0.3,car,1,3.85
0.3,car,1,3.85
0.4,car,0,5.94
0.4,car,0,6.03
0.5,car,-1,13.89
0.5,car,-1,13.97
0.6,car,-1,13.93
0.6,car,-1,14.21
0.7,car,-2,15.18
0.7,car,-1,15.53
0.8,car,-2,18.76
0.8,car,-1,20.51
0.9,car,0,20.88
0.9,car,0,22.77
1.0,car,-1,19.73
1.0,car,-1,21.66
1.1,car,0,19.74
1.1,car,0,22.30
1.2,car,0,19.18
1.2,car,0,22.05
1.3,car,-1,19.57
1.3,car,0,22.60
1.4,car,-2,19.33
1.4,car,-1,21.84
1.5,car,-2,17.87
1.5,car,0,20.65
1.6,car,-2,17.95
1.6,car,-1,20.52
1.7,car,-3,17.34
1.7,car,-1,19.75
1.8,car,-3,15.32
1.8,car,-1,17.77
1.9,car,-4,14.97
1.9,car,-1,17.20
2.0,car,-3,13.13
2.0,car,-2,16.11
2.1,car,-3,11.98
2.1,car,-1,14.63
2.2,car,-5,10.72
2.2,car,-3,13.56
2.3,car,-5,10.73
2.3,car,-2,13.43
2.4,car,-7,9.41
2.4,car,-3,12.58
2.5,car,-6,9.21
2.5,car,-3,11.66
2.6,car,-7,8.61
2.6,car,-4,11.59
2.7,car,-7,7.10
2.7,car,-3,10.48
2.8,car,-6,6.96
2.8,car,-4,10.93
2.9,car,-6,7.19
2.9,car,-3,10.96
3.0,car,-4,7.07
3.0,car,-2,10.68
3.1,car,-8,5.61
3.1,car,-4,10.58
3.2,car,-8,5.20
3.2,car,-4,10.20
3.3,car,-9,4.61
3.3,car,-4,9.76
3.4,car,-10,4.30
3.4,car,-4,10.19
3.5,car,-11,4.30
3.5,car,-4,10.06
3.6,car,-11,3.11
3.6,car,-4,8.27
3.7,car,-14,3.07
3.7,car,178,21.04
3.7,car,1,12.25
3.8,car,-18,2.62
3.8,car,174,20.96
3.8,car,1,12.28
3.9,car,-24,2.12
3.9,car,174,21.79
3.9,car,-3,10.03
4.0,car,-43,1.42
4.0,car,170,25.53
4.0,car,-6,11.11
4.1,car,-76,1.01
4.1,car,169,26.30
4.1,car,-8,14.79
4.2,car,-120,1.02
4.2,car,170,24.41
4.2,car,-17,11.36
4.3,car,-148,1.90
4.3,car,171,20.72
4.3,car,-13,15.65
4.4,car,-156,2.59
4.4,car,168,19.56
4.4,car,-7,19.85
4.5,car,-162,3.35
4.5,car,168,19.32
4.5,car,-5,17.95
4.6,car,-164,4.17
4.6,car,168,18.24
4.6,car,-1,20.57
4.7,car,-168,4.65
4.7,car,168,16.74
4.7,car,0,20.06
4.8,car,-169,5.08
4.8,car,165,16.11
4.8,car,2,20.53
4.9,car,-171,5.56
4.9,car,166,15.04
4.9,car,5,19.76
5.0,car,-174,6.06
5.0,car,167,14.77
5.0,car,5,19.14
5.1,car,176,9.89
5.1,car,6,17.76
5.2,car,176,10.32
5.2,car,4,18.70
5.3,car,175,10.16
5.3,car,5,19.00
5.4,car,175,10.20
5.4,car,7,17.56
5.5,car,174,10.51
5.5,car,0,15.81
5.6,car,174,10.60
5.6,car,2,16.09
5.7,car,160,8.08
5.7,car,-173,13.65
5.7,car,1,16.31
5.8,car,155,7.81
5.8,car,-170,13.29
5.8,car,3,15.43
5.9,car,155,8.31
5.9,car,-169,13.20
