type,a,b,c,d,e,f,g
map,1,,,,,,
poi,82.3,61.6,crossing,,,,
poi,87.0,63.6,signal,,,,
poi,85.9,70.0,crossing,,,,
poi,89.0,56.9,crossing,,,,
poi,-22.2,-21.0,gate,,,,
poi,-11.3,-4.1,crossing,,,,
poi,-67.7,-12.2,gate,,,,
poi,3.6,3.8,crossing,,,,
poi,12.0,-8.4,gate,,,,
poi,-67.8,-1.7,gate,,,,
poi,-7.0,-22.4,crossing,,,,
poi,-116.3,-13.5,gate,,,,
poi,-25.5,2.8,gate,,,,
poi,-14.5,-106.6,gate,,,,
poi,75.6,103.1,crossing,,,,
poi,81.3,96.9,crossing,,,,
poi,-61.0,45.5,gate,,,,
water,-3740.7,-1380.3,-3721.1,-1381.2,12.0,利根運河,
water,-3721.1,-1381.2,-3655.3,-1355.6,12.0,利根運河,
water,-3655.3,-1355.6,-3471.7,-1257.5,12.0,利根運河,
water,-3471.7,-1257.5,-3324.8,-1177.6,12.0,利根運河,
water,-3324.8,-1177.6,-3296.4,-1161.9,12.0,利根運河,
water,-3296.4,-1161.9,-3246.2,-1125.2,12.0,利根運河,
water,-3246.2,-1125.2,-3231.3,-1118.0,12.0,利根運河,
water,-3231.3,-1118.0,-3175.9,-1073.9,12.0,利根運河,
water,-3175.9,-1073.9,-3150.6,-1060.9,12.0,利根運河,
water,-3150.6,-1060.9,-2967.9,-915.1,12.0,利根運河,
water,-2967.9,-915.1,-2939.9,-895.9,12.0,利根運河,
water,-2939.9,-895.9,-2708.7,-758.5,12.0,利根運河,
water,-2708.7,-758.5,-2577.6,-662.2,12.0,利根運河,
water,-2577.6,-662.2,-2440.4,-528.7,12.0,利根運河,
water,-2440.4,-528.7,-2340.6,-420.9,12.0,利根運河,
water,-2340.6,-420.9,-2196.9,-239.3,12.0,利根運河,
water,-2196.9,-239.3,-2172.8,-205.2,12.0,利根運河,
water,-2172.8,-205.2,-2162.2,-191.4,12.0,利根運河,
water,-2162.2,-191.4,-2089.2,-103.6,12.0,利根運河,
water,-2089.2,-103.6,-2059.0,-75.2,12.0,利根運河,
water,-2059.0,-75.2,-2017.4,-39.9,12.0,利根運河,
water,-2017.4,-39.9,-1968.3,-5.7,12.0,利根運河,
water,-1968.3,-5.7,-1938.3,12.6,12.0,利根運河,
water,-1938.3,12.6,-1833.5,56.4,12.0,利根運河,
water,-1833.5,56.4,-1715.5,96.1,12.0,利根運河,
water,-1715.5,96.1,-1614.0,103.5,12.0,利根運河,
water,-1614.0,103.5,-1538.5,99.1,12.0,利根運河,
water,-1538.5,99.1,-1443.1,70.7,12.0,利根運河,
water,-1443.1,70.7,-1382.3,38.1,12.0,利根運河,
water,-1382.3,38.1,-1336.0,25.9,12.0,利根運河,
water,-1336.0,25.9,-1244.7,-15.9,12.0,利根運河,
water,-1244.7,-15.9,-1176.9,-36.8,12.0,利根運河,
water,-1176.9,-36.8,-1129.0,-44.3,12.0,利根運河,
water,-1129.0,-44.3,-1098.2,-47.3,12.0,利根運河,
water,-1098.2,-47.3,-1067.5,-46.3,12.0,利根運河,
water,-1067.5,-46.3,-1025.5,-40.1,12.0,利根運河,
water,-1025.5,-40.1,-988.3,-32.3,12.0,利根運河,
water,-988.3,-32.3,-953.1,-18.7,12.0,利根運河,
water,-953.1,-18.7,-931.9,-5.8,12.0,利根運河,
water,-931.9,-5.8,-894.1,23.2,12.0,利根運河,
water,-894.1,23.2,-859.0,56.6,12.0,利根運河,
water,-859.0,56.6,-783.9,122.2,12.0,利根運河,
water,-783.9,122.2,-741.4,166.9,12.0,利根運河,
water,-741.4,166.9,-711.0,189.3,12.0,利根運河,
water,-711.0,189.3,-657.9,210.9,12.0,利根運河,
water,-657.9,210.9,-622.8,219.0,12.0,利根運河,
water,-622.8,219.0,-558.2,229.0,12.0,利根運河,
water,-558.2,229.0,-471.6,221.9,12.0,利根運河,
water,-471.6,221.9,-427.2,217.0,12.0,利根運河,
water,-427.2,217.0,-390.2,209.2,12.0,利根運河,
water,-390.2,209.2,-350.8,197.2,12.0,利根運河,
water,-350.8,197.2,-333.2,190.2,12.0,利根運河,
water,-333.2,190.2,-305.3,178.0,12.0,利根運河,
water,-305.3,178.0,-246.2,148.0,12.0,利根運河,
water,-246.2,148.0,-204.0,128.9,12.0,利根運河,
water,-204.0,128.9,-181.3,120.3,12.0,利根運河,
water,-181.3,120.3,-161.3,115.8,12.0,利根運河,
water,-161.3,115.8,-126.2,114.7,12.0,利根運河,
water,-126.2,114.7,-88.5,112.5,12.0,利根運河,
water,-88.5,112.5,-69.7,113.8,12.0,利根運河,
water,-69.7,113.8,-47.3,118.3,12.0,利根運河,
water,-47.3,118.3,-32.8,125.1,12.0,利根運河,
water,-32.8,125.1,87.2,152.8,12.0,利根運河,
water,87.2,152.8,275.3,196.7,12.0,利根運河,
water,275.3,196.7,376.3,228.5,12.0,利根運河,
water,376.3,228.5,516.0,271.3,12.0,利根運河,
water,516.0,271.3,636.0,297.1,12.0,利根運河,
water,636.0,297.1,761.8,300.7,12.0,利根運河,
water,761.8,300.7,964.3,287.0,12.0,利根運河,
water,964.3,287.0,1095.6,278.2,12.0,利根運河,
water,1095.6,278.2,1276.1,279.2,12.0,利根運河,
water,1276.1,279.2,1391.4,293.3,12.0,利根運河,
water,1391.4,293.3,1436.8,302.3,12.0,利根運河,
water,1436.8,302.3,1487.3,321.5,12.0,利根運河,
water,1487.3,321.5,1586.4,373.7,12.0,利根運河,
water,1586.4,373.7,1790.1,512.0,12.0,利根運河,
water,1790.1,512.0,1917.2,595.5,12.0,利根運河,
water,1917.2,595.5,1980.9,637.3,12.0,利根運河,
water,1980.9,637.3,2090.4,717.9,12.0,利根運河,
water,2090.4,717.9,2273.9,836.9,12.0,利根運河,
water,2273.9,836.9,2311.6,868.2,12.0,利根運河,
water,2311.6,868.2,2347.7,904.1,12.0,利根運河,
water,2347.7,904.1,2429.5,992.4,12.0,利根運河,
water,2429.5,992.4,2447.0,1012.5,12.0,利根運河,
water,2447.0,1012.5,2480.8,1051.3,12.0,利根運河,
road,82.3,61.6,87.0,63.6,5.5,unclassified,
road,23.9,26.7,35.1,37.7,5.5,unclassified,
road,35.1,37.7,39.4,41.2,5.5,unclassified,
road,39.4,41.2,44.1,44.8,5.5,unclassified,
road,44.1,44.8,49.3,47.8,5.5,unclassified,
road,49.3,47.8,56.6,51.2,5.5,unclassified,
road,-2.2,-4.0,-11.3,-4.1,5.5,unclassified,
road,-11.3,-4.1,-17.1,-4.3,5.5,unclassified,
road,-17.1,-4.3,-67.7,-6.5,5.5,unclassified,
road,-67.7,-6.5,-116.5,-8.4,5.5,unclassified,
road,-116.5,-8.4,-165.4,-10.3,5.5,unclassified,
road,-165.4,-10.3,-195.4,-11.5,5.5,unclassified,
road,-195.4,-11.5,-210.1,-12.0,5.5,unclassified,
road,-210.1,-12.0,-271.1,-14.3,5.5,unclassified,
road,-271.1,-14.3,-305.7,-15.7,5.5,unclassified,
road,-305.7,-15.7,-343.6,-16.4,5.5,unclassified,
road,-116.5,-8.4,-116.3,-13.5,3.5,service,
road,-116.3,-13.5,-116.2,-18.5,3.5,service,
road,-116.2,-18.5,-114.7,-56.5,3.5,service,
road,-114.7,-56.5,-114.4,-64.4,3.5,service,
road,-114.4,-64.4,-114.1,-74.0,3.5,service,
road,-114.1,-74.0,-114.0,-77.1,3.5,service,
road,-114.0,-77.1,-111.9,-139.3,3.5,service,
bldg,37.8,15.2,37.2,25.3,60.9,3.2,第三食堂
bldg,-91.3,28.1,49.2,24.2,-178.6,12.8,1号館
bldg,-83.0,-78.1,101.7,24.7,91.8,12.8,2号館
bldg,-158.6,-40.9,84.2,24.5,-178.7,12.8,4号館
bldg,-161.4,19.6,70.4,41.0,169.3,9.6,カナル会館
road,106.1,21.3,109.8,23.6,5.0,residential,
road,109.8,23.6,117.3,28.4,5.0,residential,
road,117.3,28.4,138.7,39.4,5.0,residential,
road,138.7,39.4,147.9,43.7,5.0,residential,
road,147.9,43.7,221.7,64.8,5.0,residential,
road,221.7,64.8,268.4,77.6,5.0,residential,
rail,1243.2,-1433.5,1226.6,-1412.9,,東武野田線,
rail,1226.6,-1412.9,1044.9,-1188.7,,東武野田線,
rail,1044.9,-1188.7,1010.8,-1146.1,,東武野田線,
rail,1010.8,-1146.1,969.5,-1095.0,,東武野田線,
rail,969.5,-1095.0,943.6,-1063.5,,東武野田線,
rail,943.6,-1063.5,773.3,-852.2,,東武野田線,
rail,773.3,-852.2,635.7,-681.0,,東武野田線,
rail,635.7,-681.0,536.6,-558.8,,東武野田線,
rail,536.6,-558.8,413.7,-407.8,,東武野田線,
rail,413.7,-407.8,300.1,-265.9,,東武野田線,
rail,300.1,-265.9,197.4,-139.1,,東武野田線,
