t_s,class,az_deg,dist_m
1.6,car,5,15.07
1.7,car,3,18.43
1.8,car,5,17.67
1.9,car,3,27.51
2.0,car,2,28.16
2.1,car,4,27.30
2.2,car,2,28.48
2.3,car,3,29.15
2.4,car,3,27.60
2.5,car,5,27.05
2.6,car,2,28.87
2.7,car,5,28.49
2.8,car,6,26.38
2.9,car,6,25.47
3.0,car,6,24.20
3.1,car,7,22.40
3.2,car,6,19.36
3.3,car,6,19.63
3.4,car,8,18.08
3.5,car,9,17.51
3.6,car,9,16.54
3.7,car,10,13.43
3.8,car,11,12.76
3.9,car,12,11.66
4.0,car,12,10.09
4.1,car,12,9.63
4.2,car,14,9.69
4.3,car,16,8.85
4.4,car,18,8.14
4.5,car,22,6.86
4.6,car,26,5.93
4.7,car,35,4.93
4.8,car,46,3.70
4.9,car,59,3.21
5.0,car,80,3.09
5.1,car,93,3.15
5.2,car,112,3.31
5.3,car,124,4.08
5.4,car,137,4.76
5.5,car,148,6.11
5.6,car,154,6.60
5.7,car,159,7.81
5.8,car,163,8.91
5.9,car,165,8.96
6.0,car,166,10.41
6.1,bike_bell,-168,
6.1,car,168,11.08
6.2,bike_bell,-167,
6.2,car,167,11.40
6.3,bike_bell,-165,
6.3,car,168,12.58
6.4,bike_bell,-165,
6.4,car,168,13.09
6.5,bike_bell,-167,
6.5,car,171,12.43
6.6,bike_bell,-168,
6.6,car,171,13.51
6.7,bike_bell,-168,
6.7,car,170,13.96
6.8,bike_bell,-167,
6.8,car,171,14.51
6.9,bike_bell,-168,
6.9,car,172,15.63
7.0,bike_bell,-166,
7.0,car,172,17.89
7.1,car,173,20.82
7.2,car,174,19.85
7.3,car,173,23.61
7.4,bike_bell,-167,
7.4,car,173,26.57
7.5,car,172,26.75
7.6,car,173,29.36
7.7,car,174,28.06
7.8,car,174,28.76
7.9,car,174,30.60
8.0,car,174,30.71
8.1,car,175,29.81
8.2,car,175,29.54
8.3,car,175,30.66
8.4,car,175,26.52
8.5,car,175,13.51
8.6,car,175,4.83
8.7,car,177,2.08
8.8,car,175,4.04
