t_s,class,az_deg,dist_m
1.5,car,3,4.90
1.7,car,4,7.93
1.9,car,2,5.72
2.0,car,2,3.67
2.1,car,3,8.31
2.2,car,4,15.96
2.3,car,3,21.63
2.4,car,4,19.48
2.5,car,3,26.53
2.6,car,2,29.24
2.7,car,3,29.78
2.8,car,2,30.64
2.9,car,2,31.05
3.0,car,6,31.54
3.1,car,5,30.95
3.2,car,4,29.36
3.3,car,4,26.78
3.4,car,4,25.61
3.5,car,4,24.87
3.6,car,4,24.97
3.7,car,4,22.99
3.8,car,5,22.02
3.9,car,4,22.07
4.0,car,6,19.35
4.1,car,6,19.08
4.2,car,3,18.68
4.3,car,5,17.59
4.4,car,6,16.13
4.5,car,3,16.79
4.6,car,6,15.91
4.7,car,6,16.22
4.8,car,7,14.15
4.9,car,7,13.31
5.0,car,7,11.51
5.1,car,8,10.49
5.2,car,8,9.24
5.3,car,11,7.91
5.4,car,11,7.33
5.5,car,16,6.16
5.6,car,18,5.24
5.7,car,24,4.11
5.8,car,31,3.38
5.9,car,47,2.57
6.0,car,72,1.88
6.1,car,106,2.11
6.2,car,125,2.46
6.3,car,141,3.19
6.4,car,151,4.08
6.5,car,156,5.28
6.6,car,161,6.16
6.7,car,164,7.33
6.8,car,167,7.83
6.9,car,169,9.19
7.0,car,169,9.58
7.1,car,171,10.46
7.2,car,171,11.11
7.3,car,170,12.27
7.4,car,172,13.01
7.5,car,172,14.31
7.6,car,173,15.09
7.7,car,173,15.44
7.8,car,174,15.91
7.9,car,174,16.68
8.0,car,174,17.59
8.1,car,174,18.58
8.2,car,174,18.79
8.3,car,175,19.97
8.4,car,175,20.71
8.5,car,175,21.74
8.6,car,174,23.25
8.7,car,174,23.98
8.8,car,174,24.48
8.9,car,174,24.72
9.0,car,175,26.63
9.1,car,174,27.97
9.2,car,175,27.84
9.3,car,176,28.00
9.4,car,176,28.44
9.5,car,175,29.69
9.6,car,175,28.93
9.7,car,175,29.81
9.8,car,174,28.46
9.9,car,177,4.37
10.0,car,176,3.92
