t_s,obj,class,az_deg,dist_m
0.2,0,car,1.5,54.80
0.3,0,car,1.6,53.85
0.4,0,car,1.6,52.91
0.5,0,car,1.6,51.97
0.6,0,car,1.6,51.02
0.7,0,car,1.7,50.08
0.8,0,car,1.7,49.13
0.9,0,car,1.7,48.19
1.0,0,car,1.8,47.25
1.1,0,car,1.8,46.30
1.2,0,car,1.8,45.36
1.3,0,car,1.9,44.41
1.4,0,car,1.9,43.47
1.5,0,car,2.0,42.53
1.6,0,car,2.0,41.58
1.7,0,car,2.1,40.64
1.8,0,car,2.1,39.70
1.9,0,car,2.2,38.75
2.0,0,car,2.2,37.81
2.1,0,car,2.3,36.86
2.2,0,car,2.3,35.92
2.3,0,car,2.4,34.98
2.4,0,car,2.5,34.03
2.5,0,car,2.5,33.09
2.6,0,car,2.6,32.15
2.7,0,car,2.7,31.20
2.8,0,car,2.8,30.26
2.9,0,car,2.9,29.32
3.0,0,car,3.0,28.37
3.1,0,car,3.1,27.43
3.2,0,car,3.2,26.49
3.3,0,car,3.3,25.54
3.4,0,car,3.4,24.60
3.5,0,car,3.5,23.66
3.6,0,car,3.7,22.72
3.7,0,car,3.9,21.77
3.8,0,car,4.0,20.83
3.9,0,car,4.2,19.89
4.0,0,car,4.4,18.95
4.1,0,car,4.7,18.01
4.2,0,car,4.9,17.07
4.3,0,car,5.2,16.13
4.4,0,car,5.5,15.19
4.5,0,car,5.9,14.25
4.6,0,car,6.3,13.31
4.7,0,car,6.8,12.37
4.8,0,car,7.4,11.43
4.9,0,car,8.0,10.50
5.0,0,car,8.8,9.56
5.1,0,car,9.8,8.63
5.2,0,car,11.0,7.70
5.3,0,car,12.5,6.78
5.4,0,car,14.5,5.86
5.5,0,car,17.2,4.95
5.6,0,car,21.1,4.06
5.7,0,car,27.2,3.21
5.8,0,car,37.6,2.41
5.9,0,car,56.6,1.77
6.0,0,car,88.6,1.50
6.1,0,car,121.0,1.77
6.2,0,car,140.7,2.41
6.3,0,car,151.5,3.21
6.4,0,car,157.8,4.06
6.5,0,car,162.0,4.95
6.6,0,car,164.8,5.86
6.7,0,car,166.9,6.78
6.8,0,car,168.5,7.70
6.9,0,car,169.8,8.63
7.0,0,car,170.8,9.56
7.1,0,car,171.6,10.50
7.2,0,car,172.3,11.43
7.3,0,car,172.9,12.37
7.4,0,car,173.4,13.31
7.5,0,car,173.8,14.25
7.6,0,car,174.2,15.19
7.7,0,car,174.5,16.13
7.8,0,car,174.8,17.07
7.9,0,car,175.1,18.01
8.0,0,car,175.3,18.95
8.1,0,car,175.6,19.89
8.2,0,car,175.8,20.83
8.3,0,car,176.0,21.77
8.4,0,car,176.1,22.72
8.5,0,car,176.3,23.66
8.6,0,car,176.4,24.60
8.7,0,car,176.6,25.54
8.8,0,car,176.7,26.49
8.9,0,car,176.8,27.43
9.0,0,car,176.9,28.37
9.1,0,car,177.0,29.32
9.2,0,car,177.1,30.26
9.3,0,car,177.2,31.20
9.4,0,car,177.3,32.15
9.5,0,car,177.3,33.09
9.6,0,car,177.4,34.03
9.7,0,car,177.5,34.98
9.8,0,car,177.5,35.92
9.9,0,car,177.6,36.86
