t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,0.000,0
0.7,0.000,0
0.8,0.000,0
0.9,0.000,0
1.0,0.000,0
1.1,0.000,0
1.2,0.000,0
1.3,0.000,0
1.4,0.000,0
1.5,0.000,0
1.6,0.000,0
1.7,0.000,0
1.8,0.000,0
1.9,0.000,0
2.0,0.000,0
2.1,0.000,0
2.2,0.000,0
2.3,0.000,0
2.4,0.000,0
2.5,0.000,0
2.6,0.000,0
2.7,0.000,0
2.8,0.000,0
2.9,0.000,0
3.0,0.599,3
3.1,0.666,3
3.2,0.732,3
3.3,0.799,3
3.4,0.865,3
3.5,0.932,3
3.6,0.998,4
3.7,1.000,4
3.8,1.000,4
3.9,1.000,4
4.0,1.000,4
4.1,1.000,4
4.2,1.000,5
4.3,1.000,5
4.4,1.000,5
4.5,1.000,6
4.6,1.000,6
4.7,1.000,6
4.8,1.000,7
4.9,1.000,7
5.0,1.000,8
5.1,1.000,9
5.2,1.000,10
5.3,1.000,11
5.4,1.000,12
5.5,1.000,14
5.6,1.000,17
5.7,1.000,21
5.8,1.000,27
5.9,1.000,38
6.0,1.000,57
6.1,1.000,89
6.2,0.074,121
6.3,0.000,0
6.4,0.000,0
6.5,0.000,0
6.6,0.000,0
6.7,0.000,0
6.8,0.000,0
6.9,0.000,0
7.0,0.000,0
7.1,0.000,0
7.2,0.000,0
7.3,0.000,0
7.4,0.000,0
7.5,0.000,0
7.6,0.000,0
7.7,0.000,0
7.8,0.000,0
7.9,0.000,0
8.0,0.000,0
8.1,0.000,0
8.2,0.000,0
8.3,0.000,0
8.4,0.000,0
8.5,0.000,0
8.6,0.000,0
8.7,0.000,0
8.8,0.000,0
8.9,0.000,0
9.0,0.000,0
9.1,0.000,0
9.2,0.000,0
9.3,0.000,0
9.4,0.000,0
9.5,0.000,0
9.6,0.000,0
9.7,0.000,0
9.8,0.000,0
9.9,0.000,0
10.0,0.000,0
