t_s,obj,class,az_deg,dist_m
0.1,0,car,-178.0,28.46
0.2,0,car,-178.0,28.02
0.3,0,car,-178.0,27.57
0.4,0,car,-177.9,27.13
0.5,0,car,-177.9,26.69
0.6,0,car,-177.9,26.24
0.7,0,car,-177.8,25.80
0.8,0,car,-177.8,25.35
0.9,0,car,-177.7,24.91
1.0,0,car,-177.7,24.46
1.1,0,car,-177.7,24.02
1.2,0,car,-177.6,23.58
1.3,0,car,-177.6,23.13
1.4,0,car,-177.5,22.69
1.5,0,car,-177.5,22.24
1.6,0,car,-177.4,21.80
1.7,0,car,-177.4,21.36
1.8,0,car,-177.3,20.91
1.9,0,car,-177.2,20.47
2.0,0,car,-177.2,20.02
2.1,0,car,-177.1,19.58
2.2,0,car,-177.1,19.14
2.3,0,car,-177.0,18.69
2.4,0,car,-176.9,18.25
2.5,0,car,-176.8,17.81
2.6,0,car,-176.8,17.36
2.7,0,car,-176.7,16.92
2.8,0,car,-176.6,16.47
2.9,0,car,-176.5,16.03
3.0,0,car,-176.4,15.59
3.1,0,car,-176.3,15.14
3.2,0,car,-176.2,14.70
3.3,0,car,-176.0,14.26
3.4,0,car,-175.9,13.81
3.5,0,car,-175.8,13.37
3.6,0,car,-175.6,12.93
3.7,0,car,-175.5,12.48
3.8,0,car,-175.3,12.04
3.9,0,car,-175.1,11.60
4.0,0,car,-174.9,11.16
4.1,0,car,-174.7,10.71
4.2,0,car,-174.5,10.27
4.3,0,car,-174.3,9.83
4.4,0,car,-174.0,9.39
4.5,0,car,-173.7,8.94
4.6,0,car,-173.4,8.50
4.7,0,car,-173.0,8.06
4.8,0,car,-172.6,7.62
4.9,0,car,-172.1,7.18
5.0,0,car,-171.6,6.74
5.1,0,car,-171.0,6.30
5.2,0,car,-170.3,5.86
5.3,0,car,-169.6,5.43
5.4,0,car,-168.6,4.99
5.5,0,car,-167.5,4.56
5.6,0,car,-166.2,4.12
5.7,0,car,-164.5,3.69
5.8,0,car,-162.5,3.27
5.9,0,car,-159.8,2.85
6.0,0,car,-156.2,2.44
6.1,0,car,-151.1,2.04
6.2,0,car,-143.7,1.67
6.3,0,car,-132.3,1.34
6.4,0,car,-114.8,1.09
6.5,0,car,-90.9,1.00
6.6,0,car,-66.9,1.09
6.7,0,car,-49.1,1.34
6.8,0,car,-37.4,1.67
6.9,0,car,-29.8,2.04
7.0,0,car,-24.6,2.44
7.1,0,car,-20.9,2.85
7.2,0,car,-18.1,3.27
7.3,0,car,-16.0,3.69
7.4,0,car,-14.3,4.12
7.5,0,car,-12.9,4.56
7.6,0,car,-11.7,4.99
7.7,0,car,-10.8,5.43
7.8,0,car,-10.0,5.86
7.9,0,car,-9.3,6.30
8.0,0,car,-8.7,6.74
8.1,0,car,-8.1,7.18
8.2,0,car,-7.7,7.62
8.3,0,car,-7.2,8.06
8.4,0,car,-6.9,8.50
8.5,0,car,-6.5,8.94
8.6,0,car,-6.2,9.39
8.7,0,car,-5.9,9.83
8.8,0,car,-5.7,10.27
8.9,0,car,-5.4,10.71
9.0,0,car,-5.2,11.16
9.1,0,car,-5.0,11.60
9.2,0,car,-4.8,12.04
9.3,0,car,-4.7,12.48
9.4,0,car,-4.5,12.93
9.5,0,car,-4.4,13.37
9.6,0,car,-4.2,13.81
9.7,0,car,-4.1,14.26
9.8,0,car,-4.0,14.70
9.9,0,car,-3.8,15.14
