t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,0.000,0
0.7,0.000,0
0.8,0.000,0
0.9,0.000,0
1.0,0.000,0
1.1,0.000,0
1.2,0.000,0
1.3,0.000,0
1.4,0.000,0
1.5,0.000,0
1.6,0.000,0
1.7,0.000,0
1.8,0.000,0
1.9,0.000,0
2.0,0.000,0
2.1,0.000,0
2.2,0.000,0
2.3,0.000,0
2.4,0.000,0
2.5,0.000,0
2.6,0.000,0
2.7,0.065,-177
2.8,0.132,-177
2.9,0.199,-177
3.0,0.265,-176
3.1,0.332,-176
3.2,0.398,-176
3.3,0.465,-176
3.4,0.531,-176
3.5,0.598,-176
3.6,0.665,-176
3.7,0.731,-176
3.8,0.798,-175
3.9,0.864,-175
4.0,0.931,-175
4.1,0.997,-175
4.2,1.000,-175
4.3,1.000,-175
4.4,1.000,-174
4.5,1.000,-174
4.6,1.000,-174
4.7,1.000,-173
4.8,1.000,-173
4.9,1.000,-173
5.0,1.000,-172
5.1,1.000,-172
5.2,1.000,-171
5.3,1.000,-170
5.4,1.000,-170
5.5,1.000,-169
5.6,1.000,-168
5.7,1.000,-166
5.8,1.000,-165
5.9,1.000,-162
6.0,1.000,-160
6.1,1.000,-156
6.2,1.000,-151
6.3,1.000,-144
6.4,1.000,-132
6.5,1.000,-115
6.6,1.000,-91
6.7,1.000,-67
6.8,1.000,-49
6.9,0.000,0
7.0,0.000,0
7.1,0.000,0
7.2,0.000,0
7.3,0.000,0
7.4,0.000,0
7.5,0.000,0
7.6,0.000,0
7.7,0.000,0
7.8,0.000,0
7.9,0.000,0
8.0,0.000,0
8.1,0.000,0
8.2,0.000,0
8.3,0.000,0
8.4,0.000,0
8.5,0.000,0
8.6,0.000,0
8.7,0.000,0
8.8,0.000,0
8.9,0.000,0
9.0,0.000,0
9.1,0.000,0
9.2,0.000,0
9.3,0.000,0
9.4,0.000,0
9.5,0.000,0
9.6,0.000,0
9.7,0.000,0
9.8,0.000,0
9.9,0.000,0
10.0,0.000,0
