t_s,class,az_deg,dist_m
3.2,car,-3,0.49
3.2,kick,-7,1.16
3.3,car,-12,3.46
3.4,car,-13,4.42
3.5,car,-14,4.60
3.6,car,-16,6.35
3.7,car,-17,6.03
3.8,car,-15,6.76
3.9,car,-18,6.46
4.0,car,-17,6.96
4.1,car,-18,7.30
4.2,car,-18,7.32
4.3,car,-18,7.17
4.4,car,-19,7.47
4.5,car,-19,7.72
4.6,car,-18,8.02
4.7,car,-16,7.95
4.8,car,-15,7.73
4.9,car,-17,8.15
5.0,car,-16,8.60
5.1,car,-16,8.38
5.2,car,-15,9.55
5.3,car,-14,9.96
5.4,car,-13,10.15
5.5,car,-12,10.42
5.6,car,-12,10.08
5.7,car,-12,10.00
5.8,car,-12,10.48
5.9,car,-10,10.60
6.0,car,-10,11.16
6.1,car,-8,11.35
6.2,car,-8,11.64
6.3,car,-6,11.87
6.4,car,-6,12.34
6.5,car,-6,12.58
6.6,car,-7,13.02
6.7,car,-7,13.40
6.8,car,-7,14.44
6.9,car,-8,14.65
7.0,car,-6,15.38
7.1,car,-7,16.07
7.2,car,-7,17.10
7.3,car,-6,16.83
7.4,car,-5,16.77
7.5,car,-4,16.76
7.6,car,-5,18.06
7.7,car,-4,17.68
7.8,car,-5,18.11
7.9,car,-4,18.19
8.0,car,-4,17.80
8.1,car,-3,18.50
8.2,car,-3,19.74
8.3,car,-2,18.64
8.4,car,-2,20.78
8.5,car,-2,21.04
8.6,car,-2,20.33
8.7,car,-1,21.62
8.8,car,-1,22.20
8.9,car,-1,21.97
9.0,car,-2,21.86
9.1,car,-2,22.62
9.2,car,-1,22.75
9.3,car,-1,23.51
9.4,car,0,22.79
9.5,car,0,20.82
9.6,car,0,19.96
9.7,car,-1,21.99
9.8,car,0,18.10
9.9,car,0,15.78
10.0,car,-1,21.26
