t_s,class,az_deg,dist_m
0.3,car,-82,53.38
0.4,car,-82,52.01
0.4,car,83,90.67
0.5,car,-81,50.64
0.5,car,83,89.43
0.6,car,-81,49.26
0.6,car,83,88.19
0.7,car,-81,47.90
0.7,car,83,86.95
0.8,car,-80,46.53
0.8,car,83,85.71
0.9,car,-80,45.16
0.9,car,83,84.47
1.0,car,-80,43.79
1.0,car,83,83.23
1.1,car,-80,42.43
1.1,car,83,81.99
1.2,car,-79,41.06
1.2,car,82,80.75
1.3,car,-79,39.70
1.3,car,82,79.51
1.4,car,-78,38.34
1.4,car,82,78.28
1.5,car,-78,36.99
1.5,car,82,77.04
1.6,car,-78,35.63
1.6,car,82,75.80
1.7,car,-77,34.28
1.7,car,82,74.57
1.8,car,-77,32.93
1.8,car,82,73.33
1.9,car,-76,31.59
1.9,car,82,72.09
2.0,car,-75,30.24
2.0,car,81,70.86
2.1,car,-75,28.91
2.1,car,81,69.62
2.2,car,-74,27.57
2.2,car,81,68.39
2.3,car,-73,26.25
2.3,car,81,67.16
2.4,car,-72,24.93
2.4,car,81,65.92
2.5,car,-71,23.62
2.5,car,81,64.69
2.6,car,-70,22.32
2.6,car,80,63.46
2.7,car,-69,21.03
2.7,car,80,62.23
2.8,car,-67,19.75
2.8,car,80,61.00
2.9,car,-65,18.49
2.9,car,80,59.77
3.0,car,-63,17.25
3.0,car,80,58.54
3.1,car,-61,16.03
3.1,car,79,57.32
3.2,car,-59,14.84
3.2,car,79,56.09
3.3,car,-56,13.69
3.3,car,79,54.86
3.4,car,-52,12.59
3.4,car,79,53.64
3.5,car,-48,11.55
3.5,car,78,52.42
3.6,car,-43,10.59
3.6,car,78,51.20
3.7,car,-37,9.74
3.7,car,78,49.98
3.8,car,-30,9.02
3.8,car,77,48.76
3.9,car,-21,8.47
3.9,car,77,47.54
4.0,car,-12,8.12
4.0,car,77,46.32
4.1,car,-2,8.00
4.1,car,76,45.11
4.2,car,8,8.12
4.2,car,76,43.90
4.3,car,17,8.47
4.3,car,76,42.69
4.4,car,25,9.02
4.4,car,75,41.48
4.5,car,33,9.74
4.5,car,75,40.28
4.6,car,39,10.59
4.6,car,74,39.08
4.7,car,45,11.55
4.7,car,74,37.88
4.8,car,49,12.59
4.8,car,73,36.69
4.9,car,53,13.69
4.9,car,73,35.50
5.0,car,56,14.84
5.0,car,72,34.31
5.1,car,59,16.03
5.1,car,71,33.13
5.2,car,61,17.25
5.2,car,71,31.95
5.3,car,63,18.49
5.3,car,70,30.78
5.4,car,65,19.75
5.4,car,69,29.62
5.5,car,67,21.03
5.5,car,68,28.46
5.6,car,68,22.32
5.6,car,67,27.31
5.7,car,69,23.62
5.7,car,66,26.17
5.8,car,71,24.93
5.8,car,65,25.04
5.9,car,72,26.25
5.9,car,64,23.93
6.0,car,72,27.57
6.0,car,62,22.83
6.1,car,73,28.91
6.1,car,61,21.74
6.2,car,74,30.24
6.2,car,59,20.67
6.3,car,75,31.59
6.3,car,57,19.62
6.4,car,75,32.93
6.4,car,55,18.60
6.5,car,76,34.28
6.5,car,53,17.61
6.6,car,77,35.63
6.6,car,50,16.65
6.7,car,77,36.99
6.7,car,47,15.73
6.8,car,77,38.34
6.8,car,44,14.87
6.9,car,78,39.70
6.9,car,40,14.06
7.0,car,78,41.06
7.0,car,36,13.31
7.1,car,79,42.43
7.1,car,31,12.65
7.2,car,79,43.79
7.2,car,26,12.08
7.3,car,79,45.16
7.3,car,21,11.62
7.4,car,80,46.53
7.4,car,15,11.28
7.5,car,80,47.90
7.5,car,9,11.07
7.6,car,80,49.26
7.6,car,2,11.00
7.7,car,81,50.64
7.7,car,-4,11.07
7.8,car,81,52.01
7.8,car,-11,11.28
7.9,car,81,53.38
7.9,car,-17,11.62
8.0,car,81,54.75
8.0,car,-23,12.08
8.1,car,81,56.13
8.1,car,-28,12.65
8.2,car,82,57.50
8.2,car,-33,13.31
8.3,car,82,58.88
8.3,car,-37,14.06
8.4,car,82,60.26
8.4,car,-41,14.87
8.5,car,82,61.63
8.5,car,-44,15.73
8.6,car,82,63.01
8.6,car,-47,16.65
8.7,car,83,64.39
8.7,car,-50,17.61
8.8,car,83,65.77
8.8,car,-53,18.60
8.9,car,83,67.14
8.9,car,-55,19.62
9.0,car,83,68.52
9.0,car,-57,20.67
9.1,car,83,69.90
9.1,car,-59,21.74
9.2,car,83,71.28
9.2,car,-60,22.83
9.3,car,83,72.66
9.3,car,-62,23.93
9.4,car,84,74.04
9.4,car,-63,25.04
9.5,car,84,75.43
9.5,car,-64,26.17
9.6,car,84,76.81
9.6,car,-65,27.31
9.7,car,84,78.19
9.7,car,-66,28.46
9.8,car,84,79.57
9.8,car,-67,29.62
9.9,car,84,80.95
9.9,car,-68,30.78
10.0,car,84,82.33
10.0,car,-69,31.95
# オラクル（検出=GT系列）。モデル出力ではない
