t_s,class,az_deg,dist_m
2.2,car,-178,3.37
2.4,car,-178,8.20
2.5,car,-177,7.53
2.6,car,-176,12.06
2.7,car,-174,13.71
2.8,car,-174,14.47
2.9,car,-173,13.39
3.0,car,-170,12.42
3.1,car,-170,10.47
3.2,car,-169,10.06
3.3,car,-168,9.49
3.4,car,-167,7.64
3.5,car,-166,7.57
3.6,car,-166,8.20
3.7,car,-160,6.90
3.8,car,-159,6.13
3.9,car,-156,5.62
4.0,car,-151,5.34
4.1,car,-145,4.77
4.2,car,-132,3.83
4.3,car,-123,3.68
4.4,car,-114,3.74
4.5,car,-109,3.64
4.6,car,-100,3.45
4.7,car,-95,4.12
4.8,car,-89,4.33
4.9,car,-85,4.47
5.0,car,-79,4.70
5.1,car,-71,5.31
5.2,car,-67,5.58
5.3,car,-61,5.44
5.4,car,-56,5.42
5.5,car,-51,5.73
5.6,car,-43,5.70
5.7,car,-37,5.74
5.8,car,-29,5.78
5.9,car,-24,5.71
6.0,car,-20,5.60
6.1,car,-13,5.99
6.2,car,-4,6.27
6.3,car,-3,6.03
6.4,car,2,6.25
6.5,car,13,5.47
6.6,car,17,5.17
6.7,car,23,5.58
6.8,car,26,5.43
6.9,car,42,5.00
7.0,car,48,5.05
7.1,car,58,5.14
7.2,car,60,5.16
7.3,car,62,6.05
7.4,car,64,6.38
7.5,car,68,6.12
7.6,car,71,5.82
7.7,car,69,6.67
7.8,car,72,7.03
7.9,car,73,6.70
8.0,car,74,7.10
8.1,car,76,6.85
8.2,car,79,5.59
8.3,car,78,6.32
8.4,car,82,4.59
8.5,car,81,6.23
8.6,car,82,6.17
8.7,car,83,5.92
8.8,car,84,5.99
8.9,car,82,8.24
9.0,car,84,6.90
9.1,car,85,3.61
9.2,car,85,2.42
9.3,car,84,2.55
9.4,car,84,0.95
9.5,car,84,1.62
