t_s,obj,class,az_deg,dist_m
0.2,0,car,-175.1,35.69
0.3,0,car,-174.9,34.42
0.4,0,car,-174.7,33.16
0.5,0,car,-174.5,31.90
0.6,0,car,-174.2,30.63
0.7,0,car,-174.0,29.37
0.8,0,car,-173.7,28.11
0.9,0,car,-173.4,26.85
1.0,0,car,-173.1,25.59
1.1,0,car,-172.7,24.33
1.2,0,car,-172.3,23.07
1.3,0,car,-171.9,21.82
1.4,0,car,-171.4,20.56
1.5,0,car,-170.8,19.31
1.6,0,car,-170.2,18.06
1.7,0,car,-169.5,16.81
1.8,0,car,-168.6,15.57
1.9,0,car,-167.6,14.33
2.0,0,car,-166.4,13.09
2.1,0,car,-165.0,11.86
2.2,0,car,-163.2,10.65
2.3,0,car,-161.0,9.44
2.4,0,car,-158.1,8.26
2.5,0,car,-154.3,7.11
2.6,0,car,-149.0,6.00
2.7,0,car,-141.5,4.97
2.8,0,car,-130.2,4.08
2.9,0,car,-113.8,3.44
3.0,0,car,-92.3,3.20
3.1,0,car,-70.5,3.44
3.2,0,car,-53.4,4.08
3.3,0,car,-41.5,4.97
3.4,0,car,-33.5,6.00
3.5,0,car,-27.8,7.11
3.6,0,car,-23.7,8.26
3.7,0,car,-20.6,9.44
3.8,0,car,-18.2,10.65
3.9,0,car,-16.3,11.86
4.0,0,car,-14.7,13.09
4.1,0,car,-13.4,14.33
4.2,0,car,-12.3,15.57
4.3,0,car,-11.4,16.81
4.4,0,car,-10.6,18.06
4.5,0,car,-9.9,19.31
4.6,0,car,-9.3,20.56
4.7,0,car,-8.8,21.82
4.8,0,car,-8.3,23.07
4.9,0,car,-7.9,24.33
5.0,0,car,-7.5,25.59
5.1,0,car,-7.1,26.85
5.2,0,car,-6.8,28.11
5.3,0,car,-6.5,29.37
5.4,0,car,-6.2,30.63
5.5,0,car,-6.0,31.90
5.6,0,car,-5.8,33.16
5.7,0,car,-5.5,34.42
5.8,0,car,-5.4,35.69
5.9,0,car,-5.2,36.95
6.0,0,car,-5.0,38.22
6.1,0,car,-4.8,39.48
6.2,0,car,-4.7,40.75
6.3,0,car,-4.5,42.01
6.4,0,car,-4.4,43.28
6.5,0,car,-4.3,44.55
6.6,0,car,-4.2,45.81
6.7,0,car,-4.1,47.08
6.8,0,car,-3.9,48.34
6.9,0,car,-3.8,49.61
7.0,0,car,-3.8,50.88
7.1,0,car,-3.7,52.15
7.2,0,car,-3.6,53.41
7.3,0,car,-3.5,54.68
7.4,0,car,-3.4,55.95
7.5,0,car,-3.3,57.21
7.6,0,car,-3.3,58.48
7.7,0,car,-3.2,59.75
