t_s,class,az_deg,dist_m
3.4,car,-73,4.74
3.5,car,-67,6.76
3.6,car,-62,9.26
3.7,car,-63,7.84
3.8,car,-61,10.25
3.9,car,-63,8.21
4.0,car,-58,10.01
4.1,car,-56,10.35
4.2,car,-57,8.03
4.3,car,-56,6.31
4.4,car,-52,8.01
4.5,car,-54,6.99
4.6,car,-53,6.85
4.7,car,-50,7.98
4.8,car,-48,7.57
4.9,car,-47,7.05
5.0,car,-45,6.23
5.1,car,-41,5.50
5.2,car,-39,6.46
5.3,car,-38,4.35
5.4,car,-29,5.38
5.5,car,-26,5.43
5.6,car,-25,4.40
5.7,car,-20,4.35
5.8,car,-16,5.36
5.9,car,-11,5.07
6.0,car,-6,5.06
6.1,car,-3,4.11
6.2,car,7,4.28
6.3,car,16,3.66
6.4,car,24,3.24
6.5,car,29,3.55
6.6,car,39,3.12
6.7,car,46,2.95
6.8,car,54,3.94
6.9,car,60,4.32
7.0,car,63,4.13
7.1,car,65,4.48
7.2,car,67,4.68
7.3,car,74,5.43
7.4,car,76,5.26
7.5,car,76,5.47
7.6,car,78,5.47
7.7,car,78,5.57
7.8,car,79,5.99
7.9,car,83,6.20
8.0,car,83,6.12
8.1,car,85,5.99
8.2,car,88,5.92
8.3,car,87,6.86
8.4,car,85,5.16
8.5,car,87,3.20
8.6,car,86,6.07
8.7,car,86,4.88
8.8,car,86,2.07
8.9,car,86,2.21
9.2,car,86,0.71
9.3,car,88,3.81
9.4,car,87,2.03
9.5,car,87,1.54
