t_s,class,az_deg,dist_m
0.1,siren,65,
0.2,siren,64,
0.2,crossing,66,
0.3,siren,59,
0.3,crossing,66,
0.4,crossing,60,
0.5,siren,60,
0.5,crossing,67,
0.6,crossing,59,
0.7,crossing,61,
0.8,crossing,59,
0.9,crossing,58,
1.0,crossing,57,
1.1,crossing,61,
1.2,crossing,60,
1.3,crossing,60,
1.4,crossing,62,
1.5,crossing,59,
1.6,crossing,62,
1.7,crossing,60,
1.8,crossing,60,
1.9,crossing,61,
2.0,crossing,62,
2.1,crossing,62,
2.2,crossing,61,
2.3,crossing,61,
2.4,crossing,60,
2.5,siren,61,
2.5,crossing,64,
2.6,crossing,63,
2.7,crossing,61,
2.8,crossing,61,
2.9,crossing,58,
3.0,crossing,61,
3.1,crossing,60,
3.2,crossing,59,
3.3,crossing,59,
3.4,crossing,60,
3.5,crossing,59,
3.6,crossing,58,
3.7,crossing,59,
3.8,crossing,59,
3.9,crossing,59,
4.0,crossing,58,
4.1,crossing,59,
4.2,crossing,59,
4.3,crossing,59,
4.4,crossing,59,
4.5,crossing,58,
4.6,crossing,58,
4.7,crossing,57,
4.8,crossing,59,
4.9,crossing,58,
5.0,crossing,59,
5.1,crossing,58,
5.2,crossing,58,
5.3,crossing,58,
5.4,crossing,57,
5.5,crossing,57,
5.6,crossing,58,
5.7,crossing,57,
5.8,crossing,59,
5.9,crossing,57,
6.0,crossing,58,
6.1,crossing,57,
6.2,crossing,57,
6.3,crossing,57,
6.4,crossing,56,
6.5,crossing,56,
6.6,crossing,57,
6.7,crossing,58,
6.8,crossing,57,
6.9,crossing,57,
7.0,crossing,56,
7.1,crossing,57,
7.2,crossing,58,
7.3,crossing,56,
7.4,crossing,58,
7.5,crossing,55,
7.6,crossing,57,
7.7,crossing,57,
7.8,crossing,56,
7.9,crossing,56,
8.0,crossing,59,
8.1,crossing,57,
8.2,crossing,56,
8.3,crossing,57,
8.4,crossing,56,
8.5,crossing,58,
8.6,crossing,59,
8.7,crossing,56,
8.8,crossing,57,
8.9,crossing,55,
9.0,crossing,58,
9.1,crossing,58,
9.2,crossing,57,
9.3,crossing,57,
9.4,crossing,58,
9.5,crossing,57,
9.6,crossing,56,
9.7,crossing,58,
9.8,crossing,55,
9.9,crossing,56,
10.0,crossing,56,
