t_s,class,az_deg,dist_m
0.1,siren,66,
0.2,siren,64,
0.2,crossing,66,
0.3,siren,60,
0.3,crossing,67,
0.4,crossing,61,
0.5,siren,57,
0.5,crossing,71,
0.6,crossing,57,
0.7,crossing,59,
0.8,crossing,58,
0.9,crossing,57,
1.0,crossing,54,
1.1,crossing,58,
1.2,crossing,54,
1.3,crossing,55,
1.4,crossing,56,
1.5,car,14,1.24
1.5,crossing,54,
1.6,crossing,58,
1.7,crossing,53,
1.8,car,8,2.25
1.8,crossing,53,
1.9,crossing,55,
2.0,crossing,55,
2.1,car,7,2.04
2.1,crossing,57,
2.2,car,5,0.86
2.2,crossing,54,
2.3,car,8,1.07
2.3,crossing,52,
2.4,car,7,1.36
2.4,crossing,55,
2.5,car,5,1.01
2.5,crossing,55,
2.6,car,6,0.65
2.6,crossing,53,
2.7,crossing,52,
2.8,car,9,1.21
2.8,crossing,52,
2.9,car,9,0.58
2.9,crossing,55,
3.0,crossing,53,
3.1,car,7,1.15
3.1,crossing,53,
3.2,car,7,1.56
3.2,crossing,54,
3.3,car,10,2.85
3.3,crossing,52,
3.4,car,8,2.08
3.4,crossing,54,
3.5,car,8,4.83
3.5,crossing,52,
3.6,car,8,9.66
3.6,crossing,52,
3.7,car,10,19.75
3.7,crossing,49,
3.8,car,12,21.26
3.8,crossing,53,
3.9,car,10,8.87
3.9,crossing,51,
4.0,car,10,13.84
4.0,crossing,50,
4.1,car,8,19.29
4.1,crossing,50,
4.2,car,9,5.46
4.2,crossing,50,
4.3,car,11,5.86
4.3,crossing,51,
4.4,car,7,5.54
4.4,crossing,50,
4.5,car,7,14.23
4.5,crossing,51,
4.6,car,10,15.66
4.6,crossing,49,
4.7,car,7,9.63
4.7,crossing,51,
4.8,car,9,10.15
4.8,crossing,53,
4.9,car,6,3.69
4.9,crossing,47,
5.0,car,6,3.04
5.0,crossing,47,
5.1,car,7,1.43
5.1,crossing,49,
5.2,car,7,1.10
5.2,crossing,46,
5.3,crossing,46,
5.4,crossing,46,
5.5,crossing,47,
5.6,crossing,45,
5.7,crossing,47,
5.8,crossing,48,
5.9,crossing,45,
6.0,crossing,44,
6.1,crossing,39,
6.1,crossing,58,
6.2,crossing,40,
6.2,crossing,60,
6.3,crossing,33,
6.3,crossing,72,
6.4,crossing,34,
6.4,crossing,69,
6.5,crossing,30,
6.5,crossing,89,
6.6,crossing,30,
6.6,crossing,89,
6.7,crossing,30,
6.7,crossing,113,
6.8,crossing,33,
6.8,crossing,101,
6.9,crossing,32,
6.9,crossing,116,
7.0,crossing,31,
7.0,crossing,95,
7.1,crossing,32,
7.1,crossing,87,
7.2,crossing,29,
7.2,crossing,94,
7.3,crossing,27,
7.3,crossing,91,
7.4,crossing,24,
7.4,crossing,135,
7.5,crossing,27,
7.5,crossing,113,
7.6,crossing,27,
7.6,crossing,120,
7.7,crossing,30,
7.7,crossing,122,
7.8,crossing,23,
7.8,crossing,39,
7.8,crossing,135,
7.9,crossing,15,
7.9,crossing,32,
7.9,crossing,150,
8.0,crossing,18,
8.0,crossing,36,
8.0,crossing,147,
8.1,crossing,20,
8.1,crossing,39,
8.1,crossing,149,
8.2,crossing,17,
8.2,crossing,36,
8.2,crossing,149,
8.3,crossing,15,
8.3,crossing,33,
8.3,crossing,149,
8.4,crossing,25,
8.4,crossing,43,
8.4,crossing,127,
8.5,crossing,18,
8.5,crossing,38,
8.5,crossing,145,
8.6,crossing,18,
8.6,crossing,42,
8.6,crossing,151,
8.7,crossing,18,
8.7,crossing,38,
8.7,crossing,145,
8.8,crossing,17,
8.8,crossing,37,
8.8,crossing,150,
8.9,crossing,17,
8.9,crossing,35,
8.9,crossing,150,
9.0,crossing,21,
9.0,crossing,42,
9.0,crossing,148,
9.1,crossing,22,
9.1,crossing,45,
9.1,crossing,147,
9.2,crossing,18,
9.2,crossing,45,
9.2,crossing,156,
9.3,crossing,20,
9.3,crossing,40,
9.3,crossing,145,
9.4,crossing,23,
9.4,crossing,47,
9.4,crossing,143,
9.5,crossing,25,
9.5,crossing,51,
9.5,crossing,137,
9.6,crossing,22,
9.6,crossing,46,
9.6,crossing,137,
9.7,crossing,18,
9.7,crossing,46,
9.7,crossing,151,
9.8,crossing,21,
9.8,crossing,49,
9.8,crossing,149,
9.9,crossing,22,
9.9,crossing,48,
9.9,crossing,143,
10.0,crossing,20,
10.0,crossing,46,
10.0,crossing,145,
