t_s,class,az_deg,dist_m
0.4,car,-178,66.49
0.5,car,-178,65.50
0.6,car,-178,64.51
0.7,car,-178,63.52
0.8,car,-178,62.52
0.9,car,-178,61.53
1.0,car,-178,60.54
1.1,car,-178,59.55
1.2,car,-178,58.56
1.3,car,-178,57.57
1.4,car,-178,56.58
1.5,car,-178,55.59
1.6,car,-177,54.60
1.7,car,-177,53.61
1.8,car,-177,52.62
1.9,car,-177,51.63
2.0,car,-177,50.64
2.1,car,-177,49.65
2.2,car,-177,48.66
2.3,car,-177,47.67
2.4,car,-177,46.68
2.5,car,-177,45.69
2.6,car,-177,44.69
2.7,car,-177,43.70
2.8,car,-177,42.71
2.9,car,-177,41.72
3.0,car,-177,40.74
3.1,car,-177,39.75
3.2,car,-176,38.76
3.3,car,-176,37.77
3.4,car,-176,36.78
3.5,car,-176,35.79
3.6,car,-176,34.80
3.7,car,-176,33.81
3.8,car,-176,32.82
3.9,car,-176,31.83
4.0,car,-176,30.84
4.1,car,-175,29.85
4.2,car,-175,28.87
4.3,car,-175,27.88
4.4,car,-175,26.89
4.5,car,-175,25.90
4.6,car,-174,24.92
4.7,car,-174,23.93
4.8,car,-174,22.94
4.9,car,-174,21.96
5.0,car,-173,20.97
5.1,car,-173,19.99
5.2,car,-173,19.01
5.3,car,-172,18.02
5.4,car,-172,17.04
5.5,car,-171,16.06
5.6,car,-171,15.08
5.7,car,-170,14.11
5.8,car,-169,13.13
5.9,car,-169,12.16
6.0,car,-168,11.19
6.1,car,-166,10.23
6.2,car,-165,9.27
6.3,car,-163,8.32
6.4,car,-161,7.38
6.5,car,-158,6.45
6.6,car,-154,5.55
6.7,car,-149,4.69
6.8,car,-141,3.89
6.9,car,-130,3.19
7.0,car,-113,2.69
7.1,car,-92,2.50
7.2,car,-70,2.69
7.3,car,-53,3.19
7.4,car,-41,3.89
7.5,car,-33,4.69
7.6,car,-28,5.55
7.7,car,-24,6.45
7.8,car,-20,7.38
7.9,car,-18,8.32
8.0,car,-16,9.27
8.1,car,-15,10.23
8.2,car,-13,11.19
8.3,car,-12,12.16
8.4,car,-11,13.13
8.5,car,-11,14.11
8.6,car,-10,15.08
8.7,car,-9,16.06
8.8,car,-9,17.04
8.9,car,-8,18.02
9.0,car,-8,19.01
9.1,car,-7,19.99
9.2,car,-7,20.97
9.3,car,-7,21.96
9.4,car,-6,22.94
9.5,car,-6,23.93
9.6,car,-6,24.92
9.7,car,-6,25.90
9.8,car,-6,26.89
9.9,car,-5,27.88
10.0,car,-5,28.87
0.3,crossing,-84,
0.4,crossing,-84,
0.5,crossing,-87,
0.6,crossing,-88,
0.7,crossing,-88,
0.8,crossing,-88,
0.9,crossing,-88,
1.0,crossing,-88,
1.1,crossing,-88,
1.2,crossing,-88,
1.3,crossing,-88,
1.4,crossing,-88,
1.5,crossing,-88,
1.6,crossing,-88,
1.7,crossing,-88,
1.8,crossing,-88,
1.9,crossing,-88,
2.0,crossing,-88,
2.1,crossing,-88,
2.2,crossing,-88,
2.3,crossing,-88,
2.4,crossing,-88,
2.5,crossing,-88,
2.6,crossing,-88,
2.7,crossing,-88,
2.8,crossing,-88,
2.9,crossing,-88,
3.0,crossing,-88,
3.1,crossing,-89,
3.2,crossing,-89,
3.3,crossing,-89,
3.4,crossing,-89,
3.5,crossing,-89,
3.6,crossing,-89,
3.7,crossing,-89,
3.8,crossing,-89,
3.9,crossing,-89,
4.0,crossing,-89,
4.1,crossing,-89,
4.2,crossing,-89,
4.3,crossing,-89,
4.4,crossing,-89,
4.5,crossing,-89,
4.6,crossing,-89,
4.7,crossing,-89,
4.8,crossing,-89,
4.9,crossing,-89,
5.0,crossing,-89,
5.1,crossing,-89,
5.2,crossing,-90,
5.3,crossing,-90,
5.4,crossing,-90,
5.5,crossing,-90,
5.6,crossing,-90,
5.7,crossing,-90,
5.8,crossing,-90,
5.9,crossing,-90,
6.0,crossing,-90,
6.1,crossing,-90,
6.2,crossing,-90,
6.3,crossing,-91,
6.4,crossing,-91,
6.5,crossing,-91,
6.6,crossing,-91,
6.7,crossing,-91,
6.8,crossing,-91,
6.9,crossing,-91,
7.0,crossing,-92,
7.1,crossing,-92,
7.2,crossing,-92,
7.3,crossing,-92,
7.4,crossing,-92,
7.5,crossing,-93,
7.6,crossing,-93,
7.7,crossing,-93,
7.8,crossing,-93,
7.9,crossing,-94,
8.0,crossing,-94,
8.1,crossing,-95,
8.2,crossing,-95,
8.3,crossing,-95,
8.4,crossing,-96,
8.5,crossing,-97,
8.6,crossing,-97,
8.7,crossing,-98,
8.8,crossing,-99,
8.9,crossing,-100,
9.0,crossing,-101,
9.1,crossing,-103,
9.2,crossing,-104,
9.3,crossing,-107,
9.4,crossing,-109,
9.5,crossing,-113,
9.6,crossing,-117,
9.7,crossing,-123,
9.8,crossing,-131,
9.9,crossing,-143,
10.0,crossing,-158,
# オラクル（検出=GT系列）。モデル出力ではない
