t_s,obj,class,az_deg,dist_m
0.2,0,train,-84.4,63.91
0.3,0,train,-84.3,62.24
0.4,0,train,-84.3,60.58
0.5,0,train,-84.2,58.92
0.6,0,train,-84.2,57.25
0.7,0,train,-84.1,55.59
0.8,0,train,-84.1,53.93
0.9,0,train,-84.0,52.27
1.0,0,train,-83.9,50.61
1.1,0,train,-83.9,48.95
1.2,0,train,-83.8,47.29
1.3,0,train,-83.7,45.63
1.4,0,train,-83.6,43.98
1.5,0,train,-83.5,42.32
1.6,0,train,-83.4,40.67
1.7,0,train,-83.3,39.02
1.8,0,train,-83.2,37.36
1.9,0,train,-83.0,35.72
2.0,0,train,-82.9,34.07
2.1,0,train,-82.7,32.42
2.2,0,train,-82.5,30.78
2.3,0,train,-82.3,29.14
2.4,0,train,-82.1,27.51
2.5,0,train,-81.8,25.88
2.6,0,train,-81.5,24.25
2.7,0,train,-81.2,22.63
2.8,0,train,-80.7,21.02
2.9,0,train,-80.3,19.43
3.0,0,train,-79.7,17.84
3.1,0,train,-79.0,16.27
3.2,0,train,-78.1,14.72
3.3,0,train,-77.1,13.21
3.4,0,train,-75.6,11.73
3.5,0,train,-73.7,10.32
3.6,0,train,-70.8,8.99
3.7,0,train,-66.4,7.80
3.8,0,train,-58.6,6.81
3.9,0,train,-42.9,6.13
4.0,0,train,-8.1,5.85
4.1,0,train,36.2,6.05
4.2,0,train,59.7,6.67
4.3,0,train,70.5,7.61
4.4,0,train,76.3,8.78
4.5,0,train,79.9,10.08
4.6,0,train,82.3,11.48
4.7,0,train,84.0,12.95
4.8,0,train,85.3,14.46
4.9,0,train,86.3,16.00
5.0,0,train,87.1,17.57
5.1,0,train,87.7,19.15
5.2,0,train,88.3,20.75
5.3,0,train,88.8,22.36
5.4,0,train,89.2,23.98
5.5,0,train,89.5,25.60
5.6,0,train,89.8,27.23
5.7,0,train,90.1,28.86
5.8,0,train,90.3,30.50
5.9,0,train,90.5,32.14
6.0,0,train,90.7,33.79
6.1,0,train,90.9,35.43
6.2,0,train,91.0,37.08
6.3,0,train,91.2,38.73
6.4,0,train,91.3,40.39
6.5,0,train,91.4,42.04
6.6,0,train,91.5,43.69
6.7,0,train,91.6,45.35
6.8,0,train,91.7,47.01
6.9,0,train,91.8,48.67
7.0,0,train,91.9,50.33
7.1,0,train,92.0,51.99
7.2,0,train,92.1,53.65
7.3,0,train,92.1,55.31
7.4,0,train,92.2,56.97
7.5,0,train,92.2,58.63
7.6,0,train,92.3,60.30
7.7,0,train,92.4,61.96
7.8,0,train,92.4,63.62
7.9,0,train,92.5,65.29
8.0,0,train,92.5,66.95
8.1,0,train,92.5,68.62
8.2,0,train,92.6,70.28
8.3,0,train,92.6,71.95
8.4,0,train,92.7,73.61
8.5,0,train,92.7,75.28
8.6,0,train,92.7,76.94
8.7,0,train,92.8,78.61
8.8,0,train,92.8,80.28
8.9,0,train,92.8,81.94
9.0,0,train,92.9,83.61
9.1,0,train,92.9,85.28
9.2,0,train,92.9,86.94
9.3,0,train,92.9,88.61
9.4,0,train,93.0,90.28
9.5,0,train,93.0,91.95
9.6,0,train,93.0,93.61
9.7,0,train,93.0,95.28
9.8,0,train,93.1,96.95
9.9,0,train,93.1,98.62
0.3,1,train,-85.7,82.10
0.4,1,train,-85.7,80.44
0.5,1,train,-85.7,78.77
0.6,1,train,-85.7,77.10
0.7,1,train,-85.7,75.44
0.8,1,train,-85.7,73.77
0.9,1,train,-85.7,72.10
1.0,1,train,-85.7,70.44
1.1,1,train,-85.7,68.77
1.2,1,train,-85.6,67.11
1.3,1,train,-85.6,65.44
1.4,1,train,-85.6,63.78
1.5,1,train,-85.6,62.11
1.6,1,train,-85.6,60.45
1.7,1,train,-85.6,58.78
1.8,1,train,-85.6,57.12
1.9,1,train,-85.5,55.46
2.0,1,train,-85.5,53.80
2.1,1,train,-85.5,52.13
2.2,1,train,-85.5,50.47
2.3,1,train,-85.5,48.81
2.4,1,train,-85.4,47.15
2.5,1,train,-85.4,45.49
2.6,1,train,-85.4,43.84
2.7,1,train,-85.4,42.18
2.8,1,train,-85.3,40.52
2.9,1,train,-85.3,38.87
3.0,1,train,-85.3,37.21
3.1,1,train,-85.2,35.56
3.2,1,train,-85.2,33.91
3.3,1,train,-85.1,32.27
3.4,1,train,-85.1,30.62
3.5,1,train,-85.0,28.98
3.6,1,train,-85.0,27.34
3.7,1,train,-84.9,25.71
3.8,1,train,-84.8,24.08
3.9,1,train,-84.7,22.45
4.0,1,train,-84.6,20.84
4.1,1,train,-84.4,19.23
4.2,1,train,-84.3,17.64
4.3,1,train,-84.1,16.06
4.4,1,train,-83.8,14.50
4.5,1,train,-83.5,12.97
4.6,1,train,-83.1,11.48
4.7,1,train,-82.5,10.05
4.8,1,train,-81.6,8.71
4.9,1,train,-80.2,7.49
