t_s,class,az_deg,dist_m
0.4,bike,-172,4.44
0.5,bike,-169,6.19
0.6,bike,-168,5.37
0.7,bike,-167,5.18
0.8,bike,-165,4.83
0.9,bike,-162,5.12
1.0,bike,-163,4.24
1.1,bike,-160,4.60
1.2,bike,-158,4.38
1.3,bike,-156,3.87
1.4,bike,-156,3.59
1.5,bike,-154,2.94
1.6,bike,-153,2.73
1.7,bike,-150,2.26
1.8,bike,-143,1.80
1.9,bike,-141,1.62
2.0,bike,-133,1.42
2.1,bike,-129,1.33
2.2,bike,-121,1.23
2.3,bike,-108,1.17
2.4,bike,-93,0.91
2.5,bike,-85,0.95
2.6,bike,-82,1.21
2.7,bike,-75,1.26
2.8,bike,-69,1.15
2.9,bike,-64,1.31
3.0,bike,-52,1.87
3.1,bike,-48,1.79
3.2,bike,-46,1.96
3.3,bike,-46,2.14
3.4,bike,-46,2.00
3.5,bike,-47,1.71
3.6,bike,-46,2.38
3.7,bike,-48,2.31
3.8,bike,-50,1.98
3.9,bike,-56,1.93
4.0,bike,-60,1.86
4.1,bike,-66,1.90
4.2,bike,-73,1.81
4.3,bike,-77,1.64
4.4,bike,-84,2.10
4.5,bike,-85,2.36
4.6,bike,-88,2.49
4.7,bike,-93,2.32
4.8,bike,-98,2.37
4.9,bike,-104,2.37
5.0,bike,-112,1.91
5.1,crossing,-159,
5.1,bike,-124,1.47
5.2,crossing,-143,
5.2,crossing,-161,
5.2,bike,-125,1.01
5.3,crossing,-145,
5.3,crossing,-163,
5.3,bike,-136,1.03
5.4,crossing,-149,
5.4,crossing,-164,
5.4,bike,-144,0.86
5.5,crossing,-163,
5.5,bike,-144,1.04
5.6,crossing,-163,
5.7,crossing,-166,
5.7,bike,-147,1.03
5.8,crossing,-169,
5.8,bike,-151,1.66
5.9,crossing,-172,
5.9,bike,-151,2.15
6.0,crossing,-160,
6.0,crossing,-177,
6.0,bike,-152,2.26
6.1,crossing,-178,
6.1,bike,-152,2.20
6.2,bike,-150,2.23
6.3,bike,-151,2.56
6.4,bike,-151,2.59
6.5,bike,-154,3.15
6.6,bike,-154,3.21
6.7,bike,-155,3.53
6.8,bike,-156,3.72
6.9,bike,-156,3.76
7.0,bike,-155,3.74
7.1,bike,-155,4.48
7.2,bike,-157,3.66
7.3,bike,-156,3.75
7.4,bike,-159,3.79
7.5,bike,-159,4.35
7.6,bike,-158,4.32
7.7,bike,-159,4.44
7.8,bike,-158,4.68
7.9,bike,-158,4.26
8.0,bike,-158,4.48
8.1,bike,-157,4.38
8.2,bike,-157,4.08
8.3,bike,-156,4.12
8.4,bike,-154,3.62
8.5,bike,-156,3.98
8.6,bike,-154,3.55
8.7,bike,-152,3.31
8.8,bike,-150,2.56
8.9,bike,-148,2.34
9.0,bike,-143,2.02
9.1,bike,-136,1.57
9.2,bike,-129,1.87
9.3,bike,-118,1.75
9.4,bike,-99,1.25
9.5,bike,-86,1.18
9.6,bike,-75,1.21
9.7,bike,-54,1.40
9.8,bike,-48,1.50
9.9,bike,-37,1.90
10.0,bike,-31,1.75
