t_s,obj,class,az_deg,dist_m
0.1,0,bike,-173.3,10.12
0.2,0,bike,-172.9,9.48
0.3,0,bike,-172.4,8.85
0.4,0,bike,-171.8,8.25
0.5,0,bike,-171.2,7.66
0.6,0,bike,-170.5,7.10
0.7,0,bike,-169.7,6.56
0.8,0,bike,-168.8,6.04
0.9,0,bike,-167.7,5.54
1.0,0,bike,-166.5,5.06
1.1,0,bike,-165.2,4.61
1.2,0,bike,-163.6,4.17
1.3,0,bike,-161.7,3.76
1.4,0,bike,-159.5,3.37
1.5,0,bike,-156.9,3.01
1.6,0,bike,-153.7,2.68
1.7,0,bike,-150.0,2.37
1.8,0,bike,-145.4,2.09
1.9,0,bike,-139.9,1.85
2.0,0,bike,-133.3,1.64
2.1,0,bike,-125.5,1.47
2.2,0,bike,-116.7,1.34
2.3,0,bike,-107.2,1.25
2.4,0,bike,-97.6,1.21
2.5,0,bike,-88.5,1.20
2.6,0,bike,-80.4,1.22
2.7,0,bike,-73.6,1.25
2.8,0,bike,-68.0,1.30
2.9,0,bike,-63.6,1.34
3.0,0,bike,-60.2,1.39
3.1,0,bike,-57.7,1.42
3.2,0,bike,-56.0,1.45
3.3,0,bike,-55.0,1.47
3.4,0,bike,-54.7,1.47
3.5,0,bike,-54.9,1.47
3.6,0,bike,-55.9,1.45
3.7,0,bike,-57.5,1.42
3.8,0,bike,-59.9,1.39
3.9,0,bike,-63.1,1.35
4.0,0,bike,-67.4,1.30
4.1,0,bike,-72.4,1.26
4.2,0,bike,-77.7,1.23
4.3,0,bike,-83.3,1.21
4.4,0,bike,-88.9,1.20
4.5,0,bike,-94.6,1.20
4.6,0,bike,-100.2,1.22
4.7,0,bike,-105.6,1.25
4.8,0,bike,-110.8,1.28
4.9,0,bike,-115.6,1.33
5.0,0,bike,-120.1,1.39
5.1,0,bike,-124.1,1.45
5.2,0,bike,-127.9,1.52
5.3,0,bike,-131.3,1.60
5.4,0,bike,-134.3,1.68
5.5,0,bike,-137.1,1.76
5.6,0,bike,-139.6,1.85
5.7,0,bike,-141.9,1.94
5.8,0,bike,-144.0,2.04
5.9,0,bike,-145.9,2.14
6.0,0,bike,-147.6,2.24
6.1,0,bike,-149.1,2.34
6.2,0,bike,-150.6,2.44
6.3,0,bike,-151.9,2.55
6.4,0,bike,-153.1,2.65
6.5,0,bike,-154.2,2.76
6.6,0,bike,-155.3,2.87
6.7,0,bike,-156.2,2.98
6.8,0,bike,-157.1,3.09
6.9,0,bike,-158.0,3.20
7.0,0,bike,-158.7,3.31
7.1,0,bike,-159.4,3.41
7.2,0,bike,-159.9,3.49
7.3,0,bike,-160.3,3.56
7.4,0,bike,-160.6,3.61
7.5,0,bike,-160.8,3.63
7.6,0,bike,-160.8,3.64
7.7,0,bike,-160.8,3.63
7.8,0,bike,-160.6,3.60
7.9,0,bike,-160.4,3.56
8.0,0,bike,-160.0,3.49
8.1,0,bike,-159.5,3.41
8.2,0,bike,-158.8,3.30
8.3,0,bike,-158.0,3.18
8.4,0,bike,-156.9,3.04
8.5,0,bike,-155.6,2.89
8.6,0,bike,-154.0,2.71
8.7,0,bike,-151.9,2.53
8.8,0,bike,-149.3,2.33
8.9,0,bike,-145.8,2.12
9.0,0,bike,-141.2,1.90
9.1,0,bike,-135.0,1.68
9.2,0,bike,-126.6,1.48
9.3,0,bike,-114.9,1.32
9.4,0,bike,-99.8,1.21
9.5,0,bike,-82.3,1.21
9.6,0,bike,-65.3,1.33
9.7,0,bike,-51.4,1.55
9.8,0,bike,-40.9,1.85
9.9,0,bike,-33.3,2.22
