t_s,class,az_deg,dist_m
4.8,kick,174,5.33
4.9,kick,167,4.35
5.0,kick,171,4.63
5.1,kick,166,4.24
5.2,kick,167,4.06
5.3,kick,167,3.52
5.4,kick,164,3.13
5.5,kick,159,2.96
5.6,kick,157,2.89
5.7,kick,150,2.44
5.8,kick,142,2.15
5.9,kick,129,1.79
6.0,kick,108,1.10
6.1,kick,76,0.95
6.2,kick,51,1.34
6.3,kick,37,1.60
6.4,kick,26,2.16
6.5,kick,22,2.30
6.6,kick,19,2.68
6.7,kick,15,2.96
6.8,kick,13,3.16
6.9,kick,13,3.44
7.0,kick,11,3.45
7.1,kick,11,3.77
7.2,kick,11,4.43
7.3,kick,10,4.74
7.4,kick,9,4.48
7.5,kick,8,2.87
7.6,kick,7,2.10
7.7,kick,6,3.31
