t_s,obj,class,az_deg,dist_m
0.1,0,kick,178.2,25.74
0.2,0,kick,178.2,25.31
0.3,0,kick,178.2,24.87
0.4,0,kick,178.2,24.44
0.5,0,kick,178.1,24.00
0.6,0,kick,178.1,23.56
0.7,0,kick,178.0,23.13
0.8,0,kick,178.0,22.69
0.9,0,kick,178.0,22.26
1.0,0,kick,177.9,21.82
1.1,0,kick,177.9,21.38
1.2,0,kick,177.8,20.95
1.3,0,kick,177.8,20.51
1.4,0,kick,177.8,20.08
1.5,0,kick,177.7,19.64
1.6,0,kick,177.7,19.21
1.7,0,kick,177.6,18.77
1.8,0,kick,177.5,18.33
1.9,0,kick,177.5,17.90
2.0,0,kick,177.4,17.46
2.1,0,kick,177.4,17.03
2.2,0,kick,177.3,16.59
2.3,0,kick,177.2,16.16
2.4,0,kick,177.1,15.72
2.5,0,kick,177.0,15.28
2.6,0,kick,177.0,14.85
2.7,0,kick,176.9,14.41
2.8,0,kick,176.8,13.98
2.9,0,kick,176.7,13.54
3.0,0,kick,176.6,13.11
3.1,0,kick,176.4,12.67
3.2,0,kick,176.3,12.24
3.3,0,kick,176.2,11.80
3.4,0,kick,176.0,11.37
3.5,0,kick,175.9,10.93
3.6,0,kick,175.7,10.50
3.7,0,kick,175.5,10.06
3.8,0,kick,175.3,9.63
3.9,0,kick,175.1,9.19
4.0,0,kick,174.8,8.76
4.1,0,kick,174.6,8.32
4.2,0,kick,174.3,7.89
4.3,0,kick,173.9,7.46
4.4,0,kick,173.6,7.02
4.5,0,kick,173.1,6.59
4.6,0,kick,172.7,6.16
4.7,0,kick,172.1,5.73
4.8,0,kick,171.4,5.29
4.9,0,kick,170.7,4.86
5.0,0,kick,169.8,4.43
5.1,0,kick,168.7,4.01
5.2,0,kick,167.3,3.58
5.3,0,kick,165.6,3.16
5.4,0,kick,163.3,2.74
5.5,0,kick,160.2,2.32
5.6,0,kick,155.8,1.92
5.7,0,kick,149.0,1.53
5.8,0,kick,138.1,1.18
5.9,0,kick,119.4,0.91
6.0,0,kick,90.9,0.80
6.1,0,kick,62.2,0.91
6.2,0,kick,43.2,1.18
6.3,0,kick,31.9,1.53
6.4,0,kick,25.0,1.92
6.5,0,kick,20.5,2.32
6.6,0,kick,17.3,2.74
6.7,0,kick,14.9,3.16
6.8,0,kick,13.1,3.58
6.9,0,kick,11.7,4.01
7.0,0,kick,10.6,4.43
7.1,0,kick,9.6,4.86
7.2,0,kick,8.8,5.29
7.3,0,kick,8.2,5.73
7.4,0,kick,7.6,6.16
7.5,0,kick,7.1,6.59
7.6,0,kick,6.6,7.02
7.7,0,kick,6.3,7.46
7.8,0,kick,5.9,7.89
7.9,0,kick,5.6,8.32
8.0,0,kick,5.3,8.76
8.1,0,kick,5.1,9.19
8.2,0,kick,4.8,9.63
8.3,0,kick,4.6,10.06
8.4,0,kick,4.4,10.50
8.5,0,kick,4.3,10.93
8.6,0,kick,4.1,11.37
8.7,0,kick,3.9,11.80
8.8,0,kick,3.8,12.24
8.9,0,kick,3.7,12.67
9.0,0,kick,3.6,13.11
9.1,0,kick,3.4,13.54
9.2,0,kick,3.3,13.98
9.3,0,kick,3.2,14.41
9.4,0,kick,3.1,14.85
9.5,0,kick,3.0,15.28
9.6,0,kick,3.0,15.72
9.7,0,kick,2.9,16.16
9.8,0,kick,2.8,16.59
9.9,0,kick,2.7,17.03
