t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,0.000,0
0.7,0.000,0
0.8,0.000,0
0.9,0.000,0
1.0,0.000,0
1.1,0.000,0
1.2,0.000,0
1.3,0.000,0
1.4,0.000,0
1.5,0.000,0
1.6,0.000,0
1.7,0.000,0
1.8,0.000,0
1.9,0.000,0
2.0,0.000,0
2.1,0.000,0
2.2,0.066,177
2.3,0.132,177
2.4,0.199,177
2.5,0.266,177
2.6,0.332,177
2.7,0.399,177
2.8,0.465,177
2.9,0.532,177
3.0,0.599,177
3.1,0.665,177
3.2,0.732,176
3.3,0.798,176
3.4,0.865,176
3.5,0.932,176
3.6,0.998,176
3.7,1.000,176
3.8,1.000,176
3.9,1.000,175
4.0,1.000,175
4.1,1.000,175
4.2,1.000,175
4.3,1.000,174
4.4,1.000,174
4.5,1.000,174
4.6,1.000,173
4.7,1.000,173
4.8,1.000,172
4.9,1.000,171
5.0,1.000,171
5.1,1.000,170
5.2,1.000,169
5.3,1.000,167
5.4,1.000,166
5.5,1.000,163
5.6,1.000,160
5.7,1.000,156
5.8,1.000,149
5.9,1.000,138
6.0,1.000,119
6.1,1.000,91
6.2,1.000,62
6.3,1.000,43
6.4,0.000,0
6.5,0.000,0
6.6,0.000,0
6.7,0.000,0
6.8,0.000,0
6.9,0.000,0
7.0,0.000,0
7.1,0.000,0
7.2,0.000,0
7.3,0.000,0
7.4,0.000,0
7.5,0.000,0
7.6,0.000,0
7.7,0.000,0
7.8,0.000,0
7.9,0.000,0
8.0,0.000,0
8.1,0.000,0
8.2,0.000,0
8.3,0.000,0
8.4,0.000,0
8.5,0.000,0
8.6,0.000,0
8.7,0.000,0
8.8,0.000,0
8.9,0.000,0
9.0,0.000,0
9.1,0.000,0
9.2,0.000,0
9.3,0.000,0
9.4,0.000,0
9.5,0.000,0
9.6,0.000,0
9.7,0.000,0
9.8,0.000,0
9.9,0.000,0
10.0,0.000,0
