t_s,class,az_deg,dist_m
0.1,backup_beep,-166,
0.2,backup_beep,-154,
0.3,backup_beep,-157,
0.4,backup_beep,-163,
0.4,car,179,2.14
0.5,backup_beep,-163,
0.5,car,-176,6.31
0.6,backup_beep,-157,
0.6,car,-177,7.45
0.7,backup_beep,-155,
0.7,car,-178,8.54
0.8,backup_beep,-160,
0.8,car,-178,10.24
0.9,backup_beep,-164,
0.9,car,-179,11.13
1.0,backup_beep,-155,
1.0,car,-179,9.90
1.1,backup_beep,-160,
1.1,car,-179,11.29
1.2,backup_beep,-157,
1.2,car,-178,11.43
1.3,backup_beep,-156,
1.3,car,-178,11.32
1.4,backup_beep,-157,
1.4,car,-178,10.65
1.5,backup_beep,-157,
1.5,car,-177,9.50
1.6,backup_beep,-152,
1.6,car,-177,9.13
1.7,backup_beep,-151,
1.7,car,-177,10.92
1.8,backup_beep,-154,
1.8,car,-177,10.28
1.9,backup_beep,-153,
1.9,car,-177,9.93
2.0,backup_beep,-147,
2.0,car,-178,10.75
2.1,backup_beep,-156,
2.1,car,-176,11.00
2.2,backup_beep,-153,
2.2,car,-176,11.22
2.3,backup_beep,-151,
2.3,car,-175,11.14
2.4,backup_beep,-155,
2.4,car,-176,10.27
2.5,backup_beep,-153,
2.5,car,-175,10.88
2.6,backup_beep,-151,
2.6,car,-174,9.45
2.7,backup_beep,-150,
2.7,car,-174,9.54
2.8,backup_beep,-147,
2.8,car,-175,9.54
2.9,backup_beep,-150,
2.9,car,-173,8.37
3.0,backup_beep,-147,
3.0,car,-174,8.39
3.1,backup_beep,-153,
3.1,car,-174,8.16
3.2,backup_beep,-151,
3.2,car,-175,8.60
3.3,backup_beep,-147,
3.3,car,-174,9.34
3.4,backup_beep,-155,
3.4,car,-175,7.76
3.5,backup_beep,-151,
3.5,car,-174,8.22
3.6,backup_beep,-145,
3.6,car,-173,8.39
3.7,backup_beep,-147,
3.7,car,-173,8.01
3.8,backup_beep,-145,
3.8,car,-174,8.06
3.9,backup_beep,-140,
3.9,car,-173,7.46
4.0,car,-171,7.10
4.1,backup_beep,-149,
4.1,car,-172,7.01
4.2,backup_beep,-151,
4.2,car,-171,6.19
4.3,backup_beep,-150,
4.3,car,-169,6.19
4.4,backup_beep,-152,
4.4,car,-171,6.63
4.5,backup_beep,-149,
4.5,car,-170,6.81
4.6,backup_beep,-144,
4.6,car,-168,6.93
4.7,backup_beep,-146,
4.7,car,-168,6.03
4.8,backup_beep,-144,
4.8,car,-169,6.59
4.9,backup_beep,-142,
4.9,car,-168,6.27
5.0,car,-165,5.63
5.1,backup_beep,-141,
5.1,car,-165,5.73
5.2,backup_beep,-143,
5.2,car,-165,5.13
5.3,backup_beep,-145,
5.3,car,-164,5.37
5.4,backup_beep,-148,
5.4,car,-163,5.08
5.5,backup_beep,-141,
5.5,car,-163,5.49
5.6,backup_beep,-145,
5.6,car,-159,4.63
5.7,backup_beep,-143,
5.7,car,-159,5.03
5.8,backup_beep,-142,
5.8,car,-159,4.94
5.9,car,-156,3.98
6.0,car,-148,3.69
6.0,car,-148,3.31
6.1,backup_beep,-139,
6.1,car,-153,4.81
6.2,backup_beep,-138,
6.2,car,-148,4.01
6.3,backup_beep,-134,
6.3,car,-148,4.15
6.4,backup_beep,-129,
6.4,car,-145,4.44
6.5,backup_beep,-129,
6.5,car,-143,4.42
6.6,backup_beep,-130,
6.6,car,-130,3.56
6.6,car,-130,3.35
6.7,backup_beep,-131,
6.7,car,-125,3.61
6.7,car,-124,3.35
6.8,backup_beep,-128,
6.8,car,-113,3.16
6.8,car,-114,2.81
6.9,backup_beep,-126,
6.9,car,-101,2.64
6.9,car,-101,2.40
7.0,backup_beep,-126,
7.0,car,-92,2.80
7.0,car,-90,2.58
7.1,backup_beep,-76,
7.1,car,-86,3.12
7.1,car,-83,2.86
7.2,backup_beep,-60,
7.2,car,-75,3.44
7.2,car,-73,3.11
7.3,backup_beep,-55,
7.3,car,-69,3.48
7.3,car,-65,3.17
7.4,backup_beep,-50,
7.4,car,-62,3.70
7.4,car,-57,3.39
7.5,backup_beep,-47,
7.5,car,-54,3.93
7.5,car,-48,3.69
7.6,backup_beep,-44,
7.6,car,-42,4.65
7.7,backup_beep,-45,
7.7,car,-37,4.91
7.8,backup_beep,-45,
7.8,car,-33,5.05
7.9,backup_beep,-37,
7.9,car,-32,5.12
8.0,car,-29,5.17
8.1,backup_beep,-38,
8.1,car,-24,5.25
8.2,backup_beep,-32,
8.2,car,-22,5.38
8.3,backup_beep,-34,
8.3,car,-19,5.60
8.4,backup_beep,-32,
8.4,car,-18,6.07
8.5,backup_beep,-28,
8.5,car,-18,6.07
8.6,backup_beep,-21,
8.6,car,-19,6.15
8.7,backup_beep,-18,
8.7,car,-16,6.23
8.8,backup_beep,-10,
8.8,car,-14,6.23
8.9,backup_beep,-20,
8.9,car,-15,6.17
9.0,backup_beep,-13,
9.0,car,-14,6.18
9.1,backup_beep,-24,
9.1,car,-12,6.36
9.2,backup_beep,-23,
9.2,car,-11,6.57
9.3,backup_beep,-23,
9.3,car,-10,6.87
9.4,backup_beep,-22,
9.4,car,-9,6.60
9.5,backup_beep,-21,
9.5,car,-9,6.95
9.6,backup_beep,-11,
9.6,car,-9,6.73
9.7,backup_beep,-11,
9.7,car,-9,7.87
9.8,backup_beep,-9,
9.8,car,-8,7.74
9.9,backup_beep,-19,
9.9,car,-6,7.71
10.0,car,-4,7.56
