t_s,obj,class,az_deg,dist_m
0.1,0,backup_beep,-175.2,9.62
0.2,0,backup_beep,-175.2,9.48
0.3,0,backup_beep,-175.1,9.34
0.4,0,backup_beep,-175.0,9.20
0.5,0,backup_beep,-175.0,9.06
0.6,0,backup_beep,-174.9,8.92
0.7,0,backup_beep,-174.8,8.79
0.8,0,backup_beep,-174.7,8.65
0.9,0,backup_beep,-174.6,8.51
1.0,0,backup_beep,-174.5,8.37
1.1,0,backup_beep,-174.4,8.23
1.2,0,backup_beep,-174.4,8.10
1.3,0,backup_beep,-174.3,7.96
1.4,0,backup_beep,-174.2,7.82
1.5,0,backup_beep,-174.0,7.68
1.6,0,backup_beep,-173.9,7.54
1.7,0,backup_beep,-173.8,7.40
1.8,0,backup_beep,-173.7,7.27
1.9,0,backup_beep,-173.6,7.13
2.0,0,backup_beep,-173.5,6.99
2.1,0,backup_beep,-173.3,6.85
2.2,0,backup_beep,-173.2,6.71
2.3,0,backup_beep,-173.0,6.58
2.4,0,backup_beep,-172.9,6.44
2.5,0,backup_beep,-172.7,6.30
2.6,0,backup_beep,-172.6,6.16
2.7,0,backup_beep,-172.4,6.03
2.8,0,backup_beep,-172.2,5.89
2.9,0,backup_beep,-172.0,5.75
3.0,0,backup_beep,-171.8,5.61
3.1,0,backup_beep,-171.6,5.48
3.2,0,backup_beep,-171.4,5.34
3.3,0,backup_beep,-171.2,5.20
3.4,0,backup_beep,-170.9,5.06
3.5,0,backup_beep,-170.7,4.93
3.6,0,backup_beep,-170.4,4.79
3.7,0,backup_beep,-170.1,4.65
3.8,0,backup_beep,-169.8,4.52
3.9,0,backup_beep,-169.5,4.38
4.0,0,backup_beep,-169.2,4.24
4.1,0,backup_beep,-168.8,4.11
4.2,0,backup_beep,-168.4,3.97
4.3,0,backup_beep,-168.0,3.83
4.4,0,backup_beep,-167.6,3.70
4.5,0,backup_beep,-167.1,3.56
4.6,0,backup_beep,-166.6,3.43
4.7,0,backup_beep,-166.0,3.29
4.8,0,backup_beep,-165.4,3.16
4.9,0,backup_beep,-164.7,3.02
5.0,0,backup_beep,-164.0,2.89
5.1,0,backup_beep,-163.2,2.76
5.2,0,backup_beep,-162.3,2.62
5.3,0,backup_beep,-161.4,2.49
5.4,0,backup_beep,-160.3,2.36
5.5,0,backup_beep,-159.1,2.23
5.6,0,backup_beep,-157.7,2.10
5.7,0,backup_beep,-156.2,1.97
5.8,0,backup_beep,-154.5,1.85
5.9,0,backup_beep,-152.5,1.72
6.0,0,backup_beep,-150.2,1.60
6.1,0,backup_beep,-147.5,1.48
6.2,0,backup_beep,-144.4,1.37
6.3,0,backup_beep,-140.7,1.26
6.4,0,backup_beep,-136.3,1.16
6.5,0,backup_beep,-131.1,1.06
6.6,0,backup_beep,-125.0,0.97
6.7,0,backup_beep,-117.7,0.90
6.8,0,backup_beep,-109.4,0.85
6.9,0,backup_beep,-100.1,0.81
7.0,0,backup_beep,-90.2,0.80
7.1,0,backup_beep,-80.4,0.81
7.2,0,backup_beep,-71.1,0.85
7.3,0,backup_beep,-62.7,0.90
7.4,0,backup_beep,-55.4,0.97
7.5,0,backup_beep,-49.2,1.06
7.6,0,backup_beep,-44.0,1.16
7.7,0,backup_beep,-39.6,1.26
7.8,0,backup_beep,-35.9,1.37
7.9,0,backup_beep,-32.7,1.48
8.0,0,backup_beep,-30.1,1.60
8.1,0,backup_beep,-27.7,1.72
8.2,0,backup_beep,-25.7,1.85
8.3,0,backup_beep,-24.0,1.97
8.4,0,backup_beep,-22.5,2.10
8.5,0,backup_beep,-21.1,2.23
8.6,0,backup_beep,-19.9,2.36
8.7,0,backup_beep,-18.8,2.49
8.8,0,backup_beep,-17.8,2.62
8.9,0,backup_beep,-16.9,2.76
9.0,0,backup_beep,-16.1,2.89
9.1,0,backup_beep,-15.4,3.02
9.2,0,backup_beep,-14.7,3.16
9.3,0,backup_beep,-14.1,3.29
9.4,0,backup_beep,-13.5,3.43
9.5,0,backup_beep,-13.0,3.56
9.6,0,backup_beep,-12.5,3.70
9.7,0,backup_beep,-12.1,3.83
9.8,0,backup_beep,-11.7,3.97
9.9,0,backup_beep,-11.3,4.11
0.1,1,car,-175.2,9.62
0.2,1,car,-175.2,9.48
0.3,1,car,-175.1,9.34
0.4,1,car,-175.0,9.20
0.5,1,car,-175.0,9.06
0.6,1,car,-174.9,8.92
0.7,1,car,-174.8,8.79
0.8,1,car,-174.7,8.65
0.9,1,car,-174.6,8.51
1.0,1,car,-174.5,8.37
1.1,1,car,-174.4,8.23
1.2,1,car,-174.4,8.10
1.3,1,car,-174.3,7.96
1.4,1,car,-174.2,7.82
1.5,1,car,-174.0,7.68
1.6,1,car,-173.9,7.54
1.7,1,car,-173.8,7.40
1.8,1,car,-173.7,7.27
1.9,1,car,-173.6,7.13
2.0,1,car,-173.5,6.99
2.1,1,car,-173.3,6.85
2.2,1,car,-173.2,6.71
2.3,1,car,-173.0,6.58
2.4,1,car,-172.9,6.44
2.5,1,car,-172.7,6.30
2.6,1,car,-172.6,6.16
2.7,1,car,-172.4,6.03
2.8,1,car,-172.2,5.89
2.9,1,car,-172.0,5.75
3.0,1,car,-171.8,5.61
3.1,1,car,-171.6,5.48
3.2,1,car,-171.4,5.34
3.3,1,car,-171.2,5.20
3.4,1,car,-170.9,5.06
3.5,1,car,-170.7,4.93
3.6,1,car,-170.4,4.79
3.7,1,car,-170.1,4.65
3.8,1,car,-169.8,4.52
3.9,1,car,-169.5,4.38
4.0,1,car,-169.2,4.24
4.1,1,car,-168.8,4.11
4.2,1,car,-168.4,3.97
4.3,1,car,-168.0,3.83
4.4,1,car,-167.6,3.70
4.5,1,car,-167.1,3.56
4.6,1,car,-166.6,3.43
4.7,1,car,-166.0,3.29
4.8,1,car,-165.4,3.16
4.9,1,car,-164.7,3.02
5.0,1,car,-164.0,2.89
5.1,1,car,-163.2,2.76
5.2,1,car,-162.3,2.62
5.3,1,car,-161.4,2.49
5.4,1,car,-160.3,2.36
5.5,1,car,-159.1,2.23
5.6,1,car,-157.7,2.10
5.7,1,car,-156.2,1.97
5.8,1,car,-154.5,1.85
5.9,1,car,-152.5,1.72
6.0,1,car,-150.2,1.60
6.1,1,car,-147.5,1.48
6.2,1,car,-144.4,1.37
6.3,1,car,-140.7,1.26
6.4,1,car,-136.3,1.16
6.5,1,car,-131.1,1.06
6.6,1,car,-125.0,0.97
6.7,1,car,-117.7,0.90
6.8,1,car,-109.4,0.85
6.9,1,car,-100.1,0.81
7.0,1,car,-90.2,0.80
7.1,1,car,-80.4,0.81
7.2,1,car,-71.1,0.85
7.3,1,car,-62.7,0.90
7.4,1,car,-55.4,0.97
7.5,1,car,-49.2,1.06
7.6,1,car,-44.0,1.16
7.7,1,car,-39.6,1.26
7.8,1,car,-35.9,1.37
7.9,1,car,-32.7,1.48
8.0,1,car,-30.1,1.60
8.1,1,car,-27.7,1.72
8.2,1,car,-25.7,1.85
8.3,1,car,-24.0,1.97
8.4,1,car,-22.5,2.10
8.5,1,car,-21.1,2.23
8.6,1,car,-19.9,2.36
8.7,1,car,-18.8,2.49
8.8,1,car,-17.8,2.62
8.9,1,car,-16.9,2.76
9.0,1,car,-16.1,2.89
9.1,1,car,-15.4,3.02
9.2,1,car,-14.7,3.16
9.3,1,car,-14.1,3.29
9.4,1,car,-13.5,3.43
9.5,1,car,-13.0,3.56
9.6,1,car,-12.5,3.70
9.7,1,car,-12.1,3.83
9.8,1,car,-11.7,3.97
9.9,1,car,-11.3,4.11
