t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,0.000,0
0.7,0.000,0
0.8,0.000,0
0.9,0.000,0
1.0,0.000,0
1.1,0.000,0
1.2,0.000,0
1.3,0.000,0
1.4,0.000,0
1.5,0.000,0
1.6,0.000,0
1.7,0.000,0
1.8,0.000,0
1.9,0.000,0
2.0,0.000,0
2.1,0.000,0
2.2,0.000,0
2.3,0.000,0
2.4,0.000,0
2.5,0.000,0
2.6,0.000,0
2.7,0.000,0
2.8,0.000,0
2.9,0.000,0
3.0,0.000,0
3.1,0.000,0
3.2,0.059,-172
3.3,0.125,-171
3.4,0.192,-171
3.5,0.258,-171
3.6,0.324,-171
3.7,0.390,-170
3.8,0.457,-170
3.9,0.523,-170
4.0,0.589,-170
4.1,0.655,-169
4.2,0.721,-169
4.3,0.787,-168
4.4,0.852,-168
4.5,0.918,-168
4.6,0.984,-167
4.7,1.000,-167
4.8,1.000,-166
4.9,1.000,-165
5.0,1.000,-165
5.1,1.000,-164
5.2,1.000,-163
5.3,1.000,-162
5.4,1.000,-161
5.5,1.000,-160
5.6,1.000,-159
5.7,1.000,-158
5.8,1.000,-156
5.9,1.000,-154
6.0,1.000,-152
6.1,1.000,-150
6.2,1.000,-148
6.3,1.000,-144
6.4,1.000,-141
6.5,1.000,-136
6.6,1.000,-131
6.7,1.000,-125
6.8,1.000,-118
6.9,1.000,-109
7.0,1.000,-100
7.1,1.000,-90
7.2,1.000,-80
7.3,1.000,-71
7.4,1.000,-63
7.5,1.000,-55
7.6,1.000,-49
7.7,1.000,-44
7.8,1.000,-40
7.9,1.000,-36
8.0,1.000,-33
8.1,0.000,0
8.2,0.000,0
8.3,0.000,0
8.4,0.000,0
8.5,0.000,0
8.6,0.000,0
8.7,0.000,0
8.8,0.000,0
8.9,0.000,0
9.0,0.000,0
9.1,0.000,0
9.2,0.000,0
9.3,0.000,0
9.4,0.000,0
9.5,0.000,0
9.6,0.000,0
9.7,0.000,0
9.8,0.000,0
9.9,0.000,0
10.0,0.000,0
