t_s,class,az_deg,dist_m
2.7,car,176,7.05
2.8,car,176,12.17
2.9,car,177,26.43
3.0,car,179,29.09
3.1,car,177,27.58
3.2,car,178,29.52
3.3,car,178,26.57
3.4,car,-178,28.45
3.5,car,-179,27.16
3.6,car,-179,27.34
3.7,car,-178,29.11
3.8,car,-177,28.06
3.9,car,-178,26.88
4.0,car,-177,26.36
4.1,car,-177,24.85
4.2,car,-177,23.25
4.3,car,-178,21.98
4.4,car,-178,21.55
4.5,car,179,21.14
4.6,car,178,19.81
4.7,car,-179,19.01
4.8,car,179,17.50
4.9,car,-177,16.96
5.0,car,-178,16.69
5.1,horn,-170,
5.1,car,-178,12.80
5.2,horn,-177,
5.2,car,-178,14.98
5.3,horn,-176,
5.3,car,-178,15.84
5.4,horn,-176,
5.4,car,178,12.42
5.5,horn,-177,
5.5,car,-176,12.72
5.6,horn,-174,
5.6,car,-178,11.18
5.7,horn,-174,
5.7,car,-176,11.14
5.8,car,-175,11.26
5.9,car,-175,9.49
6.0,car,-175,8.52
6.1,car,-174,9.51
6.2,car,-172,7.39
6.3,car,-169,6.53
6.4,car,-167,6.59
6.5,car,-164,5.17
6.6,car,-159,4.23
6.7,car,-153,2.93
6.8,car,-144,2.47
6.9,car,-127,2.06
7.0,car,-101,1.89
7.1,car,-77,2.13
7.2,car,-56,2.53
7.3,car,-39,3.13
7.4,car,-28,3.71
7.5,car,-22,4.66
7.6,car,-18,4.76
7.7,car,-16,6.02
7.8,car,-13,6.84
7.9,car,-11,7.42
8.0,car,-11,8.10
8.1,car,-10,8.97
8.2,car,-8,9.20
8.3,car,-9,10.12
8.4,car,-8,10.61
8.5,car,-7,10.49
8.6,car,-7,10.88
8.7,car,-7,12.03
8.8,car,-6,12.78
8.9,car,-6,13.37
9.0,car,-5,14.22
9.1,car,-5,15.17
9.2,car,-5,15.53
9.3,car,-5,17.78
9.4,car,-4,18.54
9.5,car,-4,19.23
9.6,car,-4,20.35
9.7,car,-4,20.75
9.8,car,-4,22.41
9.9,car,-4,23.14
10.0,car,-2,25.46
