t_s,obj,class,az_deg,dist_m
0.2,0,car,-178.3,48.57
0.3,0,car,-178.2,47.85
0.4,0,car,-178.2,47.14
0.5,0,car,-178.2,46.43
0.6,0,car,-178.2,45.71
0.7,0,car,-178.1,45.00
0.8,0,car,-178.1,44.29
0.9,0,car,-178.1,43.57
1.0,0,car,-178.0,42.86
1.1,0,car,-178.0,42.15
1.2,0,car,-178.0,41.43
1.3,0,car,-177.9,40.72
1.4,0,car,-177.9,40.01
1.5,0,car,-177.9,39.29
1.6,0,car,-177.8,38.58
1.7,0,car,-177.8,37.87
1.8,0,car,-177.7,37.15
1.9,0,car,-177.7,36.44
2.0,0,car,-177.7,35.73
2.1,0,car,-177.6,35.01
2.2,0,car,-177.6,34.30
2.3,0,car,-177.5,33.59
2.4,0,car,-177.4,32.87
2.5,0,car,-177.4,32.16
2.6,0,car,-177.3,31.45
2.7,0,car,-177.3,30.73
2.8,0,car,-177.2,30.02
2.9,0,car,-177.1,29.31
3.0,0,car,-177.1,28.59
3.1,0,car,-177.0,27.88
3.2,0,car,-176.9,27.17
3.3,0,car,-176.8,26.46
3.4,0,car,-176.7,25.74
3.5,0,car,-176.6,25.03
3.6,0,car,-176.5,24.32
3.7,0,car,-176.4,23.61
3.8,0,car,-176.3,22.89
3.9,0,car,-176.2,22.18
4.0,0,car,-176.1,21.47
4.1,0,car,-176.0,20.76
4.2,0,car,-175.8,20.05
4.3,0,car,-175.7,19.33
4.4,0,car,-175.5,18.62
4.5,0,car,-175.3,17.91
4.6,0,car,-175.1,17.20
4.7,0,car,-174.9,16.49
4.8,0,car,-174.7,15.78
4.9,0,car,-174.4,15.07
5.0,0,car,-174.1,14.36
5.1,0,car,-173.8,13.65
5.2,0,car,-173.5,12.94
5.3,0,car,-173.1,12.23
5.4,0,car,-172.7,11.52
5.5,0,car,-172.2,10.81
5.6,0,car,-171.7,10.11
5.7,0,car,-171.0,9.40
5.8,0,car,-170.3,8.70
5.9,0,car,-169.4,7.99
6.0,0,car,-168.4,7.29
6.1,0,car,-167.2,6.60
6.2,0,car,-165.6,5.90
6.3,0,car,-163.7,5.22
6.4,0,car,-161.2,4.54
6.5,0,car,-157.7,3.87
6.6,0,car,-152.9,3.23
6.7,0,car,-145.8,2.61
6.8,0,car,-134.6,2.07
6.9,0,car,-116.7,1.66
7.0,0,car,-91.4,1.50
7.1,0,car,-65.8,1.66
7.2,0,car,-47.4,2.07
7.3,0,car,-35.8,2.61
7.4,0,car,-28.4,3.23
7.5,0,car,-23.3,3.87
7.6,0,car,-19.8,4.54
7.7,0,car,-17.1,5.22
7.8,0,car,-15.1,5.90
7.9,0,car,-13.5,6.60
8.0,0,car,-12.2,7.29
8.1,0,car,-11.1,7.99
8.2,0,car,-10.2,8.70
8.3,0,car,-9.4,9.40
8.4,0,car,-8.7,10.11
8.5,0,car,-8.2,10.81
8.6,0,car,-7.7,11.52
8.7,0,car,-7.2,12.23
8.8,0,car,-6.8,12.94
8.9,0,car,-6.5,13.65
9.0,0,car,-6.1,14.36
9.1,0,car,-5.9,15.07
9.2,0,car,-5.6,15.78
9.3,0,car,-5.3,16.49
9.4,0,car,-5.1,17.20
9.5,0,car,-4.9,17.91
9.6,0,car,-4.7,18.62
9.7,0,car,-4.6,19.33
9.8,0,car,-4.4,20.05
9.9,0,car,-4.2,20.76
5.0,1,horn,-174.1,14.36
5.1,1,horn,-173.8,13.65
5.2,1,horn,-173.5,12.94
5.3,1,horn,-173.1,12.23
5.4,1,horn,-172.7,11.52
5.5,1,horn,-172.2,10.81
