t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,0.000,0
0.7,0.000,0
0.8,0.000,0
0.9,0.000,0
1.0,0.000,0
1.1,0.000,0
1.2,0.000,0
1.3,0.000,0
1.4,0.000,0
1.5,0.000,0
1.6,0.000,0
1.7,0.000,0
1.8,0.000,0
1.9,0.000,0
2.0,0.000,0
2.1,0.000,0
2.2,0.000,0
2.3,0.000,0
2.4,0.000,0
2.5,0.000,0
2.6,0.000,0
2.7,0.000,0
2.8,0.000,0
2.9,0.000,0
3.0,0.000,0
3.1,0.000,0
3.2,0.065,-177
3.3,0.132,-177
3.4,0.199,-177
3.5,0.265,-177
3.6,0.332,-177
3.7,0.398,-177
3.8,0.465,-176
3.9,0.532,-176
4.0,0.598,-176
4.1,0.665,-176
4.2,0.731,-176
4.3,0.798,-176
4.4,0.864,-176
4.5,0.931,-175
4.6,0.997,-175
4.7,1.000,-175
4.8,1.000,-175
4.9,1.000,-175
5.0,1.000,-174
5.1,1.000,-174
5.2,1.000,-174
5.3,1.000,-174
5.4,1.000,-173
5.5,1.000,-173
5.6,1.000,-172
5.7,1.000,-172
5.8,1.000,-171
5.9,1.000,-170
6.0,1.000,-169
6.1,1.000,-168
6.2,1.000,-167
6.3,1.000,-166
6.4,1.000,-164
6.5,1.000,-161
6.6,1.000,-158
6.7,1.000,-153
6.8,1.000,-146
6.9,1.000,-135
7.0,1.000,-117
7.1,1.000,-91
7.2,0.229,-66
7.3,0.000,0
7.4,0.000,0
7.5,0.000,0
7.6,0.000,0
7.7,0.000,0
7.8,0.000,0
7.9,0.000,0
8.0,0.000,0
8.1,0.000,0
8.2,0.000,0
8.3,0.000,0
8.4,0.000,0
8.5,0.000,0
8.6,0.000,0
8.7,0.000,0
8.8,0.000,0
8.9,0.000,0
9.0,0.000,0
9.1,0.000,0
9.2,0.000,0
9.3,0.000,0
9.4,0.000,0
9.5,0.000,0
9.6,0.000,0
9.7,0.000,0
9.8,0.000,0
9.9,0.000,0
10.0,0.000,0
