t_s,class,az_deg,dist_m
0.4,siren,178,
0.5,siren,178,
0.6,siren,178,
0.7,siren,178,
0.8,siren,177,
0.9,siren,177,
1.0,siren,177,
1.1,siren,177,
1.2,siren,177,
1.3,siren,177,
1.4,siren,177,
1.5,siren,177,
1.6,siren,177,
1.7,siren,177,
1.8,siren,177,
1.9,siren,177,
2.0,siren,177,
2.1,siren,177,
2.2,siren,177,
2.3,siren,177,
2.4,siren,177,
2.5,siren,177,
2.6,siren,176,
2.7,siren,176,
2.8,siren,176,
2.9,siren,176,
3.0,siren,176,
3.1,siren,176,
3.2,siren,176,
3.3,siren,176,
3.4,siren,176,
3.5,siren,176,
3.6,siren,175,
3.7,siren,175,
3.8,siren,175,
3.9,siren,175,
4.0,siren,175,
4.1,siren,175,
4.2,siren,175,
4.3,siren,174,
4.4,siren,174,
4.5,siren,174,
4.6,siren,174,
4.7,siren,173,
4.8,siren,173,
4.9,siren,173,
5.0,siren,173,
5.1,siren,172,
5.2,siren,172,
5.3,siren,171,
5.4,siren,171,
5.5,siren,170,
5.6,siren,170,
5.7,siren,169,
5.8,siren,168,
5.9,siren,167,
6.0,siren,166,
6.1,siren,165,
6.2,siren,163,
6.3,siren,161,
6.4,siren,159,
6.5,siren,155,
6.6,siren,151,
6.7,siren,146,
6.8,siren,138,
6.9,siren,127,
7.0,siren,111,
7.1,siren,92,
7.2,siren,73,
7.3,siren,57,
7.4,siren,45,
7.5,siren,37,
7.6,siren,31,
7.7,siren,27,
7.8,siren,23,
7.9,siren,21,
8.0,siren,18,
8.1,siren,17,
8.2,siren,15,
8.3,siren,14,
8.4,siren,13,
8.5,siren,12,
8.6,siren,11,
8.7,siren,11,
8.8,siren,10,
8.9,siren,9,
9.0,siren,9,
9.1,siren,9,
9.2,siren,8,
9.3,siren,8,
9.4,siren,7,
9.5,siren,7,
9.6,siren,7,
9.7,siren,7,
9.8,siren,6,
9.9,siren,6,
10.0,siren,6,
# オラクル（検出=GT系列）。モデル出力ではない
