t_s,obj,class,az_deg,dist_m
0.3,0,siren,177.6,93.14
0.4,0,siren,177.6,91.75
0.5,0,siren,177.6,90.37
0.6,0,siren,177.5,88.98
0.7,0,siren,177.5,87.59
0.8,0,siren,177.4,86.20
0.9,0,siren,177.4,84.82
1.0,0,siren,177.4,83.43
1.1,0,siren,177.3,82.04
1.2,0,siren,177.3,80.65
1.3,0,siren,177.2,79.27
1.4,0,siren,177.2,77.88
1.5,0,siren,177.1,76.49
1.6,0,siren,177.1,75.11
1.7,0,siren,177.0,73.72
1.8,0,siren,177.0,72.33
1.9,0,siren,176.9,70.95
2.0,0,siren,176.8,69.56
2.1,0,siren,176.8,68.17
2.2,0,siren,176.7,66.79
2.3,0,siren,176.6,65.40
2.4,0,siren,176.6,64.01
2.5,0,siren,176.5,62.63
2.6,0,siren,176.4,61.24
2.7,0,siren,176.3,59.86
2.8,0,siren,176.2,58.47
2.9,0,siren,176.1,57.08
3.0,0,siren,176.0,55.70
3.1,0,siren,175.9,54.31
3.2,0,siren,175.8,52.93
3.3,0,siren,175.7,51.54
3.4,0,siren,175.6,50.16
3.5,0,siren,175.5,48.78
3.6,0,siren,175.4,47.39
3.7,0,siren,175.2,46.01
3.8,0,siren,175.1,44.62
3.9,0,siren,174.9,43.24
4.0,0,siren,174.7,41.86
4.1,0,siren,174.6,40.48
4.2,0,siren,174.4,39.09
4.3,0,siren,174.2,37.71
4.4,0,siren,173.9,36.33
4.5,0,siren,173.7,34.95
4.6,0,siren,173.4,33.57
4.7,0,siren,173.2,32.19
4.8,0,siren,172.8,30.82
4.9,0,siren,172.5,29.44
5.0,0,siren,172.1,28.06
5.1,0,siren,171.7,26.69
5.2,0,siren,171.3,25.32
5.3,0,siren,170.8,23.95
5.4,0,siren,170.2,22.58
5.5,0,siren,169.6,21.21
5.6,0,siren,168.8,19.85
5.7,0,siren,168.0,18.49
5.8,0,siren,167.0,17.14
5.9,0,siren,165.9,15.79
6.0,0,siren,164.6,14.45
6.1,0,siren,163.0,13.12
6.2,0,siren,161.0,11.81
6.3,0,siren,158.5,10.51
6.4,0,siren,155.4,9.24
6.5,0,siren,151.2,8.01
6.6,0,siren,145.6,6.85
6.7,0,siren,137.8,5.78
6.8,0,siren,126.7,4.87
6.9,0,siren,111.3,4.23
7.0,0,siren,92.3,4.00
7.1,0,siren,73.0,4.23
7.2,0,siren,57.1,4.87
7.3,0,siren,45.4,5.78
7.4,0,siren,37.1,6.85
7.5,0,siren,31.1,8.01
7.6,0,siren,26.6,9.24
7.7,0,siren,23.2,10.51
7.8,0,siren,20.6,11.81
7.9,0,siren,18.5,13.12
8.0,0,siren,16.7,14.45
8.1,0,siren,15.3,15.79
8.2,0,siren,14.0,17.14
8.3,0,siren,13.0,18.49
8.4,0,siren,12.1,19.85
8.5,0,siren,11.3,21.21
8.6,0,siren,10.6,22.58
8.7,0,siren,10.0,23.95
8.8,0,siren,9.5,25.32
8.9,0,siren,9.0,26.69
9.0,0,siren,8.5,28.06
9.1,0,siren,8.1,29.44
9.2,0,siren,7.8,30.82
9.3,0,siren,7.4,32.19
9.4,0,siren,7.1,33.57
9.5,0,siren,6.8,34.95
9.6,0,siren,6.6,36.33
9.7,0,siren,6.3,37.71
9.8,0,siren,6.1,39.09
9.9,0,siren,5.9,40.48
