t_s,class,az_deg,dist_m
0.8,siren,-2,
0.9,siren,-2,
1.0,siren,-2,
1.1,siren,-2,
1.2,siren,-2,
1.3,siren,-2,
1.4,siren,-2,
1.5,siren,-2,
1.6,siren,-2,
1.7,siren,-2,
1.8,siren,-2,
1.9,siren,-2,
2.0,siren,-2,
2.1,siren,-2,
2.2,siren,-2,
2.3,siren,-2,
2.4,siren,-2,
2.5,siren,-2,
2.6,siren,-2,
2.7,siren,-2,
2.8,siren,-2,
2.9,siren,-2,
3.0,siren,-2,
3.1,siren,-2,
3.2,siren,-2,
3.3,siren,-2,
3.4,siren,-2,
3.5,siren,-2,
3.6,siren,-2,
3.7,siren,-2,
3.8,siren,-2,
3.9,siren,-2,
4.0,siren,-2,
4.1,siren,-2,
4.2,siren,-2,
4.3,siren,-2,
4.4,siren,-2,
4.5,siren,-2,
4.6,siren,-2,
4.7,siren,-2,
4.8,siren,-2,
4.9,siren,-2,
5.0,siren,-2,
5.1,siren,-2,
5.2,siren,-2,
5.3,siren,-2,
5.4,siren,-2,
5.5,siren,-2,
5.6,siren,-2,
5.7,siren,-3,
5.8,siren,-3,
5.9,siren,-3,
6.0,siren,-3,
6.1,siren,-3,
6.2,siren,-3,
6.3,siren,-3,
6.4,siren,-3,
6.5,siren,-3,
6.6,siren,-3,
6.7,siren,-3,
6.8,siren,-3,
6.9,siren,-3,
7.0,siren,-3,
7.1,siren,-3,
7.2,siren,-3,
7.3,siren,-3,
7.4,siren,-3,
7.5,siren,-3,
7.6,siren,-3,
7.7,siren,-3,
7.8,siren,-3,
7.9,siren,-3,
8.0,siren,-3,
8.1,siren,-3,
8.2,siren,-3,
8.3,siren,-3,
8.4,siren,-4,
8.5,siren,-4,
8.6,siren,-4,
8.7,siren,-4,
8.8,siren,-4,
8.9,siren,-4,
9.0,siren,-4,
9.1,siren,-4,
9.2,siren,-4,
9.3,siren,-4,
9.4,siren,-4,
9.5,siren,-4,
9.6,siren,-4,
9.7,siren,-4,
9.8,siren,-4,
9.9,siren,-5,
10.0,siren,-5,
# オラクル（検出=GT系列）。モデル出力ではない
