t_s,obj,class,az_deg,dist_m
0.7,0,siren,-1.7,198.70
0.8,0,siren,-1.7,197.31
0.9,0,siren,-1.7,195.93
1.0,0,siren,-1.7,194.54
1.1,0,siren,-1.7,193.15
1.2,0,siren,-1.7,191.76
1.3,0,siren,-1.7,190.37
1.4,0,siren,-1.7,188.98
1.5,0,siren,-1.8,187.60
1.6,0,siren,-1.8,186.21
1.7,0,siren,-1.8,184.82
1.8,0,siren,-1.8,183.43
1.9,0,siren,-1.8,182.04
2.0,0,siren,-1.8,180.66
2.1,0,siren,-1.8,179.27
2.2,0,siren,-1.9,177.88
2.3,0,siren,-1.9,176.49
2.4,0,siren,-1.9,175.10
2.5,0,siren,-1.9,173.71
2.6,0,siren,-1.9,172.33
2.7,0,siren,-1.9,170.94
2.8,0,siren,-1.9,169.55
2.9,0,siren,-2.0,168.16
3.0,0,siren,-2.0,166.77
3.1,0,siren,-2.0,165.39
3.2,0,siren,-2.0,164.00
3.3,0,siren,-2.0,162.61
3.4,0,siren,-2.0,161.22
3.5,0,siren,-2.1,159.83
3.6,0,siren,-2.1,158.45
3.7,0,siren,-2.1,157.06
3.8,0,siren,-2.1,155.67
3.9,0,siren,-2.1,154.28
4.0,0,siren,-2.2,152.90
4.1,0,siren,-2.2,151.51
4.2,0,siren,-2.2,150.12
4.3,0,siren,-2.2,148.73
4.4,0,siren,-2.2,147.34
4.5,0,siren,-2.3,145.96
4.6,0,siren,-2.3,144.57
4.7,0,siren,-2.3,143.18
4.8,0,siren,-2.3,141.79
4.9,0,siren,-2.4,140.41
5.0,0,siren,-2.4,139.02
5.1,0,siren,-2.4,137.63
5.2,0,siren,-2.4,136.24
5.3,0,siren,-2.4,134.86
5.4,0,siren,-2.5,133.47
5.5,0,siren,-2.5,132.08
5.6,0,siren,-2.5,130.69
5.7,0,siren,-2.6,129.31
5.8,0,siren,-2.6,127.92
5.9,0,siren,-2.6,126.53
6.0,0,siren,-2.6,125.14
6.1,0,siren,-2.7,123.76
6.2,0,siren,-2.7,122.37
6.3,0,siren,-2.7,120.98
6.4,0,siren,-2.8,119.60
6.5,0,siren,-2.8,118.21
6.6,0,siren,-2.8,116.82
6.7,0,siren,-2.9,115.43
6.8,0,siren,-2.9,114.05
6.9,0,siren,-2.9,112.66
7.0,0,siren,-3.0,111.27
7.1,0,siren,-3.0,109.89
7.2,0,siren,-3.0,108.50
7.3,0,siren,-3.1,107.11
7.4,0,siren,-3.1,105.73
7.5,0,siren,-3.2,104.34
7.6,0,siren,-3.2,102.95
7.7,0,siren,-3.2,101.57
7.8,0,siren,-3.3,100.18
7.9,0,siren,-3.3,98.79
8.0,0,siren,-3.4,97.41
8.1,0,siren,-3.4,96.02
8.2,0,siren,-3.5,94.63
8.3,0,siren,-3.5,93.25
8.4,0,siren,-3.6,91.86
8.5,0,siren,-3.6,90.48
8.6,0,siren,-3.7,89.09
8.7,0,siren,-3.8,87.71
8.8,0,siren,-3.8,86.32
8.9,0,siren,-3.9,84.93
9.0,0,siren,-4.0,83.55
9.1,0,siren,-4.0,82.16
9.2,0,siren,-4.1,80.78
9.3,0,siren,-4.2,79.39
9.4,0,siren,-4.2,78.01
9.5,0,siren,-4.3,76.62
9.6,0,siren,-4.4,75.24
9.7,0,siren,-4.5,73.86
9.8,0,siren,-4.6,72.47
9.9,0,siren,-4.6,71.09
