t_s,class,az_deg,dist_m
0.2,car,177,2.89
0.3,car,175,2.40
0.4,car,176,4.93
0.4,car,7,4.99
0.5,car,179,20.51
0.6,car,-179,20.13
0.6,car,9,20.50
0.7,car,177,22.65
0.7,car,9,23.90
0.8,car,-178,31.57
0.8,car,17,33.59
0.9,car,-178,35.02
0.9,car,8,37.41
1.0,car,179,34.37
1.0,car,7,36.17
1.1,car,-178,34.02
1.1,car,10,35.79
1.2,car,-179,34.47
1.2,car,10,36.84
1.3,car,-179,33.28
1.3,car,9,37.18
1.4,car,-169,29.21
1.4,car,172,34.99
1.4,car,10,35.41
1.5,car,-170,31.95
1.5,car,172,36.67
1.5,car,12,37.50
1.6,car,-165,30.50
1.6,car,169,35.23
1.6,car,10,35.00
1.7,car,-159,29.62
1.7,car,167,34.61
1.7,car,10,33.65
1.8,car,-153,30.32
1.8,car,169,35.03
1.8,car,13,32.05
1.9,car,-147,27.99
1.9,car,166,33.48
1.9,car,13,30.05
2.0,car,-139,26.25
2.0,car,165,31.45
2.0,car,14,28.74
2.1,car,-139,24.42
2.1,car,164,30.82
2.1,car,15,27.80
2.2,car,-135,22.60
2.2,car,162,29.93
2.2,car,15,26.56
2.3,car,-137,22.55
2.3,car,161,29.20
2.3,car,16,25.03
2.4,car,-145,21.95
2.4,car,162,28.29
2.4,car,16,24.19
2.5,car,-142,21.28
2.5,car,163,27.94
2.5,car,18,23.74
2.6,car,-143,20.96
2.6,car,163,26.76
2.6,car,18,23.83
2.7,car,-142,18.60
2.7,car,163,25.41
2.7,car,22,23.31
2.8,car,-137,18.17
2.8,car,161,26.22
2.8,car,21,22.66
2.9,car,-133,16.25
2.9,car,161,21.44
2.9,car,25,21.91
3.0,car,-134,15.81
3.0,car,160,22.11
3.0,car,24,22.11
3.1,car,-133,14.52
3.1,car,159,20.06
3.1,car,29,21.63
3.2,car,-133,14.33
3.2,car,158,19.29
3.2,car,28,21.41
3.3,car,-127,13.51
3.3,car,158,19.34
3.3,car,26,21.11
3.4,car,-126,13.16
3.4,car,156,18.15
3.4,car,27,19.96
3.5,car,-124,12.09
3.5,car,155,17.74
3.5,car,29,19.27
3.6,car,-122,11.51
3.6,car,153,17.20
3.6,car,30,19.70
3.7,car,-122,11.47
3.7,car,156,15.87
3.7,car,33,18.32
3.8,car,-119,11.28
3.8,car,155,16.78
3.8,car,30,18.76
3.9,car,-117,9.87
