t_s,class,az_deg,dist_m
0.1,crossing,16,
0.2,crossing,17,
0.3,crossing,22,
0.4,car,177,5.24
0.4,crossing,23,
0.5,car,177,15.39
0.5,crossing,22,
0.6,car,179,24.43
0.6,crossing,22,
0.7,car,177,24.20
0.7,crossing,20,
0.8,car,178,31.44
0.8,crossing,24,
0.9,car,179,46.62
0.9,crossing,21,
1.0,car,178,44.34
1.0,crossing,20,
1.1,car,178,43.89
1.1,crossing,23,
1.2,car,179,46.80
1.2,crossing,22,
1.3,car,179,45.86
1.3,crossing,22,
1.4,car,178,46.93
1.4,crossing,23,
1.5,car,179,42.95
1.5,crossing,22,
1.6,car,179,42.98
1.6,crossing,22,
1.7,car,178,44.04
1.7,crossing,24,
1.8,car,179,43.74
1.8,crossing,22,
1.9,car,179,40.42
1.9,crossing,22,
2.0,car,178,42.54
2.0,crossing,22,
2.1,car,179,42.13
2.1,crossing,22,
2.2,car,179,40.90
2.2,crossing,24,
2.3,car,179,40.44
2.3,crossing,22,
2.4,car,179,39.31
2.4,crossing,22,
2.5,car,179,39.18
2.5,crossing,22,
2.6,car,179,39.01
2.6,crossing,24,
2.7,car,179,40.04
2.7,crossing,22,
2.8,car,179,37.31
2.8,crossing,24,
2.9,car,178,37.81
2.9,crossing,23,
3.0,car,179,37.34
3.0,crossing,24,
3.1,car,178,38.02
3.1,crossing,25,
3.2,car,178,36.80
3.2,crossing,24,
3.3,car,178,35.53
3.3,crossing,24,
3.4,car,178,35.55
3.4,crossing,24,
3.5,car,178,35.68
3.5,crossing,25,
3.6,car,177,35.57
3.6,crossing,25,
3.7,car,178,33.27
3.7,crossing,25,
3.8,car,178,32.76
3.8,crossing,26,
3.9,car,178,33.26
3.9,crossing,26,
4.0,car,179,32.98
4.0,crossing,26,
4.1,car,178,32.05
4.1,crossing,27,
4.2,car,179,31.29
4.2,crossing,26,
4.3,car,179,31.57
4.3,crossing,26,
4.4,car,178,31.43
4.4,crossing,27,
4.5,car,178,31.10
4.5,crossing,26,
4.6,car,179,29.78
4.6,crossing,27,
4.7,car,178,29.40
4.7,crossing,26,
4.8,car,178,28.90
4.8,crossing,25,
4.9,car,179,28.23
4.9,crossing,26,
5.0,car,178,27.43
5.0,crossing,26,
5.1,car,178,26.40
5.1,crossing,26,
5.2,car,179,24.91
5.2,crossing,26,
5.3,car,178,23.76
5.3,crossing,27,
5.4,car,179,22.92
5.4,crossing,27,
5.5,car,179,22.15
5.5,crossing,26,
5.6,car,179,21.05
5.6,crossing,27,
5.7,car,179,21.49
5.7,crossing,28,
5.8,car,179,20.62
5.8,crossing,28,
5.9,car,179,20.19
5.9,crossing,28,
6.0,car,178,19.63
6.0,crossing,29,
6.1,car,178,18.91
6.1,crossing,28,
6.2,car,178,17.74
6.2,crossing,30,
6.3,car,178,16.70
6.3,crossing,29,
6.4,car,177,16.35
6.4,crossing,29,
6.5,car,178,15.38
6.5,crossing,29,
6.6,car,178,14.68
6.6,crossing,30,
6.7,car,178,14.27
6.7,crossing,29,
6.8,car,178,13.46
6.8,crossing,29,
6.9,car,177,12.69
6.9,crossing,29,
7.0,car,176,12.34
7.0,crossing,30,
7.1,car,177,11.63
7.1,crossing,30,
7.2,car,176,10.72
7.2,crossing,29,
7.3,car,176,10.03
7.3,crossing,29,
7.4,car,176,9.25
7.4,crossing,30,
7.5,car,176,8.26
7.5,crossing,32,
7.6,car,175,7.85
7.6,crossing,30,
7.7,car,174,7.51
7.7,crossing,30,
7.8,car,174,6.60
7.8,crossing,33,
7.9,car,174,5.73
7.9,crossing,32,
8.0,car,174,5.14
8.0,crossing,29,
8.1,car,172,4.35
8.1,crossing,33,
8.2,car,172,3.67
8.2,crossing,33,
8.3,car,170,2.91
8.3,crossing,33,
8.4,car,168,2.41
8.4,crossing,32,
8.5,car,164,1.71
8.5,crossing,31,
8.6,car,155,1.06
8.6,crossing,35,
8.7,car,134,0.70
8.7,crossing,32,
8.8,car,79,0.67
8.8,crossing,32,
8.9,car,31,0.98
8.9,crossing,34,
9.0,car,18,1.45
9.0,crossing,32,
9.1,car,11,1.99
9.1,crossing,34,
9.2,car,9,2.47
9.2,crossing,32,
9.3,car,6,3.09
9.3,crossing,30,
9.4,car,6,3.60
9.4,crossing,32,
9.5,car,5,4.23
9.5,crossing,32,
9.6,car,4,4.97
9.6,crossing,30,
9.7,car,4,5.42
9.7,crossing,29,
9.8,car,4,5.91
9.8,crossing,29,
9.9,car,4,6.77
9.9,crossing,31,
10.0,car,4,7.68
10.0,crossing,28,
