t_s,class,az_deg,dist_m
0.2,car,178,2.65
0.3,car,177,2.69
0.4,car,176,5.84
0.5,car,177,20.31
0.6,car,178,21.66
0.7,car,-179,24.72
0.8,car,179,35.26
0.9,car,-179,34.60
1.0,car,-178,34.50
1.1,car,-179,32.44
1.2,car,179,32.11
1.3,car,179,32.03
1.4,car,179,31.47
1.5,car,-179,30.14
1.6,car,-178,29.74
1.7,car,-178,28.55
1.8,car,-178,27.70
1.9,car,-177,27.31
2.0,car,-177,27.24
2.1,car,-179,27.41
2.2,car,-178,26.84
2.3,car,-178,26.78
2.4,car,-178,25.88
2.5,car,-177,24.63
2.6,car,-177,24.18
2.7,car,-177,22.64
2.8,car,-176,21.68
2.9,car,-176,21.78
3.0,car,-176,20.20
3.1,car,-177,19.82
3.2,car,-176,19.08
3.3,car,-176,18.24
3.4,car,-176,17.27
3.5,car,-176,16.30
3.6,car,-176,15.86
3.7,car,-177,15.23
3.8,car,-176,14.49
3.9,car,-175,14.11
4.0,car,-175,13.42
4.1,car,-175,13.12
4.2,car,-176,12.76
4.3,car,-175,11.47
4.4,car,-174,11.25
4.5,car,-173,10.71
4.6,car,-173,9.54
4.7,car,-172,8.96
4.8,car,-171,8.17
4.9,car,-171,7.76
5.0,car,-171,7.26
5.1,car,-169,6.34
5.2,car,-168,5.82
5.3,car,-166,5.30
5.4,car,-165,4.98
5.5,car,-164,4.67
5.6,car,-162,3.93
5.7,car,-160,3.56
5.8,car,-158,2.82
5.9,car,-151,2.39
6.0,car,-143,1.86
6.1,car,-130,1.50
6.2,car,-107,1.24
6.3,car,-82,1.26
6.4,car,-55,1.30
6.5,car,-40,1.68
6.6,car,-30,2.04
6.7,car,-24,2.53
6.8,car,-21,2.97
6.9,car,-18,3.27
7.0,car,-16,3.68
7.1,car,-13,4.37
7.2,car,-12,4.83
7.3,car,-11,5.41
7.4,car,-9,5.93
7.5,car,-9,6.43
7.6,car,-8,7.22
7.7,car,-8,7.87
7.8,car,-7,7.94
7.9,car,-7,8.64
8.0,car,-6,9.05
8.1,car,-6,9.79
8.2,car,-5,10.37
8.3,car,-5,11.02
8.4,car,-5,11.72
8.5,car,-5,11.82
8.6,car,-4,12.60
8.7,car,-4,12.94
8.8,car,-5,13.49
8.9,car,-4,14.27
9.0,car,-4,14.29
9.1,car,-4,14.94
9.2,car,-4,16.15
9.3,car,-4,16.74
9.4,car,-4,17.01
9.5,car,-3,17.89
9.6,car,-4,18.61
9.7,car,-4,19.01
9.8,car,-3,19.46
9.9,car,-2,19.83
10.0,car,-3,20.36
