t_s,obj,class,az_deg,dist_m,vis
0.1,4_0,car,-1.6,31.63,1
0.2,4_0,car,-1.6,31.27,1
0.3,4_0,car,-1.7,30.91,1
0.4,4_0,car,-1.7,30.55,1
0.5,4_0,car,-1.7,30.19,1
0.6,4_0,car,-1.7,29.83,1
0.7,4_0,car,-1.7,29.47,1
0.8,4_0,car,-1.8,29.11,1
0.9,4_0,car,-1.8,28.75,1
1.0,4_0,car,-1.8,28.39,1
1.1,4_0,car,-1.8,28.03,1
1.2,4_0,car,-1.8,27.67,1
1.3,4_0,car,-1.9,27.31,1
1.4,4_0,car,-1.9,26.95,1
1.5,4_0,car,-1.9,26.59,1
1.6,4_0,car,-1.9,26.23,1
1.7,4_0,car,-2.0,25.87,1
1.8,4_0,car,-2.0,25.51,1
1.9,4_0,car,-2.0,25.15,1
2.0,4_0,car,-2.1,24.79,1
2.1,4_0,car,-2.1,24.43,1
2.2,4_0,car,-2.1,24.07,1
2.3,4_0,car,-2.2,23.71,1
2.4,4_0,car,-2.2,23.35,1
2.5,4_0,car,-2.2,22.99,1
2.6,4_0,car,-2.3,22.63,1
2.7,4_0,car,-2.3,22.27,1
2.8,4_0,car,-2.3,21.91,1
2.9,4_0,car,-2.4,21.55,1
3.0,4_0,car,-2.4,21.19,1
3.1,4_0,car,-2.5,20.83,1
3.2,4_0,car,-2.5,20.47,1
3.3,4_0,car,-2.5,20.11,1
3.4,4_0,car,-2.6,19.75,1
3.5,4_0,car,-2.6,19.39,1
3.6,4_0,car,-2.7,19.03,1
3.7,4_0,car,-2.7,18.67,1
3.8,4_0,car,-2.8,18.31,1
3.9,4_0,car,-2.8,17.95,1
4.0,4_0,car,-2.9,17.59,1
4.1,4_0,car,-3.0,17.24,1
4.2,4_0,car,-3.0,16.88,1
4.3,4_0,car,-3.1,16.52,1
4.4,4_0,car,-3.2,16.16,1
4.5,4_0,car,-3.2,15.80,1
4.6,4_0,car,-3.3,15.44,1
4.7,4_0,car,-3.4,15.08,1
4.8,4_0,car,-3.5,14.72,1
4.9,4_0,car,-3.6,14.36,1
5.0,4_0,car,-3.7,14.00,1
5.1,4_0,car,-3.7,13.64,1
5.2,4_0,car,-3.8,13.28,1
5.3,4_0,car,-4.0,12.92,1
5.4,4_0,car,-4.1,12.56,1
5.5,4_0,car,-4.2,12.20,1
5.6,4_0,car,-4.3,11.84,1
5.7,4_0,car,-4.5,11.49,1
5.8,4_0,car,-4.6,11.13,1
5.9,4_0,car,-4.8,10.77,1
6.0,4_0,car,-4.9,10.41,1
6.1,4_0,car,-5.1,10.05,1
6.2,4_0,car,-5.3,9.69,1
6.3,4_0,car,-5.5,9.33,1
6.4,4_0,car,-5.7,8.98,1
6.5,4_0,car,-5.9,8.62,1
6.6,4_0,car,-6.2,8.26,1
6.7,4_0,car,-6.5,7.90,1
6.8,4_0,car,-6.8,7.54,1
6.9,4_0,car,-7.1,7.19,1
7.0,4_0,car,-7.5,6.83,1
7.1,4_0,car,-7.9,6.47,1
7.2,4_0,car,-8.4,6.12,1
7.3,4_0,car,-8.9,5.76,1
7.4,4_0,car,-9.5,5.41,1
7.5,4_0,car,-10.2,5.06,1
7.6,4_0,car,-11.0,4.70,1
7.7,4_0,car,-11.9,4.35,1
7.8,4_0,car,-12.9,4.00,1
7.9,4_0,car,-14.2,3.65,1
8.0,4_0,car,-15.8,3.31,1
8.1,4_0,car,-17.7,2.97,1
8.2,4_0,car,-20.1,2.63,1
8.3,4_0,car,-23.2,2.30,1
8.4,4_0,car,-27.4,1.98,1
8.5,4_0,car,-33.3,1.68,1
8.6,4_0,car,-41.7,1.41,1
8.7,4_0,car,-54.3,1.18,1
8.8,4_0,car,-72.4,1.04,1
8.9,4_0,car,-94.7,1.00,1
9.0,4_0,car,-115.6,1.10,1
9.1,4_0,car,-131.2,1.29,1
9.2,4_0,car,-141.8,1.54,1
9.3,4_0,car,-149.0,1.83,1
9.4,4_0,car,-154.1,2.14,1
9.5,4_0,car,-157.8,2.46,1
9.6,4_0,car,-160.6,2.79,1
9.7,4_0,car,-162.8,3.13,1
9.8,4_0,car,-164.6,3.48,1
9.9,4_0,car,-166.0,3.82,1
0.1,4_1,car,-1.8,22.60,1
0.2,4_1,car,-1.9,22.03,1
