t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,0.000,0
0.7,0.000,0
0.8,0.000,0
0.9,0.000,0
1.0,0.000,0
1.1,0.000,0
1.2,0.000,0
1.3,0.000,0
1.4,0.000,0
1.5,0.000,0
1.6,0.000,0
1.7,0.000,0
1.8,0.563,-3
1.9,0.000,0
2.0,1.000,-3
2.1,1.000,-3
2.2,1.000,-5
2.3,1.000,-5
2.4,0.000,0
2.5,0.000,0
2.6,1.000,-7
2.7,1.000,-7
2.8,1.000,-6
2.9,1.000,-6
3.0,0.000,0
3.1,1.000,-8
3.2,1.000,-8
3.3,1.000,-9
3.4,1.000,-10
3.5,1.000,-11
3.6,1.000,-11
3.7,1.000,-14
3.8,1.000,-18
3.9,1.000,-24
4.0,1.000,-43
4.1,1.000,-76
4.2,1.000,-120
4.3,0.000,0
4.4,0.000,0
4.5,0.000,0
4.6,0.000,0
4.7,0.000,0
4.8,0.000,0
4.9,0.000,0
5.0,0.000,0
5.1,0.000,0
5.2,0.000,0
5.3,0.000,0
5.4,0.000,0
5.5,0.000,0
5.6,0.000,0
5.7,0.000,0
5.8,0.000,0
5.9,0.000,0
6.0,0.000,0
6.1,0.000,0
6.2,0.000,0
6.3,0.000,0
6.4,0.000,0
6.5,0.000,0
6.6,0.000,0
6.7,1.000,129
6.8,1.000,121
6.9,0.704,110
7.0,0.000,0
7.1,0.000,0
7.2,0.000,0
7.3,0.000,0
7.4,0.000,0
7.5,0.000,0
7.6,0.000,0
7.7,0.000,0
7.8,0.000,0
7.9,0.000,0
8.0,0.000,0
8.1,0.000,0
8.2,0.000,0
8.3,1.000,7
8.4,0.000,0
8.5,0.000,0
8.6,1.000,-47
8.7,1.000,-58
8.8,1.000,-64
8.9,1.000,-85
9.0,1.000,-107
9.1,1.000,-123
9.2,1.000,-131
9.3,0.000,0
9.4,0.000,0
9.5,0.000,0
9.6,0.000,0
9.7,0.000,0
9.8,0.000,0
9.9,0.000,0
10.0,0.000,0
