t_s,obj,class,az_deg,dist_m,vis
0.2,4_0,car,13.3,55.17,1
0.3,4_0,car,13.5,54.24,1
0.4,4_0,car,13.7,53.30,1
0.5,4_0,car,14.0,52.36,1
0.6,4_0,car,14.3,51.43,1
0.7,4_0,car,14.5,50.50,1
0.8,4_0,car,14.8,49.56,1
0.9,4_0,car,15.1,48.63,1
1.0,4_0,car,15.4,47.70,1
1.1,4_0,car,15.7,46.77,1
1.2,4_0,car,16.0,45.85,1
1.3,4_0,car,16.4,44.92,1
1.4,4_0,car,16.7,44.00,1
1.5,4_0,car,17.1,43.08,1
1.6,4_0,car,17.5,42.16,1
1.7,4_0,car,17.9,41.24,1
1.8,4_0,car,18.3,40.33,1
1.9,4_0,car,18.8,39.41,1
2.0,4_0,car,19.2,38.50,1
2.1,4_0,car,19.7,37.60,1
2.2,4_0,car,20.2,36.69,1
2.3,4_0,car,20.7,35.79,1
2.4,4_0,car,21.3,34.89,1
2.5,4_0,car,21.9,34.00,1
2.6,4_0,car,22.5,33.11,1
2.7,4_0,car,23.2,32.22,1
2.8,4_0,car,23.9,31.34,1
2.9,4_0,car,24.6,30.47,1
3.0,4_0,car,25.4,29.59,1
3.1,4_0,car,26.2,28.73,1
3.2,4_0,car,27.1,27.87,1
3.3,4_0,car,28.0,27.02,1
3.4,4_0,car,29.0,26.18,1
3.5,4_0,car,30.1,25.35,1
3.6,4_0,car,31.2,24.52,1
3.7,4_0,car,32.4,23.71,1
3.8,4_0,car,33.7,22.91,1
3.9,4_0,car,35.1,22.12,1
4.0,4_0,car,36.6,21.34,1
4.1,4_0,car,38.2,20.59,1
4.2,4_0,car,39.9,19.85,1
4.3,4_0,car,41.8,19.13,1
4.4,4_0,car,43.8,18.43,1
4.5,4_0,car,45.9,17.76,1
4.6,4_0,car,48.3,17.11,1
4.7,4_0,car,50.8,16.50,1
4.8,4_0,car,53.4,15.92,1
4.9,4_0,car,56.3,15.38,1
5.0,4_0,car,59.4,14.89,1
5.1,4_0,car,62.7,14.44,1
5.2,4_0,car,66.3,14.04,1
5.3,4_0,car,70.0,13.71,1
5.4,4_0,car,73.8,13.43,1
5.5,4_0,car,77.9,13.21,1
5.6,4_0,car,82.0,13.07,1
5.7,4_0,car,86.2,12.99,1
5.8,4_0,car,90.5,12.99,1
5.9,4_0,car,94.7,13.06,1
6.0,4_0,car,98.9,13.20,1
6.1,4_0,car,103.0,13.40,1
6.2,4_0,car,107.0,13.68,1
6.3,4_0,car,110.7,14.01,1
6.4,4_0,car,114.3,14.40,1
6.5,4_0,car,117.7,14.84,1
6.6,4_0,car,120.9,15.33,1
6.7,4_0,car,123.9,15.87,1
6.8,4_0,car,126.7,16.44,1
6.9,4_0,car,129.3,17.05,1
7.0,4_0,car,131.8,17.69,1
7.1,4_0,car,134.0,18.36,1
7.2,4_0,car,136.1,19.06,1
7.3,4_0,car,138.0,19.77,1
7.4,4_0,car,139.8,20.51,1
7.5,4_0,car,141.5,21.27,1
7.6,4_0,car,143.1,22.04,1
7.7,4_0,car,144.5,22.83,1
7.8,4_0,car,145.9,23.63,1
7.9,4_0,car,147.2,24.44,1
8.0,4_0,car,148.4,25.26,1
8.1,4_0,car,149.5,26.10,1
8.2,4_0,car,150.5,26.94,1
8.3,4_0,car,151.5,27.79,1
8.4,4_0,car,152.4,28.64,1
8.5,4_0,car,153.3,29.51,1
8.6,4_0,car,154.1,30.38,1
8.7,4_0,car,154.9,31.25,1
8.8,4_0,car,155.6,32.13,1
8.9,4_0,car,156.3,33.02,1
9.0,4_0,car,157.0,33.91,1
9.1,4_0,car,157.6,34.80,1
9.2,4_0,car,158.2,35.70,1
9.3,4_0,car,158.7,36.60,1
9.4,4_0,car,159.3,37.51,1
9.5,4_0,car,159.8,38.41,1
9.6,4_0,car,160.3,39.32,1
9.7,4_0,car,160.7,40.23,1
9.8,4_0,car,161.2,41.15,1
9.9,4_0,car,161.6,42.07,1
0.2,4_1,car,-164.7,34.61,1
0.3,4_1,car,-164.4,33.84,1
0.4,4_1,car,-164.0,33.08,1
0.5,4_1,car,-163.6,32.33,1
0.6,4_1,car,-163.2,31.57,1
0.7,4_1,car,-162.8,30.81,1
0.8,4_1,car,-162.3,30.06,1
0.9,4_1,car,-161.9,29.31,1
1.0,4_1,car,-161.4,28.56,1
1.1,4_1,car,-160.8,27.81,1
1.2,4_1,car,-160.3,27.07,1
1.3,4_1,car,-159.7,26.33,1
1.4,4_1,car,-159.1,25.59,1
1.5,4_1,car,-158.4,24.85,1
1.6,4_1,car,-157.7,24.12,1
1.7,4_1,car,-157.0,23.39,1
1.8,4_1,car,-156.2,22.67,1
1.9,4_1,car,-155.4,21.95,1
2.0,4_1,car,-154.5,21.24,1
2.1,4_1,car,-153.6,20.53,1
2.2,4_1,car,-152.5,19.83,1
2.3,4_1,car,-151.4,19.13,1
2.4,4_1,car,-150.3,18.45,1
2.5,4_1,car,-149.0,17.77,1
2.6,4_1,car,-147.6,17.10,1
2.7,4_1,car,-146.2,16.44,1
2.8,4_1,car,-144.6,15.80,1
2.9,4_1,car,-142.8,15.17,1
3.0,4_1,car,-140.9,14.55,1
3.1,4_1,car,-138.9,13.96,1
3.2,4_1,car,-136.6,13.38,1
3.3,4_1,car,-134.2,12.83,1
3.4,4_1,car,-131.6,12.30,1
3.5,4_1,car,-128.7,11.80,1
3.6,4_1,car,-125.6,11.34,1
3.7,4_1,car,-122.2,10.91,1
3.8,4_1,car,-118.5,10.53,1
3.9,4_1,car,-114.6,10.19,1
4.0,4_1,car,-110.4,9.91,1
4.1,4_1,car,-106.0,9.68,1
4.2,4_1,car,-101.4,9.51,1
4.3,4_1,car,-96.7,9.41,1
4.4,4_1,car,-91.8,9.37,1
4.5,4_1,car,-87.0,9.40,1
4.6,4_1,car,-82.2,9.49,1
4.7,4_1,car,-77.5,9.65,1
4.8,4_1,car,-73.0,9.87,1
4.9,4_1,car,-68.7,10.15,1
5.0,4_1,car,-64.7,10.48,1
5.1,4_1,car,-60.9,10.86,1
5.2,4_1,car,-57.4,11.28,1
5.3,4_1,car,-54.1,11.74,1
5.4,4_1,car,-51.1,12.23,1
5.5,4_1,car,-48.3,12.76,1
5.6,4_1,car,-45.8,13.31,1
5.7,4_1,car,-43.4,13.88,1
5.8,4_1,car,-41.3,14.47,1
5.9,4_1,car,-39.3,15.09,1
6.0,4_1,car,-37.5,15.72,1
6.1,4_1,car,-35.8,16.36,1
6.2,4_1,car,-34.2,17.01,1
6.3,4_1,car,-32.8,17.68,1
6.4,4_1,car,-31.4,18.36,1
6.5,4_1,car,-30.2,19.04,1
6.6,4_1,car,-29.0,19.73,1
6.7,4_1,car,-28.0,20.44,1
6.8,4_1,car,-27.0,21.14,1
6.9,4_1,car,-26.0,21.85,1
7.0,4_1,car,-25.1,22.57,1
7.1,4_1,car,-24.3,23.30,1
7.2,4_1,car,-23.5,24.02,1
7.3,4_1,car,-22.8,24.75,1
7.4,4_1,car,-22.1,25.49,1
7.5,4_1,car,-21.5,26.23,1
7.6,4_1,car,-20.8,26.97,1
7.7,4_1,car,-20.3,27.71,1
7.8,4_1,car,-19.7,28.46,1
7.9,4_1,car,-19.2,29.21,1
8.0,4_1,car,-18.7,29.96,1
8.1,4_1,car,-18.2,30.71,1
8.2,4_1,car,-17.8,31.47,1
8.3,4_1,car,-17.3,32.22,1
8.4,4_1,car,-16.9,32.98,1
8.5,4_1,car,-16.5,33.74,1
8.6,4_1,car,-16.2,34.50,1
8.7,4_1,car,-15.8,35.27,1
8.8,4_1,car,-15.5,36.03,1
