t_s,class,az_deg,dist_m
3.3,car,167,5.20
3.5,car,162,7.88
3.6,car,162,10.09
3.7,car,163,11.96
3.8,car,156,15.13
3.9,car,162,17.52
4.0,car,159,18.90
4.1,car,159,18.43
4.2,car,156,18.01
4.3,car,157,17.02
4.4,car,157,15.88
4.5,car,153,14.40
4.6,car,154,12.97
4.7,car,154,12.54
4.8,car,153,12.16
4.9,car,148,12.09
5.0,car,148,10.57
5.1,car,147,10.95
5.2,car,142,10.06
5.3,car,140,9.92
5.4,car,134,8.52
5.5,car,131,8.49
5.6,car,124,8.28
5.7,car,116,7.59
5.8,car,111,7.00
5.9,car,106,7.22
6.0,car,100,6.90
6.1,car,95,6.99
6.2,car,92,7.52
6.3,car,88,7.73
6.4,car,86,8.22
6.5,car,85,9.13
6.6,car,81,9.56
6.7,car,79,9.49
6.8,car,76,10.01
6.9,car,73,9.97
7.0,car,69,10.24
7.1,car,68,10.75
7.2,car,64,10.52
7.3,car,60,10.75
7.4,car,56,11.15
7.5,car,54,12.22
7.6,car,53,12.15
7.7,car,49,12.46
7.8,car,48,13.02
7.9,car,46,13.70
8.0,car,44,12.02
8.1,car,44,12.66
8.2,car,41,12.46
8.3,car,43,11.34
8.4,car,43,9.49
8.5,car,39,12.48
8.6,car,42,6.20
8.7,car,40,9.78
8.8,car,38,8.66
