t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,174.5,42.38,1
0.3,0,car,174.3,41.67,1
0.4,0,car,174.2,40.97,1
0.5,0,car,174.0,40.26,1
0.6,0,car,173.8,39.56,1
0.7,0,car,173.7,38.85,1
0.8,0,car,173.5,38.15,1
0.9,0,car,173.3,37.45,1
1.0,0,car,173.1,36.74,1
1.1,0,car,173.0,36.04,1
1.2,0,car,172.8,35.34,1
1.3,0,car,172.5,34.63,1
1.4,0,car,172.3,33.93,1
1.5,0,car,172.1,33.23,1
1.6,0,car,171.9,32.53,1
1.7,0,car,171.6,31.83,1
1.8,0,car,171.4,31.13,1
1.9,0,car,171.1,30.43,1
2.0,0,car,170.8,29.74,1
2.1,0,car,170.5,29.04,1
2.2,0,car,170.2,28.34,1
2.3,0,car,169.9,27.65,1
2.4,0,car,169.5,26.95,1
2.5,0,car,169.2,26.26,1
2.6,0,car,168.8,25.57,1
2.7,0,car,168.4,24.88,1
2.8,0,car,168.0,24.19,1
2.9,0,car,167.5,23.50,1
3.0,0,car,167.1,22.81,1
3.1,0,car,166.6,22.13,1
3.2,0,car,166.0,21.45,1
3.3,0,car,165.4,20.77,1
3.4,0,car,164.8,20.09,1
3.5,0,car,164.2,19.41,1
3.6,0,car,163.5,18.74,1
3.7,0,car,162.7,18.07,1
3.8,0,car,161.9,17.40,1
3.9,0,car,161.0,16.74,1
4.0,0,car,160.1,16.08,1
4.1,0,car,159.1,15.43,1
4.2,0,car,157.9,14.78,1
4.3,0,car,156.7,14.14,1
4.4,0,car,155.4,13.50,1
4.5,0,car,154.0,12.87,1
4.6,0,car,152.4,12.25,1
4.7,0,car,150.7,11.64,1
4.8,0,car,148.7,11.05,1
4.9,0,car,146.5,10.47,1
5.0,0,car,144.2,9.89,1
5.1,0,car,141.6,9.34,1
5.2,0,car,138.6,8.80,1
5.3,0,car,135.3,8.29,1
5.4,0,car,131.6,7.82,1
5.5,0,car,127.4,7.38,1
5.6,0,car,122.7,6.99,1
5.7,0,car,117.5,6.66,1
5.8,0,car,111.7,6.38,1
5.9,0,car,105.5,6.18,1
6.0,0,car,98.9,6.05,1
6.1,0,car,94.6,6.64,1
6.2,0,car,91.7,7.34,1
6.3,0,car,89.3,8.05,1
6.4,0,car,87.4,8.78,1
6.5,0,car,85.2,9.37,1
6.6,0,car,81.6,9.59,1
6.7,0,car,77.6,9.85,1
6.8,0,car,73.9,10.15,1
6.9,0,car,70.4,10.49,1
7.0,0,car,67.1,10.87,1
7.1,0,car,64.0,11.29,1
7.2,0,car,61.2,11.73,1
7.3,0,car,58.5,12.19,1
7.4,0,car,56.1,12.69,1
7.5,0,car,53.9,13.20,1
7.6,0,car,51.8,13.73,1
7.7,0,car,49.8,14.27,1
7.8,0,car,48.1,14.83,1
7.9,0,car,46.4,15.41,1
8.0,0,car,44.9,15.99,1
8.1,0,car,43.4,16.59,1
8.2,0,car,42.1,17.19,1
8.3,0,car,40.9,17.80,1
8.4,0,car,39.7,18.42,1
8.5,0,car,38.7,19.05,1
8.6,0,car,37.6,19.68,1
8.7,0,car,36.7,20.32,1
8.8,0,car,35.8,20.96,1
8.9,0,car,35.0,21.61,1
9.0,0,car,34.2,22.26,1
9.1,0,car,33.4,22.92,1
9.2,0,car,32.7,23.58,1
9.3,0,car,32.1,24.24,1
9.4,0,car,31.5,24.90,1
9.5,0,car,30.9,25.57,1
9.6,0,car,30.3,26.24,1
9.7,0,car,29.8,26.91,1
9.8,0,car,29.2,27.59,1
9.9,0,car,28.8,28.27,1
