t_s,class,az_deg,dist_m
1.8,car,71,2.18
1.9,car,64,5.74
2.0,car,65,4.62
2.1,car,65,3.66
2.2,car,64,5.47
2.3,car,65,4.46
2.4,car,59,11.60
2.5,car,62,7.17
2.6,car,59,12.37
2.7,car,60,9.64
2.8,car,59,10.79
2.9,car,56,16.13
3.0,car,55,16.88
3.1,car,53,15.54
3.2,car,52,14.76
3.3,car,48,13.64
3.4,car,50,12.48
3.5,car,52,12.23
3.6,car,50,11.69
3.7,car,49,10.99
3.8,car,46,10.36
3.9,car,46,9.87
4.0,car,46,9.60
4.1,car,45,8.32
4.2,car,39,7.20
4.3,car,36,7.16
4.4,car,34,6.09
4.5,car,31,5.54
4.6,car,29,5.28
4.7,car,24,5.30
4.8,car,21,4.71
4.9,car,15,5.45
5.0,car,5,5.28
5.1,car,0,4.52
5.2,car,-13,4.28
5.3,car,-35,3.32
5.4,car,-40,4.07
5.5,car,-53,3.73
5.6,car,-61,3.95
5.7,car,-64,4.69
5.8,car,-71,5.31
5.9,car,-74,4.64
6.0,car,-76,5.18
6.1,car,-88,2.52
6.2,car,-79,4.61
6.3,car,-88,1.68
6.4,car,-81,4.23
6.5,car,-85,3.82
6.6,car,-82,4.93
6.7,car,-78,7.63
6.7,car,-57,7.34
6.8,car,-82,4.61
6.9,car,-79,10.48
6.9,car,-52,9.99
7.0,car,-73,10.35
7.0,car,46,11.70
7.1,car,-75,7.43
7.2,car,36,10.67
7.3,car,45,14.30
7.4,car,52,12.91
7.5,car,53,10.73
7.6,car,54,10.90
7.6,car,51,10.67
7.7,car,48,9.78
7.8,car,44,9.06
7.9,car,41,8.29
8.0,car,35,6.86
8.1,car,30,6.23
8.2,car,26,5.34
8.3,car,29,4.38
8.4,car,39,3.32
8.5,car,65,2.71
8.6,car,102,2.78
8.7,car,130,3.08
8.8,car,152,4.09
8.9,car,156,3.74
8.9,car,179,6.87
9.0,car,165,4.87
9.1,car,173,5.23
9.2,car,175,5.23
9.3,car,176,3.76
9.4,car,177,5.67
9.5,car,178,5.78
9.6,car,-179,7.26
9.7,car,-179,7.86
9.8,car,-178,8.36
9.9,car,-177,6.09
10.0,car,-174,7.25
