t_s,class,az_deg,dist_m
0.3,car,-95,33.71
0.4,car,-95,33.03
0.5,car,-95,32.35
0.6,car,-95,31.67
0.7,car,-95,30.99
0.8,car,-96,30.31
0.9,car,-96,29.63
1.0,car,-96,28.96
1.1,car,-96,28.28
1.2,car,-96,27.60
1.3,car,-96,26.92
1.4,car,-96,26.24
1.5,car,-96,25.56
1.6,car,-96,24.88
1.7,car,-96,24.21
1.8,car,-97,23.53
1.9,car,-97,22.85
2.0,car,-97,22.17
2.1,car,-97,21.49
2.2,car,-97,20.82
2.3,car,-97,20.14
2.4,car,-98,19.46
2.5,car,-98,18.79
2.6,car,-98,18.11
2.7,car,-98,17.43
2.8,car,-98,16.76
2.9,car,-99,16.08
3.0,car,-99,15.41
3.1,car,-99,14.73
3.2,car,-100,14.06
3.3,car,-100,13.42
3.4,car,-100,12.79
3.5,car,-101,12.18
3.6,car,-101,11.59
3.7,car,-102,11.02
3.8,car,-102,10.47
3.9,car,-103,9.94
4.0,car,-103,9.42
4.1,car,-104,8.93
4.2,car,-105,8.45
4.3,car,-105,8.00
4.4,car,-106,7.56
4.5,car,-107,7.14
4.6,car,-108,6.75
4.7,car,-110,6.37
4.8,car,-111,6.02
4.9,car,-113,5.69
5.0,car,-114,5.38
5.1,car,-116,5.10
5.2,car,-118,4.83
5.3,car,-121,4.56
5.4,car,-123,4.29
5.5,car,-126,4.04
5.6,car,-129,3.79
5.7,car,-133,3.56
5.8,car,-138,3.34
5.9,car,-143,3.14
6.0,car,-148,2.97
6.1,car,-155,2.83
6.2,car,-162,2.72
6.3,car,-169,2.66
6.4,car,-177,2.65
6.5,car,175,2.68
6.6,car,167,2.77
6.7,car,160,2.89
6.8,car,154,3.06
6.9,car,148,3.27
7.0,car,143,3.51
7.1,car,138,3.77
7.2,car,135,4.05
7.3,car,131,4.35
7.4,car,128,4.67
7.5,car,125,5.00
7.6,car,123,5.34
7.7,car,121,5.69
7.8,car,119,6.06
7.9,car,117,6.42
8.0,car,116,6.77
8.1,car,114,7.06
8.2,car,112,7.37
8.3,car,110,7.68
8.4,car,108,8.00
8.5,car,107,8.34
8.6,car,105,8.67
8.7,car,104,9.02
8.8,car,103,9.37
8.9,car,102,9.73
9.0,car,101,10.10
9.1,car,100,10.47
9.2,car,99,10.85
9.3,car,98,11.23
9.4,car,97,11.62
9.5,car,96,12.01
9.6,car,95,12.41
9.7,car,94,12.82
9.8,car,94,13.23
9.9,car,93,13.64
10.0,car,92,14.06
# オラクル（検出=GT系列）。モデル出力ではない
