t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,-178.3,48.57,1
0.3,0,car,-178.2,47.85,1
0.4,0,car,-178.2,47.14,1
0.5,0,car,-178.2,46.43,1
0.6,0,car,-178.2,45.71,1
0.7,0,car,-178.1,45.00,1
0.8,0,car,-178.1,44.29,1
0.9,0,car,-178.1,43.57,1
1.0,0,car,-178.0,42.86,1
1.1,0,car,-178.0,42.15,1
1.2,0,car,-178.0,41.43,1
1.3,0,car,-177.9,40.72,1
1.4,0,car,-177.9,40.01,1
1.5,0,car,-177.9,39.29,1
1.6,0,car,-177.8,38.58,1
1.7,0,car,-177.8,37.87,1
1.8,0,car,-177.7,37.15,1
1.9,0,car,-177.7,36.44,1
2.0,0,car,-177.7,35.73,1
2.1,0,car,-177.6,35.01,1
2.2,0,car,-177.6,34.30,1
2.3,0,car,-177.5,33.59,1
2.4,0,car,-177.4,32.87,1
2.5,0,car,-177.4,32.16,1
2.6,0,car,-177.3,31.45,1
2.7,0,car,-177.3,30.73,1
2.8,0,car,-177.2,30.02,1
2.9,0,car,-177.1,29.31,1
3.0,0,car,-177.1,28.59,1
3.1,0,car,-177.0,27.88,1
3.2,0,car,-176.9,27.17,1
3.3,0,car,-176.8,26.46,1
3.4,0,car,-176.7,25.74,1
3.5,0,car,-176.6,25.03,1
3.6,0,car,-176.5,24.32,1
3.7,0,car,-176.4,23.61,1
3.8,0,car,-176.3,22.89,1
3.9,0,car,-176.2,22.18,1
4.0,0,car,-176.1,21.47,1
4.1,0,car,-176.0,20.76,1
4.2,0,car,-175.8,20.05,1
4.3,0,car,-175.7,19.33,1
4.4,0,car,-175.5,18.62,1
4.5,0,car,-175.3,17.91,1
4.6,0,car,-175.1,17.20,1
4.7,0,car,-174.9,16.49,1
4.8,0,car,-174.7,15.78,1
4.9,0,car,-174.4,15.07,1
5.0,0,car,-174.1,14.36,1
5.1,0,car,-173.8,13.65,1
5.2,0,car,-173.5,12.94,1
5.3,0,car,-173.1,12.23,1
5.4,0,car,-172.7,11.52,1
5.5,0,car,-172.2,10.81,1
5.6,0,car,-171.7,10.11,1
5.7,0,car,-171.0,9.40,1
5.8,0,car,-170.3,8.70,1
5.9,0,car,-169.4,7.99,1
6.0,0,car,-168.4,7.29,1
6.1,0,car,-167.2,6.60,1
6.2,0,car,-165.6,5.90,1
6.3,0,car,-163.7,5.22,1
6.4,0,car,-161.2,4.54,1
6.5,0,car,-157.7,3.87,1
6.6,0,car,-152.9,3.23,1
6.7,0,car,-145.8,2.61,1
6.8,0,car,-134.6,2.07,1
6.9,0,car,-116.7,1.66,1
7.0,0,car,-91.4,1.50,1
7.1,0,car,-65.8,1.66,1
7.2,0,car,-47.4,2.07,1
7.3,0,car,-35.8,2.61,1
7.4,0,car,-28.4,3.23,1
7.5,0,car,-23.3,3.87,1
7.6,0,car,-19.8,4.54,1
7.7,0,car,-17.1,5.22,1
7.8,0,car,-15.1,5.90,1
7.9,0,car,-13.5,6.60,1
8.0,0,car,-12.2,7.29,1
8.1,0,car,-11.1,7.99,1
8.2,0,car,-10.2,8.70,1
8.3,0,car,-9.4,9.40,1
8.4,0,car,-8.7,10.11,1
8.5,0,car,-8.2,10.81,1
8.6,0,car,-7.7,11.52,1
8.7,0,car,-7.2,12.23,1
8.8,0,car,-6.8,12.94,1
8.9,0,car,-6.5,13.65,1
9.0,0,car,-6.1,14.36,1
9.1,0,car,-5.9,15.07,1
9.2,0,car,-5.6,15.78,1
9.3,0,car,-5.3,16.49,1
9.4,0,car,-5.1,17.20,1
9.5,0,car,-4.9,17.91,1
9.6,0,car,-4.7,18.62,1
9.7,0,car,-4.6,19.33,1
9.8,0,car,-4.4,20.05,1
9.9,0,car,-4.2,20.76,1
0.2,1,horn,-178.3,48.57,0
0.3,1,horn,-178.2,47.85,0
0.4,1,horn,-178.2,47.14,0
0.5,1,horn,-178.2,46.43,0
0.6,1,horn,-178.2,45.71,0
0.7,1,horn,-178.1,45.00,0
0.8,1,horn,-178.1,44.29,0
0.9,1,horn,-178.1,43.57,0
1.0,1,horn,-178.0,42.86,0
1.1,1,horn,-178.0,42.15,0
1.2,1,horn,-178.0,41.43,0
1.3,1,horn,-177.9,40.72,0
1.4,1,horn,-177.9,40.01,0
1.5,1,horn,-177.9,39.29,0
1.6,1,horn,-177.8,38.58,0
1.7,1,horn,-177.8,37.87,0
1.8,1,horn,-177.7,37.15,0
1.9,1,horn,-177.7,36.44,0
2.0,1,horn,-177.7,35.73,0
2.1,1,horn,-177.6,35.01,0
2.2,1,horn,-177.6,34.30,0
2.3,1,horn,-177.5,33.59,0
2.4,1,horn,-177.4,32.87,0
2.5,1,horn,-177.4,32.16,0
2.6,1,horn,-177.3,31.45,0
2.7,1,horn,-177.3,30.73,0
2.8,1,horn,-177.2,30.02,0
2.9,1,horn,-177.1,29.31,0
3.0,1,horn,-177.1,28.59,0
3.1,1,horn,-177.0,27.88,0
3.2,1,horn,-176.9,27.17,0
3.3,1,horn,-176.8,26.46,0
3.4,1,horn,-176.7,25.74,0
3.5,1,horn,-176.6,25.03,0
3.6,1,horn,-176.5,24.32,0
3.7,1,horn,-176.4,23.61,0
3.8,1,horn,-176.3,22.89,0
3.9,1,horn,-176.2,22.18,0
4.0,1,horn,-176.1,21.47,0
4.1,1,horn,-176.0,20.76,0
4.2,1,horn,-175.8,20.05,0
4.3,1,horn,-175.7,19.33,0
4.4,1,horn,-175.5,18.62,0
4.5,1,horn,-175.3,17.91,0
4.6,1,horn,-175.1,17.20,0
4.7,1,horn,-174.9,16.49,0
4.8,1,horn,-174.7,15.78,0
4.9,1,horn,-174.4,15.07,0
5.0,1,horn,-174.1,14.36,1
5.1,1,horn,-173.8,13.65,1
5.2,1,horn,-173.5,12.94,1
5.3,1,horn,-173.1,12.23,1
5.4,1,horn,-172.7,11.52,1
5.5,1,horn,-172.2,10.81,1
5.6,1,horn,-171.7,10.11,0
5.7,1,horn,-171.0,9.40,0
5.8,1,horn,-170.3,8.70,0
5.9,1,horn,-169.4,7.99,0
6.0,1,horn,-168.4,7.29,0
6.1,1,horn,-167.2,6.60,0
6.2,1,horn,-165.6,5.90,0
6.3,1,horn,-163.7,5.22,0
6.4,1,horn,-161.2,4.54,0
6.5,1,horn,-157.7,3.87,0
6.6,1,horn,-152.9,3.23,0
6.7,1,horn,-145.8,2.61,0
6.8,1,horn,-134.6,2.07,0
6.9,1,horn,-116.7,1.66,0
7.0,1,horn,-91.4,1.50,0
7.1,1,horn,-65.8,1.66,0
7.2,1,horn,-47.4,2.07,0
7.3,1,horn,-35.8,2.61,0
7.4,1,horn,-28.4,3.23,0
7.5,1,horn,-23.3,3.87,0
7.6,1,horn,-19.8,4.54,0
7.7,1,horn,-17.1,5.22,0
7.8,1,horn,-15.1,5.90,0
7.9,1,horn,-13.5,6.60,0
8.0,1,horn,-12.2,7.29,0
8.1,1,horn,-11.1,7.99,0
8.2,1,horn,-10.2,8.70,0
8.3,1,horn,-9.4,9.40,0
8.4,1,horn,-8.7,10.11,0
8.5,1,horn,-8.2,10.81,0
8.6,1,horn,-7.7,11.52,0
8.7,1,horn,-7.2,12.23,0
8.8,1,horn,-6.8,12.94,0
8.9,1,horn,-6.5,13.65,0
9.0,1,horn,-6.1,14.36,0
9.1,1,horn,-5.9,15.07,0
9.2,1,horn,-5.6,15.78,0
9.3,1,horn,-5.3,16.49,0
9.4,1,horn,-5.1,17.20,0
9.5,1,horn,-4.9,17.91,0
9.6,1,horn,-4.7,18.62,0
9.7,1,horn,-4.6,19.33,0
9.8,1,horn,-4.4,20.05,0
9.9,1,horn,-4.2,20.76,0
