t_s,class,az_deg,dist_m
0.2,car,-176,2.37
0.3,car,-176,2.75
0.4,car,-176,4.26
0.5,car,-173,8.70
0.6,car,-172,8.73
0.7,car,-172,8.69
0.8,car,-170,10.94
0.9,car,-171,11.21
1.0,car,-171,10.59
1.1,car,-170,10.34
1.2,car,-169,9.59
1.3,car,-167,9.21
1.4,car,-166,9.44
1.5,car,-165,8.92
1.6,car,-165,7.85
1.7,car,-163,7.26
1.8,car,-163,6.77
1.9,car,-162,6.92
2.0,car,-160,6.26
2.1,car,-158,6.23
2.2,car,-157,5.81
2.3,car,-154,5.89
2.4,car,-152,4.80
2.5,car,-151,4.74
2.6,car,-147,4.18
2.7,car,-144,4.50
2.8,car,-142,3.96
2.9,car,-139,3.96
3.0,car,-137,4.09
3.1,car,-133,3.95
3.2,car,-132,3.67
3.3,car,-122,2.79
3.3,car,-120,3.49
3.4,car,-118,2.90
3.4,car,-120,3.05
3.5,car,-108,2.62
3.5,car,-111,2.78
3.6,car,-101,2.38
3.6,car,-99,2.85
3.7,car,-96,2.38
3.7,car,-93,3.23
3.8,car,-92,2.64
3.8,car,-93,2.88
3.9,car,-94,4.12
4.0,car,-91,4.12
4.1,car,-83,3.01
4.1,car,-84,3.29
4.2,car,-80,2.97
4.2,car,-79,3.22
4.3,car,-74,3.09
4.3,car,-74,3.36
4.4,car,-71,2.92
4.4,car,-71,3.09
4.5,car,-68,2.94
4.5,car,-67,3.17
4.6,car,-66,3.01
4.6,car,-66,3.29
4.7,car,-64,2.81
4.7,car,-63,3.40
4.8,car,-63,3.04
4.8,car,-63,3.33
4.9,car,-62,3.04
4.9,car,-62,3.54
5.0,car,-62,3.02
5.0,car,-62,3.63
5.1,car,-61,3.00
5.1,car,-61,3.58
5.2,car,-62,2.89
5.2,car,-61,3.55
5.3,car,-62,2.87
5.3,car,-60,3.93
5.4,car,-60,3.81
5.5,car,-62,2.85
5.5,car,-58,4.39
5.6,car,-63,4.43
5.7,car,-63,4.99
5.8,car,-63,4.70
5.9,car,-61,2.97
5.9,car,-60,3.72
6.0,car,-61,4.69
6.1,car,-64,5.15
6.2,car,-62,4.69
6.3,car,-62,4.89
6.4,car,-63,4.90
6.5,car,-62,4.80
6.6,car,-60,5.10
6.7,car,-58,4.69
6.8,car,-59,4.66
6.9,car,-61,4.64
7.0,car,-60,4.40
7.1,car,-61,4.71
7.2,car,-59,4.59
7.3,car,-60,4.84
7.4,car,-59,4.71
7.5,car,-59,4.68
7.6,car,-60,4.61
7.7,car,-59,5.08
7.8,car,-63,4.55
7.8,car,-45,8.35
7.9,car,-63,4.55
7.9,car,-45,8.29
8.0,car,-58,5.30
8.1,car,-58,5.02
8.2,car,-58,5.08
8.3,car,-58,4.94
8.4,car,-56,5.53
8.5,car,-60,4.43
8.5,car,-43,9.03
8.6,car,-57,4.48
8.6,car,-41,8.07
8.7,car,-52,5.85
8.8,car,-55,4.51
8.8,car,-37,9.31
8.9,car,-54,4.43
8.9,car,-37,8.61
9.0,car,-52,4.97
9.0,car,-36,9.35
9.1,car,-46,5.92
9.2,car,-44,5.47
9.3,car,-46,5.69
9.4,car,-44,5.40
9.5,car,-41,5.20
9.6,car,-38,5.43
9.7,car,-34,6.34
9.8,car,-33,6.85
9.9,car,-32,6.61
10.0,car,-31,6.93
